,no-per,converged_iterations,total_time
ft10 - 副本 (2),1000.0,874.0,69.54196667671204
ft10 - 副本,1032.0,2274.0,183.8241994380951
ft10,1006.0,2209.0,176.0216703414917
la26 - 副本 (2),1258.0,9399.0,1295.1188282966614
la26 - 副本,1257.0,7739.0,1067.5079317092896
la26,1266.0,7509.0,1028.6527993679047
la31 - 副本 (2),1784.0,3254.0,648.000403881073
la31 - 副本,1784.0,3369.0,673.3538925647736
la31,1784.0,4534.0,891.9959077835083
ta41 - 副本 (2),2285.0,9739.0,3600.4525356292725
ta41 - 副本,2298.0,9644.0,3601.294084787369
ta41,2371.0,9424.0,3600.4250926971436
