,episode,make_span,reward,min make span
0,0.0,1181.0,-67.6868686868687,1181.0
1,0.0,1261.0,-75.76767676767678,1181.0
2,0.0,1223.0,-71.92929292929294,1181.0
3,0.0,1182.0,-67.78787878787882,1181.0
4,0.0,1199.0,-69.50505050505053,1181.0
5,1.0,1172.0,-66.77777777777777,1172.0
6,1.0,1208.0,-70.41414141414143,1172.0
7,1.0,1155.0,-65.06060606060608,1155.0
8,1.0,1154.0,-64.959595959596,1154.0
9,1.0,1189.0,-68.49494949494951,1154.0
10,2.0,1165.0,-66.07070707070709,1154.0
11,2.0,1206.0,-70.21212121212122,1154.0
12,2.0,1107.0,-60.21212121212126,1107.0
13,2.0,1174.0,-66.97979797979802,1107.0
14,2.0,1186.0,-68.19191919191918,1107.0
15,3.0,1150.0,-64.55555555555556,1107.0
16,3.0,1203.0,-69.90909090909093,1107.0
17,3.0,1200.0,-69.60606060606061,1107.0
18,3.0,1222.0,-71.82828282828285,1107.0
19,3.0,1169.0,-66.47474747474749,1107.0
20,4.0,1183.0,-67.88888888888891,1107.0
21,4.0,1151.0,-64.6565656565657,1107.0
22,4.0,1132.0,-62.73737373737375,1107.0
23,4.0,1153.0,-64.85858585858587,1107.0
24,4.0,1240.0,-73.64646464646468,1107.0
25,5.0,1176.0,-67.18181818181817,1107.0
26,5.0,1083.0,-57.78787878787878,1083.0
27,5.0,1209.0,-70.51515151515153,1083.0
28,5.0,1247.0,-74.35353535353535,1083.0
29,5.0,1081.0,-57.5858585858586,1081.0
30,6.0,1153.0,-64.85858585858588,1081.0
31,6.0,1195.0,-69.10101010101012,1081.0
32,6.0,1199.0,-69.5050505050505,1081.0
33,6.0,1219.0,-71.52525252525255,1081.0
34,6.0,1131.0,-62.63636363636365,1081.0
35,7.0,1126.0,-62.13131313131314,1081.0
36,7.0,1147.0,-64.25252525252523,1081.0
37,7.0,1250.0,-74.65656565656569,1081.0
38,7.0,1201.0,-69.70707070707071,1081.0
39,7.0,1140.0,-63.54545454545454,1081.0
40,8.0,1124.0,-61.92929292929295,1081.0
41,8.0,1111.0,-60.61616161616163,1081.0
42,8.0,1208.0,-70.41414141414141,1081.0
43,8.0,1215.0,-71.12121212121215,1081.0
44,8.0,1154.0,-64.95959595959594,1081.0
45,9.0,1120.0,-61.52525252525252,1081.0
46,9.0,1149.0,-64.45454545454547,1081.0
47,9.0,1107.0,-60.21212121212121,1081.0
48,9.0,1148.0,-64.35353535353536,1081.0
49,9.0,1132.0,-62.737373737373744,1081.0
50,10.0,1203.0,-69.9090909090909,1081.0
51,10.0,1173.0,-66.87878787878789,1081.0
52,10.0,1138.0,-63.34343434343437,1081.0
53,10.0,1156.0,-65.16161616161617,1081.0
54,10.0,1135.0,-63.040404040404056,1081.0
55,11.0,1147.0,-64.25252525252526,1081.0
56,11.0,1118.0,-61.32323232323235,1081.0
57,11.0,1106.0,-60.111111111111114,1081.0
58,11.0,1144.0,-63.94949494949496,1081.0
59,11.0,1065.0,-55.96969696969698,1065.0
60,12.0,1128.0,-62.33333333333334,1065.0
61,12.0,1149.0,-64.4545454545455,1065.0
62,12.0,1133.0,-62.838383838383834,1065.0
63,12.0,1123.0,-61.828282828282845,1065.0
64,12.0,1136.0,-63.141414141414124,1065.0
65,13.0,1156.0,-65.16161616161618,1065.0
66,13.0,1081.0,-57.5858585858586,1065.0
67,13.0,1092.0,-58.696969696969724,1065.0
68,13.0,1127.0,-62.23232323232324,1065.0
69,13.0,1115.0,-61.02020202020203,1065.0
70,14.0,1157.0,-65.26262626262626,1065.0
71,14.0,1050.0,-54.45454545454545,1050.0
72,14.0,1149.0,-64.45454545454548,1050.0
73,14.0,1216.0,-71.22222222222223,1050.0
74,14.0,1132.0,-62.73737373737374,1050.0
75,15.0,1134.0,-62.93939393939393,1050.0
76,15.0,1211.0,-70.71717171717177,1050.0
77,15.0,1147.0,-64.25252525252525,1050.0
78,15.0,1129.0,-62.434343434343425,1050.0
79,15.0,1177.0,-67.28282828282832,1050.0
80,16.0,1152.0,-64.75757575757578,1050.0
81,16.0,1172.0,-66.7777777777778,1050.0
82,16.0,1203.0,-69.9090909090909,1050.0
83,16.0,1129.0,-62.43434343434344,1050.0
84,16.0,1176.0,-67.1818181818182,1050.0
85,17.0,1210.0,-70.61616161616162,1050.0
86,17.0,1161.0,-65.66666666666666,1050.0
87,17.0,1196.0,-69.20202020202024,1050.0
88,17.0,1076.0,-57.08080808080811,1050.0
89,17.0,1104.0,-59.90909090909089,1050.0
90,18.0,1210.0,-70.61616161616163,1050.0
91,18.0,1199.0,-69.50505050505052,1050.0
92,18.0,1171.0,-66.67676767676768,1050.0
93,18.0,1239.0,-73.54545454545456,1050.0
94,18.0,1148.0,-64.35353535353535,1050.0
95,19.0,1151.0,-64.65656565656566,1050.0
96,19.0,1150.0,-64.55555555555557,1050.0
97,19.0,1111.0,-60.616161616161605,1050.0
98,19.0,1133.0,-62.83838383838386,1050.0
99,19.0,1158.0,-65.36363636363637,1050.0
100,20.0,1173.0,-66.8787878787879,1050.0
101,20.0,1160.0,-65.56565656565658,1050.0
102,20.0,1103.0,-59.80808080808083,1050.0
103,20.0,1143.0,-63.84848484848485,1050.0
104,20.0,1214.0,-71.02020202020205,1050.0
105,21.0,1153.0,-64.85858585858585,1050.0
106,21.0,1123.0,-61.82828282828283,1050.0
107,21.0,1117.0,-61.222222222222214,1050.0
108,21.0,1165.0,-66.07070707070707,1050.0
109,21.0,1140.0,-63.54545454545456,1050.0
110,22.0,1193.0,-68.89898989898991,1050.0
111,22.0,1179.0,-67.4848484848485,1050.0
112,22.0,1147.0,-64.25252525252526,1050.0
113,22.0,1069.0,-56.37373737373738,1050.0
114,22.0,1190.0,-68.59595959595961,1050.0
115,23.0,1116.0,-61.12121212121213,1050.0
116,23.0,1169.0,-66.47474747474747,1050.0
117,23.0,1070.0,-56.4747474747475,1050.0
118,23.0,1155.0,-65.06060606060605,1050.0
119,23.0,1155.0,-65.06060606060606,1050.0
