,data_set_rescheduling,converged_iterations,total_time
ft10 - 副本 (2),992.0,1434.0,134.46822714805603
ft10 - 副本,1015.0,2209.0,214.83720064163208
ft10,994.0,1954.0,174.48461413383484
la26 - 副本 (2),1259.0,3314.0,515.9543044567108
la26 - 副本,1256.0,3219.0,498.3036913871765
la26,1299.0,3479.0,543.9770567417145
la31 - 副本 (2),1784.0,2834.0,623.6095638275146
la31 - 副本,1784.0,3179.0,713.5771515369415
la31,1784.0,3164.0,715.2664635181427
ta41 - 副本 (2),2316.0,5269.0,2380.1407849788666
ta41 - 副本,2343.0,5134.0,2290.1338908672333
ta41,2334.0,5254.0,2340.799308538437
