,episode,make_span,reward,min make span
0,0.0,986.0,-47.989898989899,986.0
1,0.0,1000.0,-49.40404040404041,986.0
2,0.0,963.0,-45.66666666666667,963.0
3,1.0,986.0,-47.989898989899,963.0
4,1.0,957.0,-45.06060606060606,957.0
5,1.0,963.0,-45.66666666666667,957.0
6,2.0,957.0,-45.06060606060606,957.0
7,2.0,986.0,-47.989898989899,957.0
8,2.0,986.0,-47.989898989899,957.0
9,3.0,957.0,-45.06060606060606,957.0
10,3.0,957.0,-45.06060606060606,957.0
11,3.0,963.0,-45.66666666666667,957.0
12,4.0,957.0,-45.06060606060606,957.0
13,4.0,955.0,-44.85858585858587,955.0
14,4.0,957.0,-45.06060606060606,955.0
15,5.0,957.0,-45.06060606060606,955.0
16,5.0,957.0,-45.06060606060606,955.0
17,5.0,957.0,-45.06060606060608,955.0
18,6.0,957.0,-45.06060606060606,955.0
19,6.0,990.0,-48.39393939393941,955.0
20,6.0,957.0,-45.06060606060606,955.0
21,7.0,996.0,-49.0,955.0
22,7.0,1006.0,-50.01010101010101,955.0
23,7.0,986.0,-47.989898989899004,955.0
24,8.0,957.0,-45.06060606060607,955.0
25,8.0,963.0,-45.66666666666667,955.0
26,8.0,957.0,-45.06060606060607,955.0
27,9.0,957.0,-45.06060606060606,955.0
28,9.0,1022.0,-51.62626262626263,955.0
29,9.0,955.0,-44.858585858585855,955.0
30,10.0,1020.0,-51.42424242424242,955.0
31,10.0,957.0,-45.06060606060606,955.0
32,10.0,957.0,-45.06060606060607,955.0
33,11.0,957.0,-45.06060606060607,955.0
34,11.0,957.0,-45.06060606060607,955.0
35,11.0,955.0,-44.85858585858587,955.0
36,12.0,1020.0,-51.424242424242415,955.0
37,12.0,957.0,-45.06060606060606,955.0
38,12.0,1006.0,-50.01010101010101,955.0
39,13.0,1022.0,-51.62626262626263,955.0
40,13.0,957.0,-45.06060606060606,955.0
41,13.0,957.0,-45.06060606060606,955.0
42,14.0,1032.0,-52.63636363636363,955.0
43,14.0,1000.0,-49.40404040404041,955.0
44,14.0,957.0,-45.06060606060607,955.0
45,15.0,957.0,-45.06060606060607,955.0
46,15.0,963.0,-45.66666666666667,955.0
47,15.0,957.0,-45.06060606060606,955.0
48,16.0,957.0,-45.06060606060606,955.0
49,16.0,957.0,-45.06060606060606,955.0
50,16.0,957.0,-45.06060606060606,955.0
51,17.0,957.0,-45.06060606060606,955.0
52,17.0,957.0,-45.06060606060607,955.0
53,17.0,957.0,-45.06060606060607,955.0
54,18.0,1000.0,-49.40404040404041,955.0
55,18.0,1022.0,-51.62626262626263,955.0
56,18.0,957.0,-45.06060606060607,955.0
57,19.0,957.0,-45.06060606060606,955.0
58,19.0,963.0,-45.66666666666667,955.0
59,19.0,955.0,-44.85858585858587,955.0
60,20.0,1000.0,-49.40404040404041,955.0
61,20.0,957.0,-45.06060606060607,955.0
62,20.0,957.0,-45.06060606060607,955.0
63,21.0,996.0,-49.0,955.0
64,21.0,1022.0,-51.626262626262616,955.0
65,21.0,957.0,-45.06060606060606,955.0
66,22.0,1015.0,-50.91919191919192,955.0
67,22.0,957.0,-45.06060606060606,955.0
68,22.0,957.0,-45.06060606060606,955.0
69,23.0,967.0,-46.070707070707066,955.0
70,23.0,957.0,-45.06060606060607,955.0
71,23.0,1022.0,-51.62626262626263,955.0
72,24.0,957.0,-45.06060606060606,955.0
73,24.0,957.0,-45.06060606060606,955.0
74,24.0,1006.0,-50.01010101010101,955.0
75,25.0,957.0,-45.06060606060606,955.0
76,25.0,955.0,-44.85858585858587,955.0
77,25.0,957.0,-45.06060606060606,955.0
78,26.0,957.0,-45.06060606060607,955.0
79,26.0,957.0,-45.06060606060606,955.0
80,26.0,957.0,-45.06060606060607,955.0
81,27.0,955.0,-44.85858585858587,955.0
82,27.0,1006.0,-50.01010101010101,955.0
83,27.0,957.0,-45.06060606060606,955.0
84,28.0,957.0,-45.06060606060606,955.0
85,28.0,1000.0,-49.40404040404041,955.0
86,28.0,1022.0,-51.626262626262616,955.0
87,29.0,957.0,-45.06060606060606,955.0
88,29.0,1022.0,-51.626262626262616,955.0
89,29.0,957.0,-45.06060606060606,955.0
90,30.0,957.0,-45.06060606060606,955.0
91,30.0,957.0,-45.06060606060606,955.0
92,30.0,957.0,-45.06060606060606,955.0
93,31.0,955.0,-44.858585858585855,955.0
94,31.0,955.0,-44.85858585858587,955.0
95,31.0,957.0,-45.06060606060606,955.0
96,32.0,1000.0,-49.40404040404041,955.0
97,32.0,1020.0,-51.424242424242415,955.0
98,32.0,957.0,-45.06060606060606,955.0
99,33.0,957.0,-45.06060606060606,955.0
100,33.0,957.0,-45.06060606060606,955.0
101,33.0,957.0,-45.06060606060606,955.0
102,34.0,957.0,-45.06060606060607,955.0
103,34.0,957.0,-45.06060606060606,955.0
104,34.0,1022.0,-51.626262626262616,955.0
105,35.0,957.0,-45.06060606060606,955.0
106,35.0,957.0,-45.06060606060606,955.0
107,35.0,963.0,-45.66666666666667,955.0
108,36.0,957.0,-45.06060606060607,955.0
109,36.0,1022.0,-51.62626262626263,955.0
110,36.0,957.0,-45.06060606060606,955.0
111,37.0,957.0,-45.06060606060606,955.0
112,37.0,957.0,-45.06060606060606,955.0
113,37.0,957.0,-45.06060606060606,955.0
114,38.0,957.0,-45.06060606060606,955.0
115,38.0,957.0,-45.06060606060606,955.0
116,38.0,957.0,-45.06060606060606,955.0
117,39.0,957.0,-45.06060606060606,955.0
118,39.0,957.0,-45.06060606060606,955.0
119,39.0,957.0,-45.06060606060606,955.0
120,40.0,957.0,-45.06060606060607,955.0
121,40.0,957.0,-45.06060606060606,955.0
122,40.0,1022.0,-51.62626262626263,955.0
123,41.0,957.0,-45.06060606060607,955.0
124,41.0,957.0,-45.06060606060607,955.0
125,41.0,1022.0,-51.62626262626263,955.0
126,42.0,955.0,-44.85858585858587,955.0
127,42.0,957.0,-45.06060606060607,955.0
128,42.0,957.0,-45.06060606060607,955.0
129,43.0,957.0,-45.06060606060607,955.0
130,43.0,957.0,-45.06060606060606,955.0
131,43.0,957.0,-45.06060606060607,955.0
132,44.0,957.0,-45.06060606060606,955.0
133,44.0,957.0,-45.06060606060606,955.0
134,44.0,955.0,-44.85858585858587,955.0
135,45.0,1022.0,-51.62626262626263,955.0
136,45.0,957.0,-45.06060606060607,955.0
137,45.0,957.0,-45.06060606060607,955.0
138,46.0,955.0,-44.85858585858587,955.0
139,46.0,957.0,-45.06060606060606,955.0
140,46.0,986.0,-47.989898989899,955.0
141,47.0,955.0,-44.85858585858587,955.0
142,47.0,955.0,-44.85858585858587,955.0
143,47.0,957.0,-45.06060606060607,955.0
144,48.0,957.0,-45.06060606060607,955.0
145,48.0,957.0,-45.06060606060607,955.0
146,48.0,957.0,-45.06060606060607,955.0
147,49.0,1022.0,-51.62626262626264,955.0
148,49.0,957.0,-45.06060606060607,955.0
149,49.0,955.0,-44.85858585858587,955.0
150,50.0,957.0,-45.06060606060607,955.0
151,50.0,955.0,-44.85858585858587,955.0
152,50.0,957.0,-45.06060606060607,955.0
153,51.0,955.0,-44.85858585858587,955.0
154,51.0,957.0,-45.06060606060606,955.0
155,51.0,955.0,-44.85858585858587,955.0
156,52.0,955.0,-44.85858585858587,955.0
157,52.0,957.0,-45.06060606060607,955.0
158,52.0,957.0,-45.06060606060607,955.0
159,53.0,955.0,-44.85858585858587,955.0
160,53.0,955.0,-44.85858585858587,955.0
161,53.0,963.0,-45.66666666666667,955.0
162,54.0,957.0,-45.06060606060607,955.0
163,54.0,955.0,-44.85858585858587,955.0
164,54.0,957.0,-45.06060606060607,955.0
165,55.0,957.0,-45.06060606060606,955.0
166,55.0,955.0,-44.85858585858587,955.0
167,55.0,957.0,-45.06060606060607,955.0
168,56.0,955.0,-44.85858585858587,955.0
169,56.0,957.0,-45.06060606060607,955.0
170,56.0,1020.0,-51.424242424242436,955.0
171,57.0,957.0,-45.06060606060606,955.0
172,57.0,955.0,-44.85858585858587,955.0
173,57.0,955.0,-44.85858585858587,955.0
174,58.0,955.0,-44.85858585858587,955.0
175,58.0,955.0,-44.85858585858587,955.0
176,58.0,1022.0,-51.62626262626264,955.0
177,59.0,1022.0,-51.62626262626263,955.0
178,59.0,957.0,-45.06060606060607,955.0
179,59.0,1006.0,-50.01010101010101,955.0
180,60.0,955.0,-44.85858585858587,955.0
181,60.0,955.0,-44.85858585858587,955.0
182,60.0,1020.0,-51.424242424242436,955.0
183,61.0,957.0,-45.06060606060606,955.0
184,61.0,957.0,-45.06060606060607,955.0
185,61.0,955.0,-44.85858585858587,955.0
186,62.0,955.0,-44.85858585858587,955.0
187,62.0,955.0,-44.85858585858587,955.0
188,62.0,955.0,-44.85858585858587,955.0
189,63.0,943.0,-43.64646464646466,943.0
190,63.0,957.0,-45.06060606060606,943.0
191,63.0,1002.0,-49.60606060606062,943.0
192,64.0,957.0,-45.06060606060606,943.0
193,64.0,957.0,-45.06060606060606,943.0
194,64.0,957.0,-45.06060606060606,943.0
195,65.0,957.0,-45.06060606060607,943.0
196,65.0,983.0,-47.6868686868687,943.0
197,65.0,955.0,-44.85858585858587,943.0
198,66.0,957.0,-45.06060606060606,943.0
199,66.0,955.0,-44.85858585858587,943.0
200,66.0,955.0,-44.85858585858587,943.0
201,67.0,955.0,-44.85858585858587,943.0
202,67.0,955.0,-44.85858585858587,943.0
203,67.0,955.0,-44.85858585858587,943.0
204,68.0,955.0,-44.85858585858587,943.0
205,68.0,943.0,-43.64646464646466,943.0
206,68.0,955.0,-44.85858585858587,943.0
207,69.0,1020.0,-51.424242424242436,943.0
208,69.0,957.0,-45.06060606060606,943.0
209,69.0,1006.0,-50.01010101010101,943.0
210,70.0,955.0,-44.85858585858587,943.0
211,70.0,955.0,-44.85858585858587,943.0
212,70.0,955.0,-44.85858585858587,943.0
213,71.0,955.0,-44.85858585858587,943.0
214,71.0,955.0,-44.85858585858587,943.0
215,71.0,955.0,-44.85858585858587,943.0
216,72.0,957.0,-45.06060606060607,943.0
217,72.0,957.0,-45.06060606060606,943.0
218,72.0,955.0,-44.85858585858587,943.0
219,73.0,955.0,-44.85858585858587,943.0
220,73.0,955.0,-44.85858585858587,943.0
221,73.0,955.0,-44.85858585858587,943.0
222,74.0,957.0,-45.06060606060608,943.0
223,74.0,955.0,-44.85858585858587,943.0
224,74.0,955.0,-44.85858585858587,943.0
225,75.0,955.0,-44.85858585858587,943.0
226,75.0,943.0,-43.64646464646466,943.0
227,75.0,955.0,-44.85858585858587,943.0
228,76.0,957.0,-45.06060606060606,943.0
229,76.0,955.0,-44.85858585858587,943.0
230,76.0,955.0,-44.85858585858587,943.0
231,77.0,955.0,-44.85858585858587,943.0
232,77.0,955.0,-44.85858585858587,943.0
233,77.0,1022.0,-51.62626262626263,943.0
234,78.0,983.0,-47.6868686868687,943.0
235,78.0,957.0,-45.06060606060606,943.0
236,78.0,957.0,-45.06060606060607,943.0
237,79.0,955.0,-44.85858585858587,943.0
238,79.0,955.0,-44.85858585858587,943.0
239,79.0,955.0,-44.85858585858587,943.0
240,80.0,957.0,-45.06060606060607,943.0
241,80.0,957.0,-45.06060606060606,943.0
242,80.0,945.0,-43.84848484848485,943.0
243,81.0,955.0,-44.85858585858587,943.0
244,81.0,955.0,-44.85858585858587,943.0
245,81.0,955.0,-44.85858585858587,943.0
246,82.0,955.0,-44.85858585858587,943.0
247,82.0,955.0,-44.85858585858587,943.0
248,82.0,955.0,-44.85858585858587,943.0
249,83.0,943.0,-43.64646464646466,943.0
250,83.0,955.0,-44.85858585858587,943.0
251,83.0,955.0,-44.85858585858587,943.0
252,84.0,1020.0,-51.42424242424243,943.0
253,84.0,955.0,-44.85858585858587,943.0
254,84.0,950.0,-44.35353535353535,943.0
255,85.0,955.0,-44.85858585858587,943.0
256,85.0,955.0,-44.85858585858587,943.0
257,85.0,955.0,-44.85858585858587,943.0
258,86.0,955.0,-44.85858585858587,943.0
259,86.0,955.0,-44.85858585858587,943.0
260,86.0,955.0,-44.85858585858587,943.0
261,87.0,955.0,-44.85858585858587,943.0
262,87.0,957.0,-45.06060606060607,943.0
263,87.0,955.0,-44.85858585858587,943.0
264,88.0,955.0,-44.85858585858587,943.0
265,88.0,955.0,-44.85858585858587,943.0
266,88.0,955.0,-44.85858585858587,943.0
267,89.0,957.0,-45.06060606060607,943.0
268,89.0,955.0,-44.85858585858587,943.0
269,89.0,955.0,-44.85858585858587,943.0
270,90.0,955.0,-44.85858585858587,943.0
271,90.0,957.0,-45.06060606060606,943.0
272,90.0,955.0,-44.85858585858587,943.0
273,91.0,955.0,-44.85858585858587,943.0
274,91.0,1032.0,-52.63636363636363,943.0
275,91.0,955.0,-44.85858585858587,943.0
276,92.0,945.0,-43.84848484848487,943.0
277,92.0,943.0,-43.64646464646466,943.0
278,92.0,955.0,-44.85858585858587,943.0
279,93.0,955.0,-44.85858585858587,943.0
280,93.0,976.0,-46.979797979797986,943.0
281,93.0,996.0,-49.00000000000001,943.0
282,94.0,955.0,-44.85858585858587,943.0
283,94.0,955.0,-44.85858585858587,943.0
284,94.0,955.0,-44.85858585858587,943.0
285,95.0,955.0,-44.85858585858587,943.0
286,95.0,943.0,-43.64646464646466,943.0
287,95.0,955.0,-44.85858585858587,943.0
288,96.0,998.0,-49.20202020202021,943.0
289,96.0,955.0,-44.85858585858587,943.0
290,96.0,955.0,-44.85858585858587,943.0
291,97.0,955.0,-44.85858585858587,943.0
292,97.0,985.0,-47.888888888888886,943.0
293,97.0,957.0,-45.06060606060606,943.0
294,98.0,955.0,-44.85858585858587,943.0
295,98.0,955.0,-44.85858585858587,943.0
296,98.0,955.0,-44.85858585858587,943.0
297,99.0,955.0,-44.85858585858587,943.0
298,99.0,977.0,-47.08080808080809,943.0
299,99.0,931.0,-42.43434343434345,931.0
300,100.0,1022.0,-51.62626262626264,931.0
301,100.0,996.0,-49.00000000000001,931.0
302,100.0,957.0,-45.06060606060607,931.0
303,101.0,955.0,-44.85858585858587,931.0
304,101.0,955.0,-44.85858585858587,931.0
305,101.0,955.0,-44.85858585858587,931.0
306,102.0,957.0,-45.06060606060607,931.0
307,102.0,955.0,-44.85858585858587,931.0
308,102.0,979.0,-47.2828282828283,931.0
309,103.0,957.0,-45.06060606060607,931.0
310,103.0,955.0,-44.85858585858587,931.0
311,103.0,996.0,-49.000000000000014,931.0
312,104.0,996.0,-49.00000000000001,931.0
313,104.0,955.0,-44.85858585858587,931.0
314,104.0,1032.0,-52.63636363636363,931.0
315,105.0,955.0,-44.85858585858587,931.0
316,105.0,957.0,-45.06060606060606,931.0
317,105.0,955.0,-44.85858585858588,931.0
318,106.0,955.0,-44.85858585858587,931.0
319,106.0,957.0,-45.06060606060607,931.0
320,106.0,955.0,-44.85858585858587,931.0
321,107.0,957.0,-45.06060606060606,931.0
322,107.0,955.0,-44.85858585858587,931.0
323,107.0,955.0,-44.85858585858587,931.0
324,108.0,955.0,-44.85858585858587,931.0
325,108.0,955.0,-44.85858585858587,931.0
326,108.0,955.0,-44.85858585858587,931.0
327,109.0,955.0,-44.85858585858587,931.0
328,109.0,955.0,-44.85858585858587,931.0
329,109.0,955.0,-44.85858585858587,931.0
330,110.0,955.0,-44.85858585858587,931.0
331,110.0,985.0,-47.88888888888891,931.0
332,110.0,955.0,-44.85858585858587,931.0
333,111.0,955.0,-44.85858585858587,931.0
334,111.0,943.0,-43.64646464646466,931.0
335,111.0,914.0,-40.71717171717174,914.0
336,112.0,1020.0,-51.42424242424243,914.0
337,112.0,955.0,-44.85858585858587,914.0
338,112.0,1020.0,-51.42424242424244,914.0
339,113.0,955.0,-44.85858585858587,914.0
340,113.0,943.0,-43.64646464646466,914.0
341,113.0,955.0,-44.85858585858587,914.0
342,114.0,996.0,-49.00000000000001,914.0
343,114.0,955.0,-44.85858585858587,914.0
344,114.0,996.0,-49.00000000000001,914.0
345,115.0,955.0,-44.85858585858587,914.0
346,115.0,955.0,-44.85858585858587,914.0
347,115.0,955.0,-44.85858585858587,914.0
348,116.0,955.0,-44.85858585858588,914.0
349,116.0,955.0,-44.85858585858587,914.0
350,116.0,955.0,-44.85858585858587,914.0
351,117.0,955.0,-44.85858585858587,914.0
352,117.0,979.0,-47.28282828282829,914.0
353,117.0,955.0,-44.85858585858587,914.0
354,118.0,955.0,-44.85858585858587,914.0
355,118.0,955.0,-44.85858585858587,914.0
356,118.0,955.0,-44.85858585858587,914.0
357,119.0,996.0,-49.000000000000014,914.0
358,119.0,955.0,-44.85858585858587,914.0
359,119.0,955.0,-44.85858585858587,914.0
360,120.0,977.0,-47.08080808080809,914.0
361,120.0,1020.0,-51.42424242424243,914.0
362,120.0,955.0,-44.85858585858587,914.0
363,121.0,955.0,-44.858585858585876,914.0
364,121.0,955.0,-44.85858585858587,914.0
365,121.0,955.0,-44.85858585858587,914.0
366,122.0,955.0,-44.85858585858587,914.0
367,122.0,955.0,-44.85858585858587,914.0
368,122.0,955.0,-44.85858585858587,914.0
369,123.0,955.0,-44.85858585858587,914.0
370,123.0,955.0,-44.85858585858587,914.0
371,123.0,955.0,-44.85858585858587,914.0
372,124.0,955.0,-44.85858585858587,914.0
373,124.0,955.0,-44.85858585858587,914.0
374,124.0,955.0,-44.85858585858587,914.0
375,125.0,955.0,-44.85858585858587,914.0
376,125.0,955.0,-44.85858585858587,914.0
377,125.0,955.0,-44.85858585858587,914.0
378,126.0,955.0,-44.85858585858587,914.0
379,126.0,955.0,-44.85858585858587,914.0
380,126.0,955.0,-44.85858585858587,914.0
381,127.0,976.0,-46.979797979797986,914.0
382,127.0,955.0,-44.85858585858587,914.0
383,127.0,955.0,-44.85858585858587,914.0
384,128.0,955.0,-44.85858585858588,914.0
385,128.0,955.0,-44.85858585858587,914.0
386,128.0,955.0,-44.85858585858587,914.0
387,129.0,957.0,-45.06060606060607,914.0
388,129.0,955.0,-44.85858585858587,914.0
389,129.0,955.0,-44.85858585858587,914.0
390,130.0,955.0,-44.85858585858587,914.0
391,130.0,955.0,-44.85858585858587,914.0
392,130.0,955.0,-44.85858585858587,914.0
393,131.0,955.0,-44.85858585858587,914.0
394,131.0,955.0,-44.85858585858587,914.0
395,131.0,955.0,-44.85858585858587,914.0
396,132.0,955.0,-44.85858585858587,914.0
397,132.0,955.0,-44.85858585858587,914.0
398,132.0,955.0,-44.85858585858587,914.0
399,133.0,955.0,-44.85858585858587,914.0
400,133.0,955.0,-44.85858585858587,914.0
401,133.0,955.0,-44.85858585858587,914.0
402,134.0,955.0,-44.85858585858587,914.0
403,134.0,955.0,-44.85858585858587,914.0
404,134.0,955.0,-44.85858585858587,914.0
405,135.0,955.0,-44.85858585858587,914.0
