,episode,make_span,reward,min make span
0,0.0,1829.0,-31.30303030303033,1829.0
1,0.0,1834.0,-31.808080808080827,1829.0
2,0.0,1830.0,-31.40404040404043,1829.0
3,1.0,1830.0,-31.40404040404042,1829.0
4,1.0,1824.0,-30.797979797979824,1824.0
5,1.0,1932.0,-41.70707070707073,1824.0
6,2.0,1856.0,-34.030303030303045,1824.0
7,2.0,1910.0,-39.48484848484849,1824.0
8,2.0,1886.0,-37.06060606060608,1824.0
9,3.0,1862.0,-34.63636363636365,1824.0
10,3.0,1871.0,-35.54545454545456,1824.0
11,3.0,1814.0,-29.78787878787881,1814.0
12,4.0,1874.0,-35.848484848484865,1814.0
13,4.0,1830.0,-31.40404040404041,1814.0
14,4.0,1875.0,-35.94949494949496,1814.0
15,5.0,1837.0,-32.11111111111115,1814.0
16,5.0,1853.0,-33.72727272727276,1814.0
17,5.0,1837.0,-32.11111111111112,1814.0
18,6.0,1837.0,-32.11111111111115,1814.0
19,6.0,1838.0,-32.212121212121225,1814.0
20,6.0,1821.0,-30.49494949494951,1814.0
21,7.0,1910.0,-39.4848484848485,1814.0
22,7.0,1837.0,-32.111111111111136,1814.0
23,7.0,1910.0,-39.48484848484849,1814.0
24,8.0,1837.0,-32.11111111111113,1814.0
25,8.0,1838.0,-32.21212121212122,1814.0
26,8.0,1838.0,-32.21212121212123,1814.0
27,9.0,1883.0,-36.757575757575765,1814.0
28,9.0,1863.0,-34.73737373737377,1814.0
29,9.0,1881.0,-36.55555555555557,1814.0
30,10.0,1862.0,-34.63636363636365,1814.0
31,10.0,1900.0,-38.4747474747475,1814.0
32,10.0,1877.0,-36.1515151515152,1814.0
33,11.0,1837.0,-32.11111111111113,1814.0
34,11.0,1821.0,-30.494949494949523,1814.0
35,11.0,1862.0,-34.63636363636365,1814.0
36,12.0,1903.0,-38.777777777777786,1814.0
37,12.0,1900.0,-38.4747474747475,1814.0
38,12.0,1890.0,-37.46464646464648,1814.0
39,13.0,1836.0,-32.01010101010103,1814.0
40,13.0,1837.0,-32.11111111111112,1814.0
41,13.0,1885.0,-36.95959595959599,1814.0
42,14.0,1910.0,-39.4848484848485,1814.0
43,14.0,1849.0,-33.32323232323235,1814.0
44,14.0,1838.0,-32.21212121212124,1814.0
45,15.0,1838.0,-32.21212121212124,1814.0
46,15.0,1846.0,-33.02020202020204,1814.0
47,15.0,1816.0,-29.989898989899,1814.0
48,16.0,1799.0,-28.2727272727273,1799.0
49,16.0,1860.0,-34.43434343434346,1799.0
50,16.0,1880.0,-36.45454545454546,1799.0
51,17.0,1927.0,-41.20202020202023,1799.0
52,17.0,1882.0,-36.656565656565675,1799.0
53,17.0,1848.0,-33.22222222222225,1799.0
54,18.0,1811.0,-29.484848484848506,1799.0
55,18.0,1884.0,-36.85858585858587,1799.0
56,18.0,1788.0,-27.161616161616198,1788.0
57,19.0,1874.0,-35.848484848484865,1788.0
58,19.0,1849.0,-33.32323232323235,1788.0
59,19.0,1842.0,-32.616161616161634,1788.0
60,20.0,1819.0,-30.29292929292931,1788.0
61,20.0,1891.0,-37.565656565656596,1788.0
62,20.0,1850.0,-33.42424242424243,1788.0
63,21.0,1805.0,-28.878787878787904,1788.0
64,21.0,1849.0,-33.32323232323236,1788.0
65,21.0,1838.0,-32.21212121212123,1788.0
