,episode,make_span,reward,min make span
0,0.0,2539.0,-196.97979797979843,2539.0
1,0.0,2574.0,-204.05050505050534,2539.0
2,0.0,2610.0,-211.32323232323247,2539.0
3,0.0,2744.0,-238.39393939393992,2539.0
4,0.0,2609.0,-211.12121212121252,2539.0
5,1.0,2509.0,-190.91919191919223,2509.0
6,1.0,2564.0,-202.0303030303033,2509.0
7,1.0,2480.0,-185.06060606060643,2480.0
8,1.0,2543.0,-197.78787878787912,2480.0
9,1.0,2564.0,-202.03030303030334,2480.0
10,2.0,2624.0,-214.1515151515155,2480.0
11,2.0,2526.0,-194.35353535353568,2480.0
12,2.0,2527.0,-194.5555555555558,2480.0
13,2.0,2637.0,-216.7777777777781,2480.0
14,2.0,2635.0,-216.37373737373767,2480.0
15,3.0,2569.0,-203.04040404040444,2480.0
16,3.0,2577.0,-204.65656565656585,2480.0
17,3.0,2551.0,-199.4040404040408,2480.0
18,3.0,2626.0,-214.55555555555583,2480.0
19,3.0,2570.0,-203.24242424242453,2480.0
20,4.0,2603.0,-209.9090909090911,2480.0
21,4.0,2529.0,-194.9595959595963,2480.0
22,4.0,2696.0,-228.69696969697,2480.0
23,4.0,2532.0,-195.56565656565692,2480.0
24,4.0,2774.0,-244.45454545454572,2480.0
25,5.0,2580.0,-205.2626262626267,2480.0
26,5.0,2575.0,-204.2525252525255,2480.0
27,5.0,2518.0,-192.73737373737404,2480.0
28,5.0,2541.0,-197.38383838383868,2480.0
29,5.0,2608.0,-210.91919191919234,2480.0
30,6.0,2539.0,-196.97979797979838,2480.0
31,6.0,2619.0,-213.14141414141451,2480.0
32,6.0,2579.0,-205.0606060606063,2480.0
33,6.0,2545.0,-198.19191919191937,2480.0
34,6.0,2567.0,-202.63636363636402,2480.0
35,7.0,2692.0,-227.88888888888926,2480.0
36,7.0,2596.0,-208.49494949495002,2480.0
37,7.0,2543.0,-197.78787878787915,2480.0
38,7.0,2625.0,-214.35353535353573,2480.0
39,7.0,2537.0,-196.57575757575785,2480.0
40,8.0,2519.0,-192.93939393939434,2480.0
41,8.0,2559.0,-201.02020202020236,2480.0
42,8.0,2583.0,-205.86868686868726,2480.0
43,8.0,2580.0,-205.2626262626264,2480.0
44,8.0,2585.0,-206.27272727272748,2480.0
45,9.0,2492.0,-187.48484848484873,2480.0
46,9.0,2560.0,-201.2222222222226,2480.0
47,9.0,2648.0,-219.0000000000004,2480.0
48,9.0,2567.0,-202.63636363636402,2480.0
49,9.0,2675.0,-224.45454545454572,2480.0
50,10.0,2568.0,-202.83838383838423,2480.0
51,10.0,2686.0,-226.67676767676804,2480.0
52,10.0,2501.0,-189.3030303030306,2480.0
53,10.0,2547.0,-198.59595959595998,2480.0
54,10.0,2650.0,-219.40404040404084,2480.0
55,11.0,2606.0,-210.51515151515173,2480.0
56,11.0,2597.0,-208.69696969697003,2480.0
57,11.0,2582.0,-205.6666666666671,2480.0
58,11.0,2481.0,-185.26262626262653,2480.0
59,11.0,2520.0,-193.1414141414144,2480.0
60,12.0,2614.0,-212.13131313131345,2480.0
61,12.0,2519.0,-192.93939393939414,2480.0
62,12.0,2609.0,-211.12121212121235,2480.0
63,12.0,2559.0,-201.02020202020233,2480.0
64,12.0,2535.0,-196.17171717171735,2480.0
65,13.0,2513.0,-191.72727272727315,2480.0
66,13.0,2525.0,-194.1515151515155,2480.0
67,13.0,2637.0,-216.77777777777806,2480.0
68,13.0,2584.0,-206.07070707070756,2480.0
69,13.0,2541.0,-197.38383838383882,2480.0
70,14.0,2543.0,-197.78787878787927,2480.0
71,14.0,2618.0,-212.93939393939434,2480.0
72,14.0,2530.0,-195.16161616161656,2480.0
73,14.0,2652.0,-219.80808080808114,2480.0
74,14.0,2637.0,-216.777777777778,2480.0
75,15.0,2656.0,-220.61616161616203,2480.0
76,15.0,2537.0,-196.57575757575773,2480.0
77,15.0,2506.0,-190.31313131313163,2480.0
78,15.0,2521.0,-193.34343434343472,2480.0
79,15.0,2537.0,-196.57575757575776,2480.0
80,16.0,2518.0,-192.73737373737416,2480.0
81,16.0,2512.0,-191.52525252525288,2480.0
82,16.0,2451.0,-179.20202020202058,2451.0
83,16.0,2474.0,-183.84848484848519,2451.0
84,16.0,2478.0,-184.65656565656604,2451.0
85,17.0,2515.0,-192.13131313131345,2451.0
86,17.0,2556.0,-200.41414141414174,2451.0
87,17.0,2530.0,-195.16161616161645,2451.0
88,17.0,2572.0,-203.64646464646495,2451.0
89,17.0,2536.0,-196.37373737373778,2451.0
90,18.0,2490.0,-187.08080808080842,2451.0
91,18.0,2598.0,-208.89898989899018,2451.0
92,18.0,2604.0,-210.11111111111146,2451.0
93,18.0,2529.0,-194.95959595959624,2451.0
94,18.0,2602.0,-209.70707070707095,2451.0
95,19.0,2537.0,-196.57575757575796,2451.0
96,19.0,2506.0,-190.31313131313166,2451.0
97,19.0,2564.0,-202.0303030303034,2451.0
98,19.0,2522.0,-193.54545454545473,2451.0
99,19.0,2505.0,-190.1111111111113,2451.0
100,20.0,2547.0,-198.59595959595993,2451.0
101,20.0,2531.0,-195.36363636363677,2451.0
102,20.0,2644.0,-218.19191919191962,2451.0
103,20.0,2564.0,-202.03030303030332,2451.0
104,20.0,2553.0,-199.80808080808106,2451.0
105,21.0,2608.0,-210.9191919191923,2451.0
106,21.0,2542.0,-197.5858585858588,2451.0
107,21.0,2631.0,-215.56565656565687,2451.0
108,21.0,2452.0,-179.40404040404056,2451.0
109,21.0,2501.0,-189.3030303030306,2451.0
110,22.0,2625.0,-214.35353535353576,2451.0
111,22.0,2537.0,-196.575757575758,2451.0
112,22.0,2491.0,-187.28282828282858,2451.0
113,22.0,2610.0,-211.32323232323265,2451.0
114,22.0,2544.0,-197.98989898989927,2451.0
115,23.0,2574.0,-204.05050505050554,2451.0
116,23.0,2607.0,-210.71717171717202,2451.0
117,23.0,2562.0,-201.62626262626304,2451.0
118,23.0,2506.0,-190.31313131313166,2451.0
119,23.0,2603.0,-209.9090909090912,2451.0
120,24.0,2618.0,-212.93939393939408,2451.0
121,24.0,2514.0,-191.92929292929324,2451.0
122,24.0,2424.0,-173.7474747474751,2424.0
123,24.0,2506.0,-190.31313131313155,2424.0
124,24.0,2561.0,-201.42424242424266,2424.0
125,25.0,2525.0,-194.15151515151544,2424.0
126,25.0,2533.0,-195.76767676767693,2424.0
127,25.0,2533.0,-195.76767676767707,2424.0
128,25.0,2558.0,-200.8181818181822,2424.0
129,25.0,2673.0,-224.05050505050536,2424.0
130,26.0,2555.0,-200.21212121212156,2424.0
131,26.0,2518.0,-192.73737373737396,2424.0
132,26.0,2586.0,-206.47474747474755,2424.0
133,26.0,2720.0,-233.5454545454549,2424.0
134,26.0,2633.0,-215.96969696969725,2424.0
135,27.0,2635.0,-216.3737373737377,2424.0
136,27.0,2544.0,-197.98989898989927,2424.0
137,27.0,2475.0,-184.05050505050545,2424.0
138,27.0,2540.0,-197.18181818181847,2424.0
139,27.0,2644.0,-218.19191919191957,2424.0
140,28.0,2714.0,-232.33333333333377,2424.0
141,28.0,2478.0,-184.6565656565658,2424.0
142,28.0,2514.0,-191.92929292929318,2424.0
143,28.0,2532.0,-195.56565656565672,2424.0
144,28.0,2423.0,-173.54545454545485,2423.0
145,29.0,2517.0,-192.53535353535364,2423.0
146,29.0,2600.0,-209.30303030303048,2423.0
147,29.0,2546.0,-198.3939393939398,2423.0
148,29.0,2490.0,-187.08080808080837,2423.0
149,29.0,2474.0,-183.84848484848507,2423.0
150,30.0,2632.0,-215.76767676767705,2423.0
151,30.0,2527.0,-194.55555555555597,2423.0
152,30.0,2526.0,-194.3535353535358,2423.0
153,30.0,2506.0,-190.31313131313158,2423.0
154,30.0,2567.0,-202.63636363636382,2423.0
155,31.0,2581.0,-205.4646464646468,2423.0
156,31.0,2645.0,-218.3939393939399,2423.0
157,31.0,2491.0,-187.28282828282846,2423.0
158,31.0,2641.0,-217.58585858585883,2423.0
159,31.0,2644.0,-218.1919191919195,2423.0
160,32.0,2621.0,-213.54545454545482,2423.0
161,32.0,2463.0,-181.62626262626293,2423.0
162,32.0,2652.0,-219.80808080808114,2423.0
163,32.0,2584.0,-206.0707070707075,2423.0
164,32.0,2618.0,-212.93939393939448,2423.0
165,33.0,2494.0,-187.8888888888892,2423.0
166,33.0,2667.0,-222.83838383838426,2423.0
167,33.0,2529.0,-194.95959595959616,2423.0
168,33.0,2608.0,-210.91919191919214,2423.0
169,33.0,2565.0,-202.23232323232358,2423.0
170,34.0,2570.0,-203.24242424242445,2423.0
171,34.0,2544.0,-197.98989898989944,2423.0
172,34.0,2582.0,-205.66666666666723,2423.0
173,34.0,2545.0,-198.19191919191937,2423.0
174,34.0,2578.0,-204.8585858585861,2423.0
175,35.0,2524.0,-193.94949494949523,2423.0
176,35.0,2488.0,-186.67676767676795,2423.0
177,35.0,2557.0,-200.61616161616192,2423.0
178,35.0,2559.0,-201.02020202020228,2423.0
179,35.0,2597.0,-208.69696969697003,2423.0
180,36.0,2511.0,-191.3232323232326,2423.0
181,36.0,2508.0,-190.71717171717208,2423.0
182,36.0,2701.0,-229.70707070707098,2423.0
183,36.0,2456.0,-180.2121212121216,2423.0
184,36.0,2498.0,-188.69696969697011,2423.0
185,37.0,2520.0,-193.14141414141451,2423.0
186,37.0,2554.0,-200.0101010101013,2423.0
187,37.0,2470.0,-183.0404040404046,2423.0
188,37.0,2434.0,-175.767676767677,2423.0
189,37.0,2505.0,-190.11111111111146,2423.0
190,38.0,2509.0,-190.91919191919217,2423.0
191,38.0,2607.0,-210.7171717171722,2423.0
192,38.0,2486.0,-186.27272727272776,2423.0
193,38.0,2559.0,-201.02020202020225,2423.0
194,38.0,2627.0,-214.75757575757618,2423.0
195,39.0,2597.0,-208.69696969696997,2423.0
196,39.0,2597.0,-208.69696969697003,2423.0
197,39.0,2499.0,-188.8989898989902,2423.0
198,39.0,2495.0,-188.0909090909094,2423.0
199,39.0,2540.0,-197.1818181818185,2423.0
200,40.0,2580.0,-205.26262626262658,2423.0
201,40.0,2538.0,-196.777777777778,2423.0
202,40.0,2545.0,-198.19191919191942,2423.0
203,40.0,2477.0,-184.45454545454584,2423.0
204,40.0,2607.0,-210.71717171717194,2423.0
205,41.0,2566.0,-202.43434343434387,2423.0
206,41.0,2563.0,-201.82828282828314,2423.0
207,41.0,2474.0,-183.8484848484852,2423.0
208,41.0,2601.0,-209.50505050505078,2423.0
209,41.0,2575.0,-204.2525252525256,2423.0
210,42.0,2502.0,-189.50505050505078,2423.0
211,42.0,2559.0,-201.0202020202021,2423.0
212,42.0,2569.0,-203.04040404040447,2423.0
213,42.0,2540.0,-197.18181818181853,2423.0
214,42.0,2576.0,-204.45454545454572,2423.0
215,43.0,2756.0,-240.81818181818215,2423.0
216,43.0,2616.0,-212.53535353535378,2423.0
217,43.0,2565.0,-202.23232323232355,2423.0
218,43.0,2574.0,-204.05050505050542,2423.0
219,43.0,2589.0,-207.08080808080837,2423.0
220,44.0,2613.0,-211.92929292929324,2423.0
221,44.0,2629.0,-215.16161616161665,2423.0
222,44.0,2557.0,-200.61616161616203,2423.0
223,44.0,2539.0,-196.97979797979826,2423.0
224,44.0,2528.0,-194.75757575757615,2423.0
225,45.0,2577.0,-204.65656565656602,2423.0
226,45.0,2643.0,-217.9898989898994,2423.0
227,45.0,2630.0,-215.36363636363677,2423.0
228,45.0,2544.0,-197.98989898989936,2423.0
229,45.0,2508.0,-190.71717171717188,2423.0
230,46.0,2547.0,-198.5959595959598,2423.0
231,46.0,2564.0,-202.0303030303032,2423.0
232,46.0,2527.0,-194.55555555555597,2423.0
233,46.0,2597.0,-208.69696969697003,2423.0
234,46.0,2482.0,-185.46464646464676,2423.0
235,47.0,2623.0,-213.94949494949523,2423.0
236,47.0,2528.0,-194.75757575757603,2423.0
237,47.0,2530.0,-195.16161616161645,2423.0
238,47.0,2529.0,-194.95959595959621,2423.0
239,47.0,2477.0,-184.4545454545458,2423.0
240,48.0,2476.0,-184.25252525252557,2423.0
241,48.0,2518.0,-192.73737373737407,2423.0
242,48.0,2619.0,-213.1414141414145,2423.0
243,48.0,2540.0,-197.18181818181847,2423.0
244,48.0,2590.0,-207.2828282828286,2423.0
245,49.0,2538.0,-196.77777777777797,2423.0
246,49.0,2569.0,-203.04040404040435,2423.0
247,49.0,2513.0,-191.727272727273,2423.0
248,49.0,2511.0,-191.3232323232326,2423.0
249,49.0,2575.0,-204.25252525252566,2423.0
250,50.0,2508.0,-190.717171717172,2423.0
251,50.0,2620.0,-213.3434343434346,2423.0
252,50.0,2547.0,-198.59595959595987,2423.0
253,50.0,2540.0,-197.18181818181847,2423.0
254,50.0,2601.0,-209.50505050505078,2423.0
255,51.0,2558.0,-200.81818181818207,2423.0
256,51.0,2547.0,-198.5959595959599,2423.0
257,51.0,2473.0,-183.64646464646495,2423.0
258,51.0,2423.0,-173.54545454545482,2423.0
259,51.0,2489.0,-186.87878787878816,2423.0
260,52.0,2504.0,-189.90909090909125,2423.0
261,52.0,2549.0,-199.00000000000006,2423.0
262,52.0,2523.0,-193.74747474747508,2423.0
263,52.0,2535.0,-196.1717171717175,2423.0
264,52.0,2520.0,-193.1414141414144,2423.0
265,53.0,2602.0,-209.707070707071,2423.0
266,53.0,2525.0,-194.15151515151538,2423.0
267,53.0,2617.0,-212.73737373737407,2423.0
268,53.0,2603.0,-209.90909090909136,2423.0
269,53.0,2588.0,-206.8787878787884,2423.0
270,54.0,2515.0,-192.13131313131345,2423.0
271,54.0,2547.0,-198.59595959595998,2423.0
272,54.0,2481.0,-185.26262626262653,2423.0
273,54.0,2504.0,-189.90909090909128,2423.0
274,54.0,2583.0,-205.86868686868726,2423.0
275,55.0,2518.0,-192.7373737373742,2423.0
276,55.0,2560.0,-201.22222222222268,2423.0
277,55.0,2497.0,-188.49494949494976,2423.0
278,55.0,2518.0,-192.7373737373739,2423.0
279,55.0,2576.0,-204.45454545454567,2423.0
280,56.0,2577.0,-204.65656565656604,2423.0
281,56.0,2547.0,-198.59595959595998,2423.0
282,56.0,2515.0,-192.1313131313135,2423.0
283,56.0,2517.0,-192.5353535353538,2423.0
284,56.0,2481.0,-185.26262626262644,2423.0
285,57.0,2544.0,-197.98989898989927,2423.0
286,57.0,2621.0,-213.54545454545482,2423.0
287,57.0,2507.0,-190.51515151515179,2423.0
288,57.0,2531.0,-195.3636363636366,2423.0
289,57.0,2469.0,-182.83838383838415,2423.0
290,58.0,2513.0,-191.72727272727312,2423.0
291,58.0,2486.0,-186.27272727272768,2423.0
292,58.0,2508.0,-190.7171717171719,2423.0
293,58.0,2566.0,-202.4343434343437,2423.0
294,58.0,2561.0,-201.42424242424278,2423.0
295,59.0,2589.0,-207.0808080808083,2423.0
296,59.0,2531.0,-195.3636363636368,2423.0
297,59.0,2529.0,-194.95959595959616,2423.0
298,59.0,2601.0,-209.50505050505097,2423.0
299,59.0,2502.0,-189.50505050505092,2423.0
300,60.0,2497.0,-188.4949494949498,2423.0
301,60.0,2515.0,-192.13131313131353,2423.0
302,60.0,2638.0,-216.9797979797984,2423.0
303,60.0,2554.0,-200.0101010101014,2423.0
304,60.0,2501.0,-189.30303030303057,2423.0
305,61.0,2585.0,-206.27272727272754,2423.0
306,61.0,2491.0,-187.28282828282875,2423.0
307,61.0,2591.0,-207.48484848484878,2423.0
308,61.0,2600.0,-209.3030303030305,2423.0
309,61.0,2535.0,-196.17171717171755,2423.0
310,62.0,2565.0,-202.23232323232352,2423.0
311,62.0,2497.0,-188.49494949494994,2423.0
312,62.0,2457.0,-180.41414141414162,2423.0
313,62.0,2535.0,-196.1717171717175,2423.0
314,62.0,2563.0,-201.8282828282831,2423.0
315,63.0,2564.0,-202.0303030303033,2423.0
316,63.0,2565.0,-202.23232323232344,2423.0
317,63.0,2535.0,-196.1717171717175,2423.0
318,63.0,2561.0,-201.4242424242427,2423.0
319,63.0,2518.0,-192.73737373737407,2423.0
320,64.0,2587.0,-206.67676767676812,2423.0
321,64.0,2525.0,-194.15151515151555,2423.0
322,64.0,2516.0,-192.3333333333337,2423.0
323,64.0,2515.0,-192.1313131313134,2423.0
324,64.0,2496.0,-188.29292929292947,2423.0
325,65.0,2526.0,-194.3535353535357,2423.0
326,65.0,2549.0,-199.0000000000003,2423.0
327,65.0,2551.0,-199.40404040404079,2423.0
328,65.0,2505.0,-190.11111111111128,2423.0
329,65.0,2545.0,-198.19191919191957,2423.0
330,66.0,2594.0,-208.09090909090935,2423.0
331,66.0,2523.0,-193.747474747475,2423.0
332,66.0,2562.0,-201.62626262626313,2423.0
333,66.0,2578.0,-204.85858585858634,2423.0
334,66.0,2569.0,-203.04040404040433,2423.0
335,67.0,2516.0,-192.33333333333363,2423.0
336,67.0,2490.0,-187.0808080808083,2423.0
337,67.0,2535.0,-196.1717171717174,2423.0
338,67.0,2556.0,-200.41414141414157,2423.0
339,67.0,2595.0,-208.29292929292959,2423.0
340,68.0,2512.0,-191.52525252525285,2423.0
341,68.0,2490.0,-187.0808080808086,2423.0
342,68.0,2627.0,-214.75757575757618,2423.0
343,68.0,2518.0,-192.73737373737404,2423.0
344,68.0,2482.0,-185.46464646464693,2423.0
345,69.0,2542.0,-197.58585858585886,2423.0
346,69.0,2557.0,-200.61616161616186,2423.0
347,69.0,2629.0,-215.1616161616164,2423.0
348,69.0,2496.0,-188.2929292929296,2423.0
349,69.0,2535.0,-196.17171717171766,2423.0
350,70.0,2574.0,-204.05050505050534,2423.0
351,70.0,2575.0,-204.25252525252566,2423.0
352,70.0,2520.0,-193.14141414141446,2423.0
353,70.0,2597.0,-208.69696969696997,2423.0
354,70.0,2459.0,-180.81818181818218,2423.0
355,71.0,2514.0,-191.9292929292932,2423.0
356,71.0,2584.0,-206.0707070707074,2423.0
357,71.0,2561.0,-201.42424242424266,2423.0
358,71.0,2504.0,-189.90909090909116,2423.0
359,71.0,2546.0,-198.39393939393972,2423.0
360,72.0,2450.0,-179.00000000000034,2423.0
361,72.0,2518.0,-192.73737373737399,2423.0
362,72.0,2491.0,-187.28282828282852,2423.0
363,72.0,2536.0,-196.3737373737377,2423.0
364,72.0,2450.0,-179.00000000000034,2423.0
365,73.0,2614.0,-212.13131313131356,2423.0
366,73.0,2532.0,-195.5656565656569,2423.0
367,73.0,2601.0,-209.50505050505086,2423.0
368,73.0,2534.0,-195.96969696969717,2423.0
369,73.0,2547.0,-198.59595959595987,2423.0
370,74.0,2500.0,-189.1010101010104,2423.0
371,74.0,2536.0,-196.37373737373758,2423.0
372,74.0,2486.0,-186.27272727272756,2423.0
373,74.0,2597.0,-208.69696969696997,2423.0
374,74.0,2537.0,-196.57575757575773,2423.0
375,75.0,2619.0,-213.14141414141443,2423.0
376,75.0,2583.0,-205.86868686868718,2423.0
377,75.0,2546.0,-198.39393939393972,2423.0
378,75.0,2492.0,-187.48484848484878,2423.0
379,75.0,2488.0,-186.67676767676815,2423.0
380,76.0,2590.0,-207.28282828282877,2423.0
381,76.0,2592.0,-207.68686868686916,2423.0
382,76.0,2555.0,-200.21212121212133,2423.0
383,76.0,2451.0,-179.20202020202044,2423.0
384,76.0,2505.0,-190.11111111111137,2423.0
385,77.0,2481.0,-185.26262626262655,2423.0
386,77.0,2562.0,-201.62626262626304,2423.0
387,77.0,2594.0,-208.0909090909093,2423.0
388,77.0,2477.0,-184.4545454545459,2423.0
389,77.0,2546.0,-198.39393939393975,2423.0
