,episode,make_span,reward,min make span
0,0.0,1073.0,-56.77777777777776,1073.0
1,0.0,1110.0,-60.51515151515151,1073.0
2,0.0,1071.0,-56.57575757575758,1071.0
3,0.0,1049.0,-54.35353535353538,1049.0
4,0.0,1100.0,-59.50505050505053,1049.0
5,1.0,1063.0,-55.76767676767676,1049.0
6,1.0,1042.0,-53.646464646464636,1042.0
7,1.0,1041.0,-53.54545454545456,1041.0
8,1.0,1061.0,-55.56565656565657,1041.0
9,1.0,1106.0,-60.11111111111109,1041.0
10,2.0,1098.0,-59.30303030303031,1041.0
11,2.0,1072.0,-56.67676767676768,1041.0
12,2.0,1032.0,-52.63636363636364,1032.0
13,2.0,1025.0,-51.92929292929291,1025.0
14,2.0,1002.0,-49.60606060606061,1002.0
15,3.0,1074.0,-56.87878787878788,1002.0
16,3.0,1058.0,-55.262626262626256,1002.0
17,3.0,1020.0,-51.42424242424243,1002.0
18,3.0,976.0,-46.979797979798,976.0
19,3.0,1048.0,-54.25252525252527,976.0
20,4.0,1005.0,-49.90909090909091,976.0
21,4.0,1041.0,-53.545454545454554,976.0
22,4.0,1089.0,-58.393939393939384,976.0
23,4.0,980.0,-47.383838383838395,976.0
24,4.0,1064.0,-55.86868686868687,976.0
25,5.0,974.0,-46.77777777777777,974.0
26,5.0,1046.0,-54.05050505050504,974.0
27,5.0,1118.0,-61.32323232323233,974.0
28,5.0,1013.0,-50.717171717171716,974.0
29,5.0,998.0,-49.20202020202022,974.0
30,6.0,1010.0,-50.414141414141405,974.0
31,6.0,1053.0,-54.75757575757575,974.0
32,6.0,1024.0,-51.82828282828283,974.0
33,6.0,1033.0,-52.73737373737375,974.0
34,6.0,963.0,-45.66666666666668,963.0
35,7.0,1022.0,-51.62626262626263,963.0
36,7.0,966.0,-45.96969696969696,963.0
37,7.0,961.0,-45.46464646464648,961.0
38,7.0,990.0,-48.393939393939405,961.0
39,7.0,1243.0,-73.94949494949496,961.0
40,8.0,1048.0,-54.252525252525245,961.0
41,8.0,1022.0,-51.62626262626262,961.0
42,8.0,1099.0,-59.40404040404041,961.0
43,8.0,1041.0,-53.54545454545454,961.0
44,8.0,1031.0,-52.53535353535354,961.0
45,9.0,1038.0,-53.24242424242425,961.0
46,9.0,1022.0,-51.62626262626264,961.0
47,9.0,1006.0,-50.01010101010101,961.0
48,9.0,1008.0,-50.21212121212122,961.0
49,9.0,964.0,-45.767676767676804,961.0
50,10.0,1045.0,-53.949494949494955,961.0
51,10.0,1009.0,-50.31313131313133,961.0
52,10.0,991.0,-48.49494949494952,961.0
53,10.0,977.0,-47.0808080808081,961.0
54,10.0,1030.0,-52.434343434343425,961.0
55,11.0,1041.0,-53.545454545454554,961.0
56,11.0,1053.0,-54.75757575757576,961.0
57,11.0,1029.0,-52.333333333333364,961.0
58,11.0,1101.0,-59.60606060606061,961.0
59,11.0,1034.0,-52.838383838383855,961.0
60,12.0,1032.0,-52.63636363636365,961.0
61,12.0,1013.0,-50.71717171717172,961.0
62,12.0,1021.0,-51.525252525252554,961.0
63,12.0,1045.0,-53.94949494949495,961.0
64,12.0,1060.0,-55.46464646464647,961.0
65,13.0,1033.0,-52.73737373737375,961.0
66,13.0,1065.0,-55.96969696969698,961.0
67,13.0,1061.0,-55.56565656565655,961.0
68,13.0,1041.0,-53.54545454545456,961.0
69,13.0,993.0,-48.6969696969697,961.0
70,14.0,1064.0,-55.868686868686886,961.0
71,14.0,1014.0,-50.81818181818183,961.0
72,14.0,1032.0,-52.636363636363654,961.0
73,14.0,1010.0,-50.41414141414143,961.0
74,14.0,1067.0,-56.17171717171717,961.0
75,15.0,1057.0,-55.16161616161616,961.0
76,15.0,1047.0,-54.151515151515156,961.0
77,15.0,1018.0,-51.222222222222214,961.0
78,15.0,1018.0,-51.22222222222222,961.0
79,15.0,1007.0,-50.1111111111111,961.0
80,16.0,1067.0,-56.17171717171717,961.0
81,16.0,1036.0,-53.04040404040405,961.0
82,16.0,1028.0,-52.23232323232323,961.0
83,16.0,1044.0,-53.848484848484865,961.0
84,16.0,966.0,-45.96969696969697,961.0
85,17.0,1064.0,-55.86868686868688,961.0
86,17.0,1010.0,-50.41414141414141,961.0
87,17.0,1020.0,-51.42424242424243,961.0
88,17.0,974.0,-46.77777777777778,961.0
89,17.0,1041.0,-53.545454545454575,961.0
90,18.0,1041.0,-53.54545454545456,961.0
91,18.0,1038.0,-53.24242424242427,961.0
92,18.0,1031.0,-52.535353535353536,961.0
93,18.0,1022.0,-51.62626262626263,961.0
94,18.0,1001.0,-49.505050505050505,961.0
95,19.0,1036.0,-53.04040404040406,961.0
96,19.0,1011.0,-50.51515151515154,961.0
97,19.0,1038.0,-53.24242424242425,961.0
98,19.0,978.0,-47.181818181818194,961.0
99,19.0,1042.0,-53.64646464646464,961.0
100,20.0,1003.0,-49.707070707070706,961.0
101,20.0,1019.0,-51.323232323232325,961.0
102,20.0,955.0,-44.85858585858588,955.0
103,20.0,1066.0,-56.07070707070709,955.0
104,20.0,1018.0,-51.222222222222214,955.0
105,21.0,1073.0,-56.777777777777764,955.0
106,21.0,1027.0,-52.13131313131314,955.0
107,21.0,1079.0,-57.38383838383838,955.0
108,21.0,963.0,-45.666666666666686,955.0
109,21.0,979.0,-47.282828282828305,955.0
110,22.0,1097.0,-59.2020202020202,955.0
111,22.0,1023.0,-51.72727272727274,955.0
112,22.0,1023.0,-51.72727272727274,955.0
113,22.0,966.0,-45.96969696969699,955.0
114,22.0,1029.0,-52.33333333333334,955.0
115,23.0,1050.0,-54.454545454545475,955.0
116,23.0,979.0,-47.28282828282827,955.0
117,23.0,1010.0,-50.41414141414142,955.0
118,23.0,1021.0,-51.52525252525254,955.0
119,23.0,1064.0,-55.868686868686865,955.0
120,24.0,1035.0,-52.93939393939394,955.0
121,24.0,1110.0,-60.51515151515153,955.0
122,24.0,1020.0,-51.42424242424243,955.0
123,24.0,1025.0,-51.929292929292934,955.0
124,24.0,1009.0,-50.3131313131313,955.0
125,25.0,1036.0,-53.040404040404056,955.0
126,25.0,1020.0,-51.424242424242436,955.0
127,25.0,1066.0,-56.07070707070709,955.0
128,25.0,1023.0,-51.72727272727273,955.0
129,25.0,988.0,-48.1919191919192,955.0
130,26.0,1011.0,-50.5151515151515,955.0
131,26.0,1052.0,-54.65656565656566,955.0
132,26.0,992.0,-48.595959595959606,955.0
133,26.0,1073.0,-56.77777777777777,955.0
134,26.0,991.0,-48.4949494949495,955.0
135,27.0,1009.0,-50.313131313131315,955.0
136,27.0,1020.0,-51.424242424242436,955.0
137,27.0,960.0,-45.36363636363637,955.0
138,27.0,998.0,-49.2020202020202,955.0
139,27.0,1077.0,-57.181818181818194,955.0
140,28.0,1024.0,-51.82828282828284,955.0
141,28.0,1026.0,-52.03030303030303,955.0
142,28.0,997.0,-49.10101010101013,955.0
143,28.0,1121.0,-61.62626262626263,955.0
144,28.0,1040.0,-53.444444444444464,955.0
145,29.0,1046.0,-54.050505050505045,955.0
146,29.0,1106.0,-60.1111111111111,955.0
147,29.0,1077.0,-57.18181818181819,955.0
148,29.0,1049.0,-54.35353535353536,955.0
149,29.0,1018.0,-51.222222222222214,955.0
150,30.0,1095.0,-58.99999999999999,955.0
151,30.0,1112.0,-60.717171717171716,955.0
152,30.0,1031.0,-52.53535353535354,955.0
153,30.0,976.0,-46.979797979797986,955.0
154,30.0,1034.0,-52.83838383838386,955.0
155,31.0,1045.0,-53.94949494949495,955.0
156,31.0,1020.0,-51.42424242424245,955.0
157,31.0,1016.0,-51.02020202020202,955.0
158,31.0,1064.0,-55.86868686868688,955.0
159,31.0,985.0,-47.8888888888889,955.0
160,32.0,1063.0,-55.76767676767678,955.0
161,32.0,1003.0,-49.7070707070707,955.0
162,32.0,1054.0,-54.85858585858586,955.0
163,32.0,1061.0,-55.565656565656575,955.0
164,32.0,1002.0,-49.60606060606061,955.0
165,33.0,969.0,-46.27272727272728,955.0
166,33.0,1041.0,-53.54545454545456,955.0
167,33.0,964.0,-45.76767676767676,955.0
168,33.0,1044.0,-53.84848484848486,955.0
169,33.0,970.0,-46.37373737373737,955.0
170,34.0,1021.0,-51.52525252525254,955.0
171,34.0,961.0,-45.46464646464648,955.0
172,34.0,1032.0,-52.63636363636362,955.0
173,34.0,1047.0,-54.151515151515156,955.0
174,34.0,986.0,-47.989898989898975,955.0
175,35.0,1041.0,-53.54545454545455,955.0
176,35.0,1020.0,-51.424242424242436,955.0
177,35.0,964.0,-45.76767676767678,955.0
178,35.0,1064.0,-55.86868686868688,955.0
179,35.0,1041.0,-53.54545454545455,955.0
180,36.0,975.0,-46.878787878787875,955.0
181,36.0,1102.0,-59.70707070707071,955.0
182,36.0,1041.0,-53.54545454545454,955.0
183,36.0,984.0,-47.787878787878796,955.0
184,36.0,1021.0,-51.52525252525254,955.0
185,37.0,1011.0,-50.515151515151516,955.0
186,37.0,1016.0,-51.02020202020205,955.0
187,37.0,1042.0,-53.646464646464665,955.0
188,37.0,1041.0,-53.54545454545455,955.0
189,37.0,1015.0,-50.91919191919194,955.0
190,38.0,1041.0,-53.54545454545456,955.0
191,38.0,1041.0,-53.54545454545455,955.0
192,38.0,1065.0,-55.96969696969696,955.0
193,38.0,1043.0,-53.74747474747475,955.0
194,38.0,1054.0,-54.858585858585876,955.0
195,39.0,1020.0,-51.42424242424242,955.0
196,39.0,1031.0,-52.53535353535354,955.0
197,39.0,1000.0,-49.4040404040404,955.0
198,39.0,969.0,-46.272727272727295,955.0
199,39.0,981.0,-47.48484848484849,955.0
200,40.0,1021.0,-51.52525252525254,955.0
201,40.0,969.0,-46.272727272727295,955.0
202,40.0,1011.0,-50.51515151515151,955.0
203,40.0,1012.0,-50.61616161616163,955.0
204,40.0,1016.0,-51.02020202020201,955.0
205,41.0,1045.0,-53.949494949494955,955.0
206,41.0,1016.0,-51.02020202020202,955.0
207,41.0,991.0,-48.49494949494951,955.0
208,41.0,959.0,-45.26262626262626,955.0
209,41.0,1024.0,-51.82828282828283,955.0
210,42.0,1107.0,-60.21212121212122,955.0
211,42.0,1044.0,-53.84848484848486,955.0
212,42.0,1055.0,-54.95959595959595,955.0
213,42.0,991.0,-48.4949494949495,955.0
214,42.0,1156.0,-65.16161616161614,955.0
215,43.0,1024.0,-51.82828282828282,955.0
216,43.0,1029.0,-52.33333333333334,955.0
217,43.0,970.0,-46.37373737373738,955.0
218,43.0,956.0,-44.959595959595966,955.0
219,43.0,1039.0,-53.34343434343435,955.0
220,44.0,993.0,-48.6969696969697,955.0
221,44.0,1064.0,-55.86868686868688,955.0
222,44.0,1016.0,-51.02020202020202,955.0
223,44.0,962.0,-45.56565656565657,955.0
224,44.0,1036.0,-53.040404040404056,955.0
225,45.0,980.0,-47.383838383838416,955.0
226,45.0,1061.0,-55.56565656565658,955.0
227,45.0,1016.0,-51.020202020202014,955.0
228,45.0,1011.0,-50.51515151515154,955.0
229,45.0,1057.0,-55.16161616161615,955.0
230,46.0,1118.0,-61.32323232323232,955.0
231,46.0,993.0,-48.69696969696969,955.0
232,46.0,1030.0,-52.434343434343425,955.0
233,46.0,996.0,-49.00000000000002,955.0
234,46.0,999.0,-49.30303030303029,955.0
235,47.0,994.0,-48.7979797979798,955.0
236,47.0,960.0,-45.36363636363637,955.0
237,47.0,1122.0,-61.72727272727274,955.0
238,47.0,1024.0,-51.82828282828284,955.0
239,47.0,980.0,-47.383838383838395,955.0
240,48.0,964.0,-45.76767676767678,955.0
241,48.0,1021.0,-51.52525252525252,955.0
242,48.0,980.0,-47.38383838383839,955.0
243,48.0,991.0,-48.494949494949495,955.0
244,48.0,1001.0,-49.50505050505053,955.0
245,49.0,1093.0,-58.79797979797982,955.0
246,49.0,987.0,-48.0909090909091,955.0
247,49.0,1023.0,-51.72727272727276,955.0
248,49.0,1025.0,-51.929292929292934,955.0
249,49.0,963.0,-45.666666666666686,955.0
250,50.0,993.0,-48.6969696969697,955.0
251,50.0,963.0,-45.666666666666686,955.0
252,50.0,964.0,-45.76767676767676,955.0
253,50.0,996.0,-49.0,955.0
254,50.0,971.0,-46.474747474747495,955.0
255,51.0,991.0,-48.49494949494951,955.0
256,51.0,960.0,-45.36363636363637,955.0
257,51.0,955.0,-44.858585858585876,955.0
258,51.0,992.0,-48.59595959595959,955.0
259,51.0,1056.0,-55.060606060606055,955.0
260,52.0,964.0,-45.76767676767678,955.0
261,52.0,1021.0,-51.52525252525254,955.0
262,52.0,970.0,-46.37373737373738,955.0
263,52.0,1005.0,-49.90909090909093,955.0
264,52.0,978.0,-47.18181818181819,955.0
265,53.0,1045.0,-53.94949494949495,955.0
266,53.0,1029.0,-52.33333333333334,955.0
267,53.0,968.0,-46.17171717171718,955.0
268,53.0,1041.0,-53.54545454545453,955.0
269,53.0,1023.0,-51.72727272727275,955.0
270,54.0,964.0,-45.76767676767676,955.0
271,54.0,1025.0,-51.92929292929297,955.0
272,54.0,1067.0,-56.17171717171719,955.0
273,54.0,1036.0,-53.040404040404056,955.0
274,54.0,1037.0,-53.141414141414145,955.0
275,55.0,971.0,-46.47474747474749,955.0
276,55.0,960.0,-45.36363636363635,955.0
277,55.0,1001.0,-49.505050505050505,955.0
278,55.0,1021.0,-51.525252525252526,955.0
279,55.0,960.0,-45.36363636363637,955.0
280,56.0,955.0,-44.85858585858587,955.0
281,56.0,994.0,-48.797979797979814,955.0
282,56.0,996.0,-49.00000000000003,955.0
283,56.0,1050.0,-54.45454545454546,955.0
284,56.0,981.0,-47.48484848484849,955.0
285,57.0,960.0,-45.363636363636374,955.0
286,57.0,964.0,-45.76767676767676,955.0
287,57.0,985.0,-47.88888888888888,955.0
288,57.0,964.0,-45.76767676767676,955.0
289,57.0,964.0,-45.767676767676775,955.0
290,58.0,1078.0,-57.28282828282829,955.0
291,58.0,1045.0,-53.94949494949495,955.0
292,58.0,1077.0,-57.1818181818182,955.0
293,58.0,1049.0,-54.353535353535364,955.0
294,58.0,1076.0,-57.08080808080809,955.0
295,59.0,1024.0,-51.82828282828284,955.0
296,59.0,976.0,-46.97979797979799,955.0
297,59.0,955.0,-44.85858585858587,955.0
298,59.0,1002.0,-49.6060606060606,955.0
299,59.0,977.0,-47.08080808080809,955.0
300,60.0,987.0,-48.09090909090911,955.0
301,60.0,973.0,-46.67676767676767,955.0
302,60.0,1003.0,-49.7070707070707,955.0
303,60.0,979.0,-47.282828282828305,955.0
304,60.0,961.0,-45.46464646464648,955.0
305,61.0,1112.0,-60.71717171717174,955.0
306,61.0,969.0,-46.27272727272728,955.0
307,61.0,1017.0,-51.121212121212146,955.0
308,61.0,970.0,-46.37373737373738,955.0
309,61.0,1007.0,-50.111111111111114,955.0
310,62.0,964.0,-45.76767676767676,955.0
311,62.0,949.0,-44.25252525252525,949.0
312,62.0,1019.0,-51.323232323232325,949.0
313,62.0,955.0,-44.858585858585876,949.0
314,62.0,955.0,-44.858585858585876,949.0
315,63.0,969.0,-46.272727272727295,949.0
316,63.0,955.0,-44.85858585858587,949.0
317,63.0,1046.0,-54.05050505050505,949.0
318,63.0,955.0,-44.858585858585876,949.0
319,63.0,1054.0,-54.858585858585855,949.0
320,64.0,955.0,-44.858585858585876,949.0
321,64.0,1022.0,-51.62626262626263,949.0
322,64.0,969.0,-46.272727272727295,949.0
323,64.0,1017.0,-51.12121212121214,949.0
324,64.0,1016.0,-51.02020202020202,949.0
325,65.0,961.0,-45.46464646464647,949.0
326,65.0,1050.0,-54.45454545454546,949.0
327,65.0,969.0,-46.272727272727295,949.0
328,65.0,1038.0,-53.242424242424256,949.0
329,65.0,1004.0,-49.808080808080845,949.0
330,66.0,1099.0,-59.4040404040404,949.0
331,66.0,1042.0,-53.646464646464665,949.0
332,66.0,1092.0,-58.69696969696969,949.0
333,66.0,1009.0,-50.31313131313133,949.0
334,66.0,955.0,-44.85858585858587,949.0
335,67.0,1085.0,-57.989898989899,949.0
336,67.0,1050.0,-54.45454545454546,949.0
337,67.0,955.0,-44.85858585858587,949.0
338,67.0,1041.0,-53.545454545454554,949.0
339,67.0,1093.0,-58.79797979797979,949.0
340,68.0,976.0,-46.97979797979799,949.0
341,68.0,1038.0,-53.24242424242425,949.0
342,68.0,955.0,-44.858585858585876,949.0
343,68.0,964.0,-45.76767676767678,949.0
344,68.0,1004.0,-49.80808080808083,949.0
345,69.0,1015.0,-50.91919191919193,949.0
346,69.0,1025.0,-51.929292929292956,949.0
347,69.0,992.0,-48.595959595959606,949.0
348,69.0,1085.0,-57.989898989899,949.0
349,69.0,1025.0,-51.929292929292934,949.0
350,70.0,1015.0,-50.91919191919194,949.0
351,70.0,964.0,-45.76767676767676,949.0
352,70.0,1022.0,-51.626262626262644,949.0
353,70.0,1031.0,-52.53535353535354,949.0
354,70.0,964.0,-45.76767676767676,949.0
355,71.0,1015.0,-50.91919191919193,949.0
356,71.0,995.0,-48.898989898989896,949.0
357,71.0,991.0,-48.494949494949516,949.0
358,71.0,1049.0,-54.353535353535364,949.0
359,71.0,1010.0,-50.41414141414143,949.0
360,72.0,1022.0,-51.62626262626263,949.0
361,72.0,955.0,-44.85858585858587,949.0
362,72.0,1034.0,-52.838383838383834,949.0
363,72.0,1008.0,-50.21212121212123,949.0
364,72.0,1063.0,-55.76767676767679,949.0
365,73.0,961.0,-45.46464646464648,949.0
366,73.0,992.0,-48.5959595959596,949.0
