,episode,make_span,reward,min make span
0,0.0,1191.0,-52.259541984732806,1191.0
1,0.0,1221.0,-54.5496183206107,1191.0
2,0.0,1134.0,-47.90839694656488,1134.0
3,0.0,1149.0,-49.05343511450381,1134.0
4,0.0,1184.0,-51.72519083969465,1134.0
5,1.0,1138.0,-48.213740458015266,1134.0
6,1.0,1227.0,-55.007633587786266,1134.0
7,1.0,1195.0,-52.5648854961832,1134.0
8,1.0,1191.0,-52.25954198473282,1134.0
9,1.0,1229.0,-55.16030534351145,1134.0
10,2.0,1191.0,-52.25954198473283,1134.0
11,2.0,1233.0,-55.46564885496184,1134.0
12,2.0,1226.0,-54.93129770992366,1134.0
13,2.0,1129.0,-47.526717557251914,1129.0
14,2.0,1173.0,-50.8854961832061,1129.0
15,3.0,1142.0,-48.519083969465655,1129.0
16,3.0,1184.0,-51.72519083969465,1129.0
17,3.0,1167.0,-50.42748091603053,1129.0
18,3.0,1133.0,-47.832061068702295,1129.0
19,3.0,1210.0,-53.70992366412212,1129.0
20,4.0,1168.0,-50.50381679389313,1129.0
21,4.0,1190.0,-52.18320610687021,1129.0
22,4.0,1163.0,-50.122137404580144,1129.0
23,4.0,1186.0,-51.87786259541983,1129.0
24,4.0,1105.0,-45.69465648854961,1105.0
25,5.0,1190.0,-52.18320610687024,1105.0
26,5.0,1247.0,-56.534351145038144,1105.0
27,5.0,1144.0,-48.67175572519084,1105.0
28,5.0,1150.0,-49.12977099236641,1105.0
29,5.0,1210.0,-53.70992366412213,1105.0
30,6.0,1188.0,-52.03053435114503,1105.0
31,6.0,1093.0,-44.77862595419849,1093.0
32,6.0,1130.0,-47.6030534351145,1093.0
33,6.0,1140.0,-48.366412213740475,1093.0
34,6.0,1153.0,-49.35877862595421,1093.0
35,7.0,1126.0,-47.297709923664115,1093.0
36,7.0,1149.0,-49.05343511450383,1093.0
37,7.0,1099.0,-45.23664122137404,1093.0
38,7.0,1202.0,-53.099236641221374,1093.0
39,7.0,1184.0,-51.72519083969464,1093.0
40,8.0,1193.0,-52.41221374045802,1093.0
41,8.0,1137.0,-48.13740458015266,1093.0
42,8.0,1260.0,-57.526717557251914,1093.0
43,8.0,1195.0,-52.5648854961832,1093.0
44,8.0,1149.0,-49.05343511450384,1093.0
45,9.0,1146.0,-48.82442748091603,1093.0
46,9.0,1189.0,-52.106870229007626,1093.0
47,9.0,1113.0,-46.3053435114504,1093.0
48,9.0,1146.0,-48.82442748091605,1093.0
49,9.0,1170.0,-50.65648854961834,1093.0
50,10.0,1092.0,-44.70229007633589,1092.0
51,10.0,1194.0,-52.488549618320626,1092.0
52,10.0,1255.0,-57.14503816793893,1092.0
53,10.0,1173.0,-50.8854961832061,1092.0
54,10.0,1145.0,-48.74809160305344,1092.0
55,11.0,1201.0,-53.02290076335879,1092.0
56,11.0,1219.0,-54.39694656488549,1092.0
57,11.0,1182.0,-51.57251908396948,1092.0
58,11.0,1179.0,-51.34351145038166,1092.0
59,11.0,1147.0,-48.900763358778626,1092.0
60,12.0,1140.0,-48.36641221374046,1092.0
61,12.0,1135.0,-47.98473282442749,1092.0
62,12.0,1155.0,-49.51145038167938,1092.0
63,12.0,1205.0,-53.32824427480915,1092.0
64,12.0,1146.0,-48.82442748091602,1092.0
65,13.0,1137.0,-48.13740458015266,1092.0
66,13.0,1191.0,-52.25954198473282,1092.0
67,13.0,1182.0,-51.572519083969475,1092.0
68,13.0,1154.0,-49.4351145038168,1092.0
69,13.0,1153.0,-49.3587786259542,1092.0
70,14.0,1146.0,-48.82442748091603,1092.0
71,14.0,1099.0,-45.23664122137406,1092.0
72,14.0,1236.0,-55.69465648854961,1092.0
73,14.0,1166.0,-50.35114503816795,1092.0
74,14.0,1091.0,-44.62595419847327,1091.0
75,15.0,1105.0,-45.69465648854963,1091.0
76,15.0,1129.0,-47.52671755725189,1091.0
77,15.0,1135.0,-47.98473282442747,1091.0
78,15.0,1109.0,-45.99999999999998,1091.0
79,15.0,1099.0,-45.23664122137404,1091.0
80,16.0,1149.0,-49.05343511450383,1091.0
81,16.0,1283.0,-59.282442748091604,1091.0
82,16.0,1144.0,-48.67175572519083,1091.0
83,16.0,1124.0,-47.145038167938914,1091.0
84,16.0,1087.0,-44.320610687022906,1087.0
85,17.0,1112.0,-46.22900763358778,1087.0
86,17.0,1154.0,-49.435114503816806,1087.0
87,17.0,1133.0,-47.832061068702295,1087.0
88,17.0,1148.0,-48.977099236641195,1087.0
89,17.0,1174.0,-50.96183206106871,1087.0
90,18.0,1165.0,-50.27480916030536,1087.0
91,18.0,1106.0,-45.77099236641221,1087.0
92,18.0,1161.0,-49.969465648854964,1087.0
93,18.0,1133.0,-47.832061068702295,1087.0
94,18.0,1100.0,-45.31297709923666,1087.0
95,19.0,1120.0,-46.83969465648855,1087.0
96,19.0,1213.0,-53.93893129770993,1087.0
97,19.0,1181.0,-51.49618320610688,1087.0
98,19.0,1117.0,-46.61068702290075,1087.0
99,19.0,1058.0,-42.10687022900763,1058.0
100,20.0,1110.0,-46.07633587786258,1058.0
101,20.0,1144.0,-48.67175572519083,1058.0
102,20.0,1129.0,-47.526717557251914,1058.0
103,20.0,1098.0,-45.16030534351146,1058.0
104,20.0,1060.0,-42.259541984732834,1058.0
105,21.0,1202.0,-53.099236641221374,1058.0
106,21.0,1159.0,-49.81679389312977,1058.0
107,21.0,1114.0,-46.38167938931298,1058.0
108,21.0,1176.0,-51.114503816793906,1058.0
109,21.0,1157.0,-49.66412213740459,1058.0
110,22.0,1199.0,-52.87022900763361,1058.0
111,22.0,1120.0,-46.839694656488554,1058.0
112,22.0,1095.0,-44.93129770992367,1058.0
113,22.0,1147.0,-48.900763358778626,1058.0
114,22.0,1174.0,-50.96183206106871,1058.0
115,23.0,1100.0,-45.31297709923664,1058.0
116,23.0,1124.0,-47.14503816793893,1058.0
117,23.0,1178.0,-51.267175572519086,1058.0
118,23.0,1131.0,-47.67938931297711,1058.0
119,23.0,1147.0,-48.90076335877863,1058.0
120,24.0,1138.0,-48.21374045801528,1058.0
121,24.0,1105.0,-45.694656488549626,1058.0
122,24.0,1155.0,-49.511450381679396,1058.0
123,24.0,1093.0,-44.77862595419846,1058.0
124,24.0,1149.0,-49.053435114503806,1058.0
125,25.0,1167.0,-50.42748091603052,1058.0
126,25.0,1084.0,-44.091603053435115,1058.0
127,25.0,1172.0,-50.80916030534352,1058.0
128,25.0,1138.0,-48.213740458015266,1058.0
129,25.0,1102.0,-45.465648854961835,1058.0
130,26.0,1119.0,-46.76335877862596,1058.0
131,26.0,1154.0,-49.435114503816784,1058.0
132,26.0,1153.0,-49.35877862595421,1058.0
133,26.0,1151.0,-49.206106870229,1058.0
134,26.0,1201.0,-53.02290076335877,1058.0
135,27.0,1041.0,-40.809160305343525,1041.0
136,27.0,1102.0,-45.465648854961835,1041.0
137,27.0,1089.0,-44.47328244274811,1041.0
138,27.0,1055.0,-41.87786259541985,1041.0
139,27.0,1145.0,-48.748091603053446,1041.0
140,28.0,1156.0,-49.58778625954199,1041.0
141,28.0,1055.0,-41.87786259541985,1041.0
142,28.0,1124.0,-47.14503816793892,1041.0
143,28.0,1192.0,-52.335877862595424,1041.0
144,28.0,1140.0,-48.366412213740475,1041.0
145,29.0,1094.0,-44.854961832061065,1041.0
146,29.0,1214.0,-54.01526717557254,1041.0
147,29.0,1120.0,-46.83969465648856,1041.0
148,29.0,1142.0,-48.51908396946565,1041.0
149,29.0,1111.0,-46.152671755725194,1041.0
150,30.0,1150.0,-49.12977099236639,1041.0
151,30.0,1110.0,-46.076335877862604,1041.0
152,30.0,1170.0,-50.65648854961832,1041.0
153,30.0,1195.0,-52.56488549618321,1041.0
154,30.0,1030.0,-39.96946564885498,1030.0
155,31.0,1090.0,-44.54961832061069,1030.0
156,31.0,1104.0,-45.61832061068702,1030.0
157,31.0,1110.0,-46.076335877862604,1030.0
158,31.0,1093.0,-44.778625954198475,1030.0
159,31.0,1077.0,-43.55725190839696,1030.0
160,32.0,1097.0,-45.08396946564886,1030.0
161,32.0,1110.0,-46.076335877862604,1030.0
162,32.0,1124.0,-47.145038167938914,1030.0
163,32.0,1211.0,-53.78625954198473,1030.0
164,32.0,1149.0,-49.05343511450383,1030.0
165,33.0,1077.0,-43.55725190839694,1030.0
166,33.0,1066.0,-42.71755725190838,1030.0
167,33.0,1115.0,-46.45801526717558,1030.0
168,33.0,1148.0,-48.977099236641216,1030.0
169,33.0,1072.0,-43.17557251908396,1030.0
170,34.0,1152.0,-49.28244274809162,1030.0
171,34.0,1075.0,-43.404580152671755,1030.0
172,34.0,1158.0,-49.74045801526716,1030.0
173,34.0,1051.0,-41.57251908396948,1030.0
174,34.0,1086.0,-44.244274809160316,1030.0
175,35.0,1078.0,-43.63358778625955,1030.0
176,35.0,1094.0,-44.854961832061086,1030.0
177,35.0,1061.0,-42.335877862595424,1030.0
178,35.0,1131.0,-47.67938931297711,1030.0
179,35.0,1044.0,-41.0381679389313,1030.0
180,36.0,1117.0,-46.61068702290075,1030.0
181,36.0,1148.0,-48.977099236641216,1030.0
182,36.0,1127.0,-47.37404580152671,1030.0
183,36.0,1065.0,-42.64122137404579,1030.0
184,36.0,1083.0,-44.01526717557252,1030.0
185,37.0,1107.0,-45.84732824427482,1030.0
186,37.0,1118.0,-46.68702290076336,1030.0
187,37.0,1079.0,-43.709923664122144,1030.0
188,37.0,1180.0,-51.41984732824428,1030.0
189,37.0,1175.0,-51.03816793893131,1030.0
190,38.0,1071.0,-43.099236641221395,1030.0
191,38.0,1071.0,-43.09923664122139,1030.0
192,38.0,1086.0,-44.2442748091603,1030.0
193,38.0,1094.0,-44.854961832061065,1030.0
194,38.0,1101.0,-45.38931297709924,1030.0
195,39.0,1040.0,-40.732824427480914,1030.0
196,39.0,1197.0,-52.71755725190841,1030.0
197,39.0,1102.0,-45.46564885496184,1030.0
198,39.0,1119.0,-46.76335877862596,1030.0
199,39.0,1041.0,-40.809160305343525,1030.0
200,40.0,1173.0,-50.8854961832061,1030.0
201,40.0,1177.0,-51.19083969465649,1030.0
202,40.0,1019.0,-39.129770992366424,1019.0
203,40.0,1078.0,-43.63358778625954,1019.0
204,40.0,1084.0,-44.091603053435094,1019.0
205,41.0,1076.0,-43.48091603053435,1019.0
206,41.0,1086.0,-44.2442748091603,1019.0
207,41.0,1072.0,-43.17557251908398,1019.0
208,41.0,1109.0,-46.00000000000001,1019.0
209,41.0,1093.0,-44.77862595419848,1019.0
210,42.0,1150.0,-49.129770992366446,1019.0
211,42.0,1154.0,-49.43511450381679,1019.0
212,42.0,1168.0,-50.50381679389314,1019.0
213,42.0,1086.0,-44.244274809160316,1019.0
214,42.0,1139.0,-48.29007633587787,1019.0
215,43.0,1063.0,-42.48854961832061,1019.0
216,43.0,1113.0,-46.30534351145039,1019.0
217,43.0,1067.0,-42.79389312977099,1019.0
218,43.0,1023.0,-39.43511450381678,1019.0
219,43.0,1133.0,-47.83206106870231,1019.0
220,44.0,1114.0,-46.38167938931298,1019.0
221,44.0,1084.0,-44.09160305343511,1019.0
222,44.0,1135.0,-47.98473282442746,1019.0
223,44.0,1135.0,-47.98473282442748,1019.0
224,44.0,1175.0,-51.0381679389313,1019.0
225,45.0,1124.0,-47.14503816793894,1019.0
226,45.0,1115.0,-46.45801526717558,1019.0
227,45.0,1040.0,-40.732824427480914,1019.0
228,45.0,1094.0,-44.85496183206108,1019.0
229,45.0,1122.0,-46.99236641221376,1019.0
230,46.0,1144.0,-48.67175572519087,1019.0
231,46.0,1127.0,-47.37404580152671,1019.0
232,46.0,1139.0,-48.29007633587788,1019.0
233,46.0,1042.0,-40.88549618320612,1019.0
234,46.0,1084.0,-44.09160305343514,1019.0
235,47.0,1122.0,-46.992366412213734,1019.0
236,47.0,1086.0,-44.2442748091603,1019.0
237,47.0,1121.0,-46.91603053435112,1019.0
238,47.0,1102.0,-45.46564885496185,1019.0
239,47.0,1080.0,-43.786259541984734,1019.0
240,48.0,1076.0,-43.48091603053436,1019.0
241,48.0,1126.0,-47.29770992366413,1019.0
242,48.0,1104.0,-45.61832061068703,1019.0
243,48.0,1145.0,-48.748091603053446,1019.0
244,48.0,1104.0,-45.618320610687036,1019.0
245,49.0,1154.0,-49.43511450381679,1019.0
246,49.0,1012.0,-38.59541984732825,1012.0
247,49.0,1130.0,-47.603053435114504,1012.0
248,49.0,1084.0,-44.09160305343512,1012.0
249,49.0,1096.0,-45.007633587786266,1012.0
250,50.0,1023.0,-39.43511450381678,1012.0
251,50.0,1041.0,-40.809160305343525,1012.0
252,50.0,1156.0,-49.58778625954199,1012.0
253,50.0,1159.0,-49.81679389312977,1012.0
254,50.0,1062.0,-42.412213740458014,1012.0
255,51.0,1038.0,-40.580152671755734,1012.0
256,51.0,1083.0,-44.015267175572525,1012.0
257,51.0,1168.0,-50.50381679389312,1012.0
258,51.0,1095.0,-44.93129770992366,1012.0
259,51.0,1130.0,-47.603053435114504,1012.0
260,52.0,1046.0,-41.19083969465648,1012.0
261,52.0,1169.0,-50.58015267175573,1012.0
262,52.0,1086.0,-44.24427480916032,1012.0
263,52.0,1080.0,-43.78625954198475,1012.0
264,52.0,1159.0,-49.81679389312977,1012.0
265,53.0,1060.0,-42.25954198473282,1012.0
266,53.0,1042.0,-40.885496183206115,1012.0
267,53.0,1083.0,-44.015267175572525,1012.0
268,53.0,1082.0,-43.93893129770993,1012.0
