,episode,make_span,reward,min make span
0,0.0,1096.0,-37.12244897959185,1096.0
1,0.0,1116.0,-39.163265306122454,1096.0
2,0.0,1103.0,-37.836734693877574,1096.0
3,1.0,1089.0,-36.408163265306136,1089.0
4,1.0,1110.0,-38.55102040816328,1089.0
5,1.0,1130.0,-40.591836734693885,1089.0
6,2.0,1078.0,-35.28571428571429,1078.0
7,2.0,1145.0,-42.122448979591844,1078.0
8,2.0,1223.0,-50.08163265306124,1078.0
9,3.0,1219.0,-49.67346938775514,1078.0
10,3.0,1126.0,-40.183673469387756,1078.0
11,3.0,1134.0,-41.00000000000002,1078.0
12,4.0,1107.0,-38.244897959183675,1078.0
13,4.0,1142.0,-41.81632653061227,1078.0
14,4.0,1177.0,-45.387755102040835,1078.0
15,5.0,1242.0,-52.020408163265316,1078.0
16,5.0,1164.0,-44.06122448979593,1078.0
17,5.0,1146.0,-42.22448979591837,1078.0
18,6.0,1220.0,-49.775510204081655,1078.0
19,6.0,1112.0,-38.75510204081634,1078.0
20,6.0,1202.0,-47.938775510204096,1078.0
21,7.0,1096.0,-37.122448979591844,1078.0
22,7.0,1261.0,-53.95918367346942,1078.0
23,7.0,1187.0,-46.40816326530613,1078.0
24,8.0,1231.0,-50.897959183673485,1078.0
25,8.0,1160.0,-43.65306122448981,1078.0
26,8.0,1139.0,-41.51020408163267,1078.0
27,9.0,1272.0,-55.081632653061234,1078.0
28,9.0,1113.0,-38.857142857142875,1078.0
29,9.0,1071.0,-34.57142857142859,1071.0
30,10.0,1140.0,-41.61224489795919,1071.0
31,10.0,1171.0,-44.775510204081634,1071.0
32,10.0,1181.0,-45.79591836734696,1071.0
33,11.0,1114.0,-38.95918367346939,1071.0
34,11.0,1107.0,-38.24489795918369,1071.0
35,11.0,1120.0,-39.57142857142857,1071.0
36,12.0,1105.0,-38.04081632653063,1071.0
37,12.0,1125.0,-40.08163265306123,1071.0
38,12.0,1170.0,-44.673469387755134,1071.0
39,13.0,1170.0,-44.67346938775512,1071.0
40,13.0,1156.0,-43.24489795918369,1071.0
41,13.0,1242.0,-52.0204081632653,1071.0
42,14.0,1133.0,-40.89795918367348,1071.0
43,14.0,1091.0,-36.612244897959194,1071.0
44,14.0,1078.0,-35.285714285714285,1071.0
45,15.0,1168.0,-44.469387755102055,1071.0
46,15.0,1221.0,-49.87755102040817,1071.0
47,15.0,1192.0,-46.91836734693878,1071.0
48,16.0,1093.0,-36.816326530612265,1071.0
49,16.0,1169.0,-44.5714285714286,1071.0
50,16.0,1156.0,-43.244897959183696,1071.0
51,17.0,1169.0,-44.57142857142858,1071.0
52,17.0,1150.0,-42.63265306122448,1071.0
53,17.0,1134.0,-41.00000000000001,1071.0
54,18.0,1112.0,-38.75510204081633,1071.0
55,18.0,1191.0,-46.81632653061228,1071.0
56,18.0,1157.0,-43.34693877551022,1071.0
57,19.0,1071.0,-34.571428571428584,1071.0
58,19.0,1138.0,-41.408163265306136,1071.0
59,19.0,1048.0,-32.22448979591838,1048.0
60,20.0,1120.0,-39.571428571428584,1048.0
61,20.0,1102.0,-37.73469387755103,1048.0
