,episode,make_span,reward,min make span
0,0.0,1434.0,-25.452054794520546,1434.0
1,0.0,1501.0,-30.041095890410954,1434.0
2,0.0,1444.0,-26.136986301369856,1434.0
3,0.0,1477.0,-28.39726027397259,1434.0
4,0.0,1613.0,-37.71232876712329,1434.0
5,1.0,1434.0,-25.452054794520546,1434.0
6,1.0,1543.0,-32.91780821917808,1434.0
7,1.0,1478.0,-28.465753424657528,1434.0
8,1.0,1387.0,-22.232876712328768,1387.0
9,1.0,1524.0,-31.61643835616438,1387.0
10,2.0,1461.0,-27.30136986301369,1387.0
11,2.0,1508.0,-30.520547945205468,1387.0
12,2.0,1444.0,-26.13698630136986,1387.0
13,2.0,1464.0,-27.506849315068486,1387.0
14,2.0,1492.0,-29.42465753424657,1387.0
15,3.0,1528.0,-31.89041095890411,1387.0
16,3.0,1450.0,-26.54794520547945,1387.0
17,3.0,1502.0,-30.109589041095894,1387.0
18,3.0,1434.0,-25.452054794520553,1387.0
19,3.0,1504.0,-30.246575342465754,1387.0
20,4.0,1513.0,-30.863013698630134,1387.0
21,4.0,1493.0,-29.493150684931507,1387.0
22,4.0,1536.0,-32.438356164383556,1387.0
23,4.0,1562.0,-34.21917808219179,1387.0
24,4.0,1549.0,-33.32876712328765,1387.0
25,5.0,1429.0,-25.10958904109588,1387.0
26,5.0,1528.0,-31.890410958904102,1387.0
27,5.0,1424.0,-24.767123287671218,1387.0
28,5.0,1436.0,-25.589041095890416,1387.0
29,5.0,1424.0,-24.767123287671225,1387.0
30,6.0,1472.0,-28.05479452054793,1387.0
31,6.0,1558.0,-33.94520547945205,1387.0
32,6.0,1514.0,-30.93150684931507,1387.0
33,6.0,1436.0,-25.589041095890405,1387.0
34,6.0,1471.0,-27.98630136986301,1387.0
35,7.0,1507.0,-30.452054794520556,1387.0
36,7.0,1494.0,-29.561643835616437,1387.0
37,7.0,1456.0,-26.958904109589042,1387.0
38,7.0,1456.0,-26.958904109589035,1387.0
39,7.0,1527.0,-31.82191780821917,1387.0
40,8.0,1525.0,-31.684931506849317,1387.0
41,8.0,1438.0,-25.726027397260268,1387.0
42,8.0,1479.0,-28.534246575342458,1387.0
43,8.0,1524.0,-31.616438356164377,1387.0
