,episode,make_span,reward,min make span
0,0.0,1824.0,-30.79797979797981,1824.0
1,0.0,1803.0,-28.676767676767685,1803.0
2,0.0,1784.0,-26.757575757575783,1784.0
3,0.0,1800.0,-28.37373737373739,1784.0
4,0.0,1810.0,-29.38383838383841,1784.0
5,1.0,1798.0,-28.17171717171718,1784.0
6,1.0,1867.0,-35.14141414141417,1784.0
7,1.0,1836.0,-32.010101010101046,1784.0
8,1.0,1807.0,-29.0808080808081,1784.0
9,1.0,1840.0,-32.41414141414143,1784.0
10,2.0,1823.0,-30.696969696969717,1784.0
11,2.0,1784.0,-26.757575757575765,1784.0
12,2.0,1841.0,-32.515151515151544,1784.0
13,2.0,1814.0,-29.787878787878803,1784.0
14,2.0,1813.0,-29.686868686868713,1784.0
15,3.0,1834.0,-31.808080808080838,1784.0
16,3.0,1793.0,-27.66666666666669,1784.0
17,3.0,1856.0,-34.030303030303045,1784.0
18,3.0,1811.0,-29.48484848484849,1784.0
19,3.0,1797.0,-28.070707070707098,1784.0
20,4.0,1784.0,-26.757575757575776,1784.0
21,4.0,1836.0,-32.01010101010101,1784.0
22,4.0,1798.0,-28.17171717171719,1784.0
23,4.0,1846.0,-33.02020202020205,1784.0
24,4.0,1851.0,-33.52525252525254,1784.0
25,5.0,1807.0,-29.080808080808094,1784.0
26,5.0,1822.0,-30.59595959595963,1784.0
27,5.0,1917.0,-40.19191919191922,1784.0
28,5.0,1786.0,-26.959595959595966,1784.0
29,5.0,1800.0,-28.373737373737402,1784.0
30,6.0,1861.0,-34.53535353535357,1784.0
31,6.0,1924.0,-40.898989898989925,1784.0
32,6.0,1810.0,-29.3838383838384,1784.0
33,6.0,1784.0,-26.757575757575786,1784.0
34,6.0,1816.0,-29.98989898989901,1784.0
35,7.0,1791.0,-27.46464646464648,1784.0
36,7.0,1877.0,-36.151515151515184,1784.0
37,7.0,1784.0,-26.757575757575786,1784.0
38,7.0,1839.0,-32.31313131313132,1784.0
39,7.0,1895.0,-37.969696969697004,1784.0
40,8.0,1888.0,-37.26262626262629,1784.0
41,8.0,1784.0,-26.757575757575758,1784.0
42,8.0,1784.0,-26.757575757575783,1784.0
43,8.0,1821.0,-30.494949494949537,1784.0
44,8.0,1808.0,-29.181818181818194,1784.0
45,9.0,1841.0,-32.515151515151544,1784.0
46,9.0,1784.0,-26.757575757575783,1784.0
47,9.0,1814.0,-29.7878787878788,1784.0
48,9.0,1845.0,-32.91919191919195,1784.0
49,9.0,1808.0,-29.1818181818182,1784.0
50,10.0,1879.0,-36.35353535353537,1784.0
51,10.0,1784.0,-26.757575757575747,1784.0
52,10.0,1824.0,-30.79797979797981,1784.0
53,10.0,1793.0,-27.66666666666668,1784.0
54,10.0,1791.0,-27.46464646464646,1784.0
55,11.0,1799.0,-28.272727272727277,1784.0
56,11.0,1792.0,-27.56565656565659,1784.0
57,11.0,1827.0,-31.10101010101011,1784.0
58,11.0,1808.0,-29.181818181818187,1784.0
59,11.0,1826.0,-31.000000000000032,1784.0
60,12.0,1820.0,-30.3939393939394,1784.0
61,12.0,1800.0,-28.373737373737377,1784.0
62,12.0,1797.0,-28.070707070707094,1784.0
63,12.0,1784.0,-26.757575757575776,1784.0
64,12.0,1788.0,-27.161616161616163,1784.0
65,13.0,1868.0,-35.24242424242426,1784.0
66,13.0,1841.0,-32.51515151515153,1784.0
67,13.0,1836.0,-32.01010101010102,1784.0
68,13.0,1807.0,-29.080808080808094,1784.0
69,13.0,1808.0,-29.181818181818212,1784.0
70,14.0,1847.0,-33.12121212121214,1784.0
71,14.0,1828.0,-31.20202020202022,1784.0
72,14.0,1844.0,-32.818181818181834,1784.0
73,14.0,1784.0,-26.757575757575783,1784.0
74,14.0,1845.0,-32.919191919191945,1784.0
75,15.0,1801.0,-28.474747474747502,1784.0
76,15.0,1810.0,-29.383838383838388,1784.0
77,15.0,1784.0,-26.757575757575772,1784.0
78,15.0,1828.0,-31.202020202020215,1784.0
79,15.0,1832.0,-31.60606060606061,1784.0
80,16.0,1797.0,-28.070707070707098,1784.0
81,16.0,1798.0,-28.17171717171719,1784.0
82,16.0,1851.0,-33.52525252525254,1784.0
83,16.0,1868.0,-35.24242424242428,1784.0
84,16.0,1784.0,-26.75757575757577,1784.0
85,17.0,1842.0,-32.61616161616163,1784.0
86,17.0,1825.0,-30.898989898989914,1784.0
87,17.0,1911.0,-39.58585858585862,1784.0
88,17.0,1789.0,-27.2626262626263,1784.0
89,17.0,1843.0,-32.71717171717173,1784.0
90,18.0,1834.0,-31.808080808080824,1784.0
91,18.0,1917.0,-40.19191919191922,1784.0
92,18.0,1854.0,-33.82828282828284,1784.0
93,18.0,1842.0,-32.616161616161634,1784.0
94,18.0,1841.0,-32.51515151515154,1784.0
95,19.0,1784.0,-26.757575757575793,1784.0
96,19.0,1795.0,-27.868686868686872,1784.0
97,19.0,1794.0,-27.767676767676786,1784.0
98,19.0,1792.0,-27.56565656565658,1784.0
99,19.0,1831.0,-31.50505050505054,1784.0
100,20.0,1801.0,-28.474747474747495,1784.0
101,20.0,1784.0,-26.75757575757578,1784.0
102,20.0,1813.0,-29.686868686868713,1784.0
103,20.0,1819.0,-30.292929292929312,1784.0
104,20.0,1816.0,-29.989898989899007,1784.0
105,21.0,1799.0,-28.272727272727295,1784.0
106,21.0,1799.0,-28.27272727272728,1784.0
107,21.0,1834.0,-31.80808080808083,1784.0
108,21.0,1881.0,-36.55555555555559,1784.0
109,21.0,1784.0,-26.757575757575772,1784.0
110,22.0,1784.0,-26.757575757575786,1784.0
111,22.0,1784.0,-26.75757575757576,1784.0
112,22.0,1799.0,-28.27272727272729,1784.0
113,22.0,1861.0,-34.535353535353536,1784.0
114,22.0,1801.0,-28.47474747474749,1784.0
115,23.0,1837.0,-32.111111111111114,1784.0
116,23.0,1784.0,-26.757575757575765,1784.0
117,23.0,1808.0,-29.181818181818198,1784.0
118,23.0,1826.0,-31.000000000000014,1784.0
119,23.0,1795.0,-27.86868686868688,1784.0
120,24.0,1791.0,-27.46464646464647,1784.0
121,24.0,1784.0,-26.757575757575765,1784.0
122,24.0,1827.0,-31.101010101010118,1784.0
123,24.0,1784.0,-26.75757575757578,1784.0
124,24.0,1832.0,-31.60606060606062,1784.0
125,25.0,1784.0,-26.757575757575765,1784.0
126,25.0,1842.0,-32.61616161616163,1784.0
127,25.0,1797.0,-28.070707070707098,1784.0
128,25.0,1784.0,-26.757575757575772,1784.0
129,25.0,1889.0,-37.36363636363639,1784.0
130,26.0,1824.0,-30.797979797979814,1784.0
131,26.0,1784.0,-26.757575757575776,1784.0
132,26.0,1818.0,-30.191919191919197,1784.0
133,26.0,1824.0,-30.797979797979817,1784.0
134,26.0,1864.0,-34.838383838383855,1784.0
135,27.0,1807.0,-29.080808080808097,1784.0
136,27.0,1863.0,-34.737373737373765,1784.0
137,27.0,1816.0,-29.98989898989902,1784.0
138,27.0,1784.0,-26.75757575757577,1784.0
139,27.0,1874.0,-35.84848484848487,1784.0
140,28.0,1794.0,-27.76767676767679,1784.0
141,28.0,1784.0,-26.75757575757578,1784.0
142,28.0,1824.0,-30.797979797979806,1784.0
143,28.0,1784.0,-26.757575757575772,1784.0
144,28.0,1842.0,-32.616161616161634,1784.0
145,29.0,1800.0,-28.373737373737374,1784.0
146,29.0,1860.0,-34.43434343434347,1784.0
147,29.0,1786.0,-26.95959595959598,1784.0
148,29.0,1808.0,-29.181818181818194,1784.0
149,29.0,1789.0,-27.26262626262626,1784.0
150,30.0,1880.0,-36.45454545454548,1784.0
151,30.0,1784.0,-26.757575757575772,1784.0
152,30.0,1818.0,-30.191919191919204,1784.0
153,30.0,1806.0,-28.979797979797997,1784.0
154,30.0,1784.0,-26.757575757575772,1784.0
155,31.0,1804.0,-28.777777777777793,1784.0
156,31.0,1784.0,-26.757575757575754,1784.0
157,31.0,1800.0,-28.3737373737374,1784.0
158,31.0,1830.0,-31.40404040404042,1784.0
159,31.0,1831.0,-31.505050505050523,1784.0
160,32.0,1801.0,-28.474747474747478,1784.0
161,32.0,1824.0,-30.797979797979814,1784.0
162,32.0,1784.0,-26.757575757575783,1784.0
163,32.0,1784.0,-26.75757575757577,1784.0
164,32.0,1784.0,-26.757575757575765,1784.0
165,33.0,1830.0,-31.404040404040416,1784.0
166,33.0,1856.0,-34.03030303030306,1784.0
167,33.0,1784.0,-26.75757575757576,1784.0
168,33.0,1817.0,-30.09090909090912,1784.0
169,33.0,1784.0,-26.757575757575776,1784.0
170,34.0,1871.0,-35.545454545454554,1784.0
171,34.0,1789.0,-27.26262626262628,1784.0
172,34.0,1784.0,-26.757575757575772,1784.0
173,34.0,1832.0,-31.60606060606061,1784.0
174,34.0,1784.0,-26.757575757575786,1784.0
175,35.0,1784.0,-26.75757575757577,1784.0
176,35.0,1859.0,-34.33333333333334,1784.0
177,35.0,1791.0,-27.464646464646492,1784.0
178,35.0,1801.0,-28.47474747474749,1784.0
179,35.0,1798.0,-28.171717171717187,1784.0
180,36.0,1800.0,-28.37373737373739,1784.0
181,36.0,1784.0,-26.75757575757579,1784.0
182,36.0,1784.0,-26.757575757575758,1784.0
183,36.0,1802.0,-28.575757575757603,1784.0
184,36.0,1784.0,-26.757575757575776,1784.0
185,37.0,1801.0,-28.47474747474748,1784.0
186,37.0,1842.0,-32.61616161616165,1784.0
187,37.0,1786.0,-26.959595959595976,1784.0
188,37.0,1784.0,-26.75757575757576,1784.0
189,37.0,1784.0,-26.757575757575765,1784.0
190,38.0,1916.0,-40.090909090909115,1784.0
191,38.0,1784.0,-26.75757575757577,1784.0
192,38.0,1867.0,-35.14141414141417,1784.0
193,38.0,1830.0,-31.404040404040412,1784.0
194,38.0,1794.0,-27.767676767676782,1784.0
195,39.0,1798.0,-28.171717171717198,1784.0
196,39.0,1793.0,-27.66666666666667,1784.0
197,39.0,1830.0,-31.404040404040423,1784.0
198,39.0,1824.0,-30.797979797979817,1784.0
199,39.0,1784.0,-26.757575757575783,1784.0
200,40.0,1784.0,-26.75757575757577,1784.0
201,40.0,1824.0,-30.797979797979814,1784.0
202,40.0,1784.0,-26.757575757575765,1784.0
203,40.0,1831.0,-31.50505050505054,1784.0
204,40.0,1784.0,-26.757575757575786,1784.0
205,41.0,1809.0,-29.282828282828312,1784.0
206,41.0,1810.0,-29.383838383838405,1784.0
207,41.0,1849.0,-33.32323232323234,1784.0
208,41.0,1784.0,-26.757575757575754,1784.0
209,41.0,1830.0,-31.404040404040426,1784.0
210,42.0,1784.0,-26.757575757575776,1784.0
211,42.0,1784.0,-26.75757575757577,1784.0
212,42.0,1843.0,-32.717171717171716,1784.0
213,42.0,1789.0,-27.26262626262628,1784.0
214,42.0,1815.0,-29.88888888888891,1784.0
215,43.0,1862.0,-34.636363636363654,1784.0
216,43.0,1805.0,-28.878787878787882,1784.0
217,43.0,1810.0,-29.383838383838402,1784.0
218,43.0,1791.0,-27.464646464646485,1784.0
219,43.0,1796.0,-27.96969696969699,1784.0
220,44.0,1805.0,-28.878787878787882,1784.0
221,44.0,1797.0,-28.070707070707098,1784.0
222,44.0,1805.0,-28.878787878787893,1784.0
223,44.0,1840.0,-32.41414141414144,1784.0
224,44.0,1784.0,-26.757575757575754,1784.0
225,45.0,1807.0,-29.0808080808081,1784.0
226,45.0,1784.0,-26.75757575757578,1784.0
227,45.0,1784.0,-26.75757575757577,1784.0
228,45.0,1814.0,-29.787878787878796,1784.0
229,45.0,1784.0,-26.757575757575765,1784.0
230,46.0,1844.0,-32.81818181818184,1784.0
231,46.0,1786.0,-26.95959595959598,1784.0
232,46.0,1793.0,-27.666666666666686,1784.0
233,46.0,1784.0,-26.757575757575772,1784.0
234,46.0,1784.0,-26.757575757575765,1784.0
235,47.0,1816.0,-29.98989898989901,1784.0
236,47.0,1784.0,-26.75757575757577,1784.0
237,47.0,1784.0,-26.757575757575786,1784.0
