,episode,make_span,reward,min make span
0,0.0,2292.0,-147.08080808080828,2292.0
1,0.0,2422.0,-173.34343434343467,2292.0
2,0.0,2338.0,-156.3737373737377,2292.0
3,0.0,2396.0,-168.09090909090938,2292.0
4,0.0,2455.0,-180.01010101010127,2292.0
5,1.0,2451.0,-179.20202020202044,2292.0
6,1.0,2330.0,-154.7575757575761,2292.0
7,1.0,2340.0,-156.77777777777803,2292.0
8,1.0,2288.0,-146.2727272727276,2288.0
9,1.0,2335.0,-155.76767676767713,2288.0
10,2.0,2281.0,-144.85858585858617,2281.0
11,2.0,2324.0,-153.54545454545485,2281.0
12,2.0,2321.0,-152.93939393939425,2281.0
13,2.0,2446.0,-178.19191919191957,2281.0
14,2.0,2317.0,-152.13131313131345,2281.0
15,3.0,2396.0,-168.09090909090946,2281.0
16,3.0,2405.0,-169.90909090909113,2281.0
17,3.0,2338.0,-156.37373737373753,2281.0
18,3.0,2311.0,-150.91919191919223,2281.0
19,3.0,2404.0,-169.70707070707104,2281.0
20,4.0,2346.0,-157.9898989898993,2281.0
21,4.0,2474.0,-183.84848484848524,2281.0
22,4.0,2330.0,-154.757575757576,2281.0
23,4.0,2300.0,-148.69696969696983,2281.0
24,4.0,2421.0,-173.1414141414145,2281.0
25,5.0,2330.0,-154.75757575757603,2281.0
26,5.0,2357.0,-160.21212121212142,2281.0
27,5.0,2394.0,-167.68686868686893,2281.0
28,5.0,2296.0,-147.8888888888892,2281.0
29,5.0,2501.0,-189.30303030303065,2281.0
30,6.0,2379.0,-164.6565656565659,2281.0
31,6.0,2335.0,-155.76767676767705,2281.0
32,6.0,2315.0,-151.72727272727306,2281.0
33,6.0,2398.0,-168.49494949494994,2281.0
34,6.0,2381.0,-165.06060606060643,2281.0
35,7.0,2391.0,-167.0808080808083,2281.0
36,7.0,2414.0,-171.72727272727298,2281.0
37,7.0,2434.0,-175.76767676767693,2281.0
38,7.0,2339.0,-156.57575757575785,2281.0
39,7.0,2314.0,-151.52525252525288,2281.0
40,8.0,2290.0,-146.67676767676798,2281.0
41,8.0,2358.0,-160.41414141414162,2281.0
42,8.0,2264.0,-141.42424242424272,2264.0
43,8.0,2461.0,-181.22222222222257,2264.0
44,8.0,2397.0,-168.29292929292973,2264.0
45,9.0,2323.0,-153.34343434343458,2264.0
46,9.0,2357.0,-160.21212121212156,2264.0
47,9.0,2388.0,-166.47474747474774,2264.0
48,9.0,2379.0,-164.6565656565659,2264.0
49,9.0,2372.0,-163.24242424242448,2264.0
50,10.0,2337.0,-156.1717171717175,2264.0
51,10.0,2335.0,-155.7676767676772,2264.0
52,10.0,2427.0,-174.3535353535356,2264.0
53,10.0,2336.0,-155.9696969696972,2264.0
54,10.0,2359.0,-160.61616161616178,2264.0
55,11.0,2402.0,-169.30303030303065,2264.0
56,11.0,2370.0,-162.83838383838415,2264.0
57,11.0,2399.0,-168.69696969696997,2264.0
58,11.0,2394.0,-167.68686868686896,2264.0
59,11.0,2410.0,-170.91919191919217,2264.0
60,12.0,2366.0,-162.03030303030334,2264.0
61,12.0,2357.0,-160.2121212121215,2264.0
62,12.0,2432.0,-175.36363636363677,2264.0
63,12.0,2355.0,-159.80808080808106,2264.0
64,12.0,2433.0,-175.5656565656568,2264.0
65,13.0,2357.0,-160.21212121212156,2264.0
66,13.0,2345.0,-157.78787878787912,2264.0
67,13.0,2485.0,-186.07070707070736,2264.0
68,13.0,2383.0,-165.4646464646467,2264.0
69,13.0,2389.0,-166.67676767676795,2264.0
70,14.0,2393.0,-167.48484848484884,2264.0
71,14.0,2295.0,-147.686868686869,2264.0
72,14.0,2389.0,-166.6767676767682,2264.0
73,14.0,2410.0,-170.91919191919223,2264.0
74,14.0,2353.0,-159.40404040404073,2264.0
75,15.0,2432.0,-175.3636363636367,2264.0
76,15.0,2338.0,-156.37373737373758,2264.0
77,15.0,2356.0,-160.01010101010132,2264.0
78,15.0,2416.0,-172.1313131313133,2264.0
79,15.0,2385.0,-165.86868686868715,2264.0
80,16.0,2431.0,-175.16161616161648,2264.0
81,16.0,2441.0,-177.18181818181847,2264.0
82,16.0,2313.0,-151.32323232323245,2264.0
83,16.0,2353.0,-159.40404040404067,2264.0
84,16.0,2288.0,-146.2727272727275,2264.0
85,17.0,2424.0,-173.74747474747525,2264.0
86,17.0,2351.0,-159.0000000000003,2264.0
87,17.0,2328.0,-154.35353535353556,2264.0
88,17.0,2350.0,-158.7979797979801,2264.0
89,17.0,2380.0,-164.8585858585861,2264.0
90,18.0,2382.0,-165.26262626262655,2264.0
91,18.0,2394.0,-167.68686868686902,2264.0
92,18.0,2425.0,-173.94949494949526,2264.0
93,18.0,2415.0,-171.92929292929315,2264.0
94,18.0,2376.0,-164.05050505050534,2264.0
95,19.0,2398.0,-168.49494949494988,2264.0
96,19.0,2386.0,-166.07070707070744,2264.0
97,19.0,2414.0,-171.727272727273,2264.0
98,19.0,2352.0,-159.20202020202044,2264.0
99,19.0,2335.0,-155.76767676767702,2264.0
100,20.0,2332.0,-155.16161616161645,2264.0
101,20.0,2415.0,-171.92929292929324,2264.0
102,20.0,2333.0,-155.36363636363643,2264.0
103,20.0,2368.0,-162.4343434343438,2264.0
104,20.0,2447.0,-178.39393939393975,2264.0
105,21.0,2391.0,-167.08080808080848,2264.0
106,21.0,2362.0,-161.22222222222254,2264.0
107,21.0,2409.0,-170.71717171717205,2264.0
108,21.0,2336.0,-155.96969696969728,2264.0
109,21.0,2312.0,-151.12121212121238,2264.0
110,22.0,2348.0,-158.39393939393963,2264.0
111,22.0,2317.0,-152.13131313131348,2264.0
112,22.0,2326.0,-153.94949494949532,2264.0
113,22.0,2422.0,-173.3434343434346,2264.0
114,22.0,2390.0,-166.87878787878822,2264.0
115,23.0,2363.0,-161.42424242424266,2264.0
116,23.0,2262.0,-141.02020202020225,2262.0
117,23.0,2269.0,-142.4343434343437,2262.0
118,23.0,2360.0,-160.81818181818218,2262.0
119,23.0,2377.0,-164.2525252525255,2262.0
120,24.0,2399.0,-168.69696969697,2262.0
121,24.0,2402.0,-169.3030303030304,2262.0
122,24.0,2398.0,-168.49494949494982,2262.0
123,24.0,2360.0,-160.8181818181821,2262.0
124,24.0,2411.0,-171.12121212121244,2262.0
125,25.0,2437.0,-176.37373737373787,2262.0
126,25.0,2408.0,-170.5151515151518,2262.0
127,25.0,2371.0,-163.0404040404043,2262.0
128,25.0,2362.0,-161.2222222222224,2262.0
129,25.0,2434.0,-175.76767676767705,2262.0
130,26.0,2329.0,-154.5555555555557,2262.0
131,26.0,2386.0,-166.07070707070727,2262.0
132,26.0,2443.0,-177.58585858585883,2262.0
133,26.0,2409.0,-170.71717171717194,2262.0
134,26.0,2363.0,-161.42424242424272,2262.0
135,27.0,2422.0,-173.3434343434347,2262.0
136,27.0,2310.0,-150.717171717172,2262.0
137,27.0,2380.0,-164.8585858585862,2262.0
138,27.0,2332.0,-155.16161616161642,2262.0
139,27.0,2464.0,-181.82828282828305,2262.0
140,28.0,2337.0,-156.1717171717174,2262.0
141,28.0,2407.0,-170.31313131313155,2262.0
142,28.0,2330.0,-154.75757575757598,2262.0
143,28.0,2334.0,-155.5656565656566,2262.0
144,28.0,2352.0,-159.20202020202044,2262.0
145,29.0,2318.0,-152.33333333333354,2262.0
146,29.0,2315.0,-151.727272727273,2262.0
147,29.0,2330.0,-154.7575757575763,2262.0
148,29.0,2397.0,-168.29292929292956,2262.0
149,29.0,2346.0,-157.9898989898993,2262.0
150,30.0,2315.0,-151.72727272727292,2262.0
151,30.0,2358.0,-160.4141414141416,2262.0
152,30.0,2350.0,-158.79797979798,2262.0
153,30.0,2355.0,-159.80808080808112,2262.0
154,30.0,2400.0,-168.89898989899018,2262.0
155,31.0,2392.0,-167.28282828282843,2262.0
156,31.0,2356.0,-160.0101010101013,2262.0
157,31.0,2349.0,-158.59595959595987,2262.0
158,31.0,2360.0,-160.8181818181821,2262.0
159,31.0,2321.0,-152.93939393939436,2262.0
160,32.0,2418.0,-172.53535353535395,2262.0
161,32.0,2432.0,-175.36363636363672,2262.0
162,32.0,2324.0,-153.54545454545482,2262.0
163,32.0,2350.0,-158.7979797979801,2262.0
164,32.0,2350.0,-158.79797979798008,2262.0
165,33.0,2397.0,-168.29292929292956,2262.0
166,33.0,2385.0,-165.86868686868718,2262.0
167,33.0,2422.0,-173.34343434343452,2262.0
168,33.0,2349.0,-158.59595959596,2262.0
169,33.0,2370.0,-162.83838383838406,2262.0
170,34.0,2353.0,-159.4040404040407,2262.0
171,34.0,2374.0,-163.6464646464649,2262.0
172,34.0,2408.0,-170.5151515151517,2262.0
173,34.0,2335.0,-155.76767676767702,2262.0
174,34.0,2335.0,-155.7676767676771,2262.0
175,35.0,2344.0,-157.5858585858588,2262.0
176,35.0,2396.0,-168.09090909090924,2262.0
