,episode,make_span,reward,min make span
0,0.0,2503.0,-161.38793103448262,2503.0
1,0.0,2585.0,-175.5258620689654,2503.0
2,0.0,2577.0,-174.14655172413796,2503.0
3,0.0,2592.0,-176.73275862068957,2503.0
4,0.0,2542.0,-168.1120689655171,2503.0
5,1.0,2589.0,-176.21551724137922,2503.0
6,1.0,2539.0,-167.59482758620686,2503.0
7,1.0,2473.0,-156.2155172413793,2473.0
8,1.0,2543.0,-168.28448275862078,2473.0
9,1.0,2612.0,-180.18103448275852,2473.0
10,2.0,2596.0,-177.42241379310326,2473.0
11,2.0,2544.0,-168.4568965517241,2473.0
12,2.0,2519.0,-164.14655172413785,2473.0
13,2.0,2493.0,-159.6637931034481,2473.0
14,2.0,2503.0,-161.38793103448273,2473.0
15,3.0,2513.0,-163.11206896551715,2473.0
16,3.0,2551.0,-169.66379310344826,2473.0
17,3.0,2604.0,-178.80172413793105,2473.0
18,3.0,2595.0,-177.25000000000003,2473.0
19,3.0,2509.0,-162.42241379310332,2473.0
20,4.0,2575.0,-173.80172413793105,2473.0
21,4.0,2506.0,-161.90517241379297,2473.0
22,4.0,2547.0,-168.97413793103456,2473.0
23,4.0,2532.0,-166.38793103448273,2473.0
24,4.0,2647.0,-186.21551724137933,2473.0
25,5.0,2594.0,-177.07758620689654,2473.0
26,5.0,2524.0,-165.00862068965512,2473.0
27,5.0,2516.0,-163.62931034482756,2473.0
28,5.0,2606.0,-179.14655172413796,2473.0
29,5.0,2615.0,-180.6982758620688,2473.0
30,6.0,2508.0,-162.25000000000003,2473.0
31,6.0,2623.0,-182.07758620689643,2473.0
32,6.0,2519.0,-164.1465517241379,2473.0
33,6.0,2602.0,-178.45689655172407,2473.0
34,6.0,2555.0,-170.35344827586198,2473.0
35,7.0,2541.0,-167.93965517241372,2473.0
36,7.0,2560.0,-171.21551724137927,2473.0
37,7.0,2631.0,-183.45689655172404,2473.0
38,7.0,2506.0,-161.90517241379297,2473.0
39,7.0,2664.0,-189.14655172413802,2473.0
40,8.0,2581.0,-174.83620689655163,2473.0
41,8.0,2567.0,-172.42241379310346,2473.0
42,8.0,2540.0,-167.76724137931032,2473.0
43,8.0,2554.0,-170.18103448275866,2473.0
44,8.0,2579.0,-174.49137931034477,2473.0
45,9.0,2515.0,-163.456896551724,2473.0
46,9.0,2532.0,-166.38793103448276,2473.0
47,9.0,2468.0,-155.35344827586198,2468.0
48,9.0,2617.0,-181.04310344827582,2468.0
49,9.0,2559.0,-171.04310344827587,2468.0
50,10.0,2593.0,-176.90517241379303,2468.0
51,10.0,2518.0,-163.97413793103448,2468.0
52,10.0,2533.0,-166.56034482758622,2468.0
53,10.0,2616.0,-180.87068965517233,2468.0
54,10.0,2633.0,-183.801724137931,2468.0
55,11.0,2469.0,-155.52586206896535,2468.0
56,11.0,2748.0,-203.62931034482745,2468.0
57,11.0,2522.0,-164.66379310344826,2468.0
58,11.0,2550.0,-169.49137931034485,2468.0
59,11.0,2567.0,-172.4224137931034,2468.0
60,12.0,2508.0,-162.24999999999997,2468.0
61,12.0,2692.0,-193.9741379310344,2468.0
62,12.0,2616.0,-180.8706896551725,2468.0
63,12.0,2572.0,-173.28448275862078,2468.0
64,12.0,2585.0,-175.52586206896544,2468.0
65,13.0,2689.0,-193.4568965517241,2468.0
66,13.0,2600.0,-178.11206896551715,2468.0
67,13.0,2522.0,-164.66379310344826,2468.0
68,13.0,2679.0,-191.7327586206896,2468.0
69,13.0,2583.0,-175.1810344827586,2468.0
70,14.0,2496.0,-160.1810344827586,2468.0
71,14.0,2431.0,-148.97413793103442,2431.0
72,14.0,2578.0,-174.3189655172413,2431.0
73,14.0,2551.0,-169.66379310344823,2431.0
74,14.0,2668.0,-189.83620689655163,2431.0
75,15.0,2578.0,-174.31896551724145,2431.0
76,15.0,2750.0,-203.97413793103456,2431.0
77,15.0,2606.0,-179.14655172413785,2431.0
78,15.0,2528.0,-165.6982758620689,2431.0
79,15.0,2549.0,-169.31896551724128,2431.0
80,16.0,2457.0,-153.4568965517241,2431.0
81,16.0,2673.0,-190.69827586206904,2431.0
82,16.0,2630.0,-183.28448275862053,2431.0
83,16.0,2620.0,-181.56034482758622,2431.0
84,16.0,2615.0,-180.69827586206887,2431.0
85,17.0,2551.0,-169.6637931034483,2431.0
86,17.0,2545.0,-168.62931034482747,2431.0
87,17.0,2571.0,-173.1120689655172,2431.0
88,17.0,2518.0,-163.97413793103448,2431.0
89,17.0,2539.0,-167.5948275862069,2431.0
90,18.0,2728.0,-200.1810344827586,2431.0
91,18.0,2649.0,-186.56034482758625,2431.0
92,18.0,2619.0,-181.3879310344826,2431.0
93,18.0,2578.0,-174.31896551724128,2431.0
94,18.0,2601.0,-178.2844827586206,2431.0
95,19.0,2532.0,-166.3879310344827,2431.0
96,19.0,2476.0,-156.7327586206896,2431.0
97,19.0,2568.0,-172.59482758620683,2431.0
98,19.0,2515.0,-163.4568965517241,2431.0
99,19.0,2507.0,-162.07758620689646,2431.0
100,20.0,2566.0,-172.25,2431.0
101,20.0,2550.0,-169.49137931034463,2431.0
102,20.0,2590.0,-176.38793103448268,2431.0
103,20.0,2573.0,-173.45689655172401,2431.0
104,20.0,2633.0,-183.801724137931,2431.0
105,21.0,2512.0,-162.93965517241367,2431.0
106,21.0,2514.0,-163.2844827586205,2431.0
107,21.0,2513.0,-163.1120689655171,2431.0
108,21.0,2581.0,-174.83620689655157,2431.0
109,21.0,2577.0,-174.1465517241379,2431.0
110,22.0,2501.0,-161.04310344827584,2431.0
111,22.0,2574.0,-173.62931034482756,2431.0
112,22.0,2634.0,-183.97413793103428,2431.0
113,22.0,2418.0,-146.73275862068948,2418.0
114,22.0,2527.0,-165.52586206896535,2418.0
115,23.0,2555.0,-170.35344827586215,2418.0
116,23.0,2571.0,-173.11206896551727,2418.0
117,23.0,2537.0,-167.25000000000003,2418.0
118,23.0,2584.0,-175.353448275862,2418.0
119,23.0,2521.0,-164.49137931034477,2418.0
120,24.0,2588.0,-176.04310344827576,2418.0
121,24.0,2587.0,-175.8706896551724,2418.0
122,24.0,2527.0,-165.5258620689654,2418.0
123,24.0,2558.0,-170.87068965517238,2418.0
124,24.0,2642.0,-185.35344827586204,2418.0
125,25.0,2550.0,-169.4913793103447,2418.0
126,25.0,2491.0,-159.31896551724125,2418.0
127,25.0,2553.0,-170.00862068965512,2418.0
128,25.0,2554.0,-170.18103448275852,2418.0
129,25.0,2553.0,-170.00862068965517,2418.0
130,26.0,2558.0,-170.87068965517227,2418.0
131,26.0,2606.0,-179.1465517241379,2418.0
132,26.0,2470.0,-155.6982758620689,2418.0
133,26.0,2629.0,-183.1120689655172,2418.0
134,26.0,2573.0,-173.45689655172418,2418.0
135,27.0,2517.0,-163.80172413793088,2418.0
136,27.0,2385.0,-141.04310344827576,2385.0
137,27.0,2611.0,-180.00862068965512,2385.0
138,27.0,2542.0,-168.11206896551715,2385.0
139,27.0,2545.0,-168.6293103448275,2385.0
140,28.0,2546.0,-168.80172413793107,2385.0
141,28.0,2556.0,-170.52586206896544,2385.0
142,28.0,2543.0,-168.28448275862067,2385.0
143,28.0,2590.0,-176.38793103448273,2385.0
144,28.0,2494.0,-159.83620689655163,2385.0
145,29.0,2529.0,-165.87068965517227,2385.0
146,29.0,2593.0,-176.90517241379308,2385.0
147,29.0,2581.0,-174.8362068965516,2385.0
148,29.0,2654.0,-187.42241379310346,2385.0
149,29.0,2577.0,-174.14655172413785,2385.0
150,30.0,2580.0,-174.66379310344817,2385.0
151,30.0,2597.0,-177.59482758620706,2385.0
152,30.0,2533.0,-166.56034482758614,2385.0
153,30.0,2587.0,-175.87068965517244,2385.0
154,30.0,2542.0,-168.11206896551712,2385.0
155,31.0,2747.0,-203.45689655172416,2385.0
156,31.0,2593.0,-176.90517241379303,2385.0
157,31.0,2585.0,-175.5258620689654,2385.0
158,31.0,2583.0,-175.1810344827585,2385.0
159,31.0,2528.0,-165.69827586206887,2385.0
160,32.0,2697.0,-194.8362068965517,2385.0
161,32.0,2519.0,-164.14655172413785,2385.0
162,32.0,2469.0,-155.52586206896552,2385.0
163,32.0,2492.0,-159.4913793103447,2385.0
164,32.0,2482.0,-157.76724137931026,2385.0
165,33.0,2546.0,-168.80172413793088,2385.0
166,33.0,2489.0,-158.97413793103453,2385.0
167,33.0,2631.0,-183.45689655172404,2385.0
168,33.0,2513.0,-163.11206896551715,2385.0
169,33.0,2520.0,-164.31896551724114,2385.0
170,34.0,2497.0,-160.35344827586187,2385.0
171,34.0,2560.0,-171.2155172413792,2385.0
172,34.0,2579.0,-174.49137931034468,2385.0
173,34.0,2563.0,-171.73275862068954,2385.0
174,34.0,2539.0,-167.59482758620675,2385.0
175,35.0,2506.0,-161.905172413793,2385.0
176,35.0,2529.0,-165.8706896551724,2385.0
177,35.0,2478.0,-157.07758620689648,2385.0
178,35.0,2642.0,-185.35344827586187,2385.0
179,35.0,2466.0,-155.0086206896551,2385.0
180,36.0,2478.0,-157.0775862068964,2385.0
181,36.0,2628.0,-182.93965517241386,2385.0
182,36.0,2538.0,-167.42241379310332,2385.0
183,36.0,2490.0,-159.1465517241378,2385.0
184,36.0,2545.0,-168.62931034482762,2385.0
185,37.0,2559.0,-171.0431034482759,2385.0
186,37.0,2545.0,-168.62931034482745,2385.0
187,37.0,2462.0,-154.31896551724137,2385.0
188,37.0,2562.0,-171.5603448275861,2385.0
189,37.0,2470.0,-155.69827586206893,2385.0
190,38.0,2574.0,-173.62931034482756,2385.0
191,38.0,2536.0,-167.0775862068965,2385.0
192,38.0,2608.0,-179.49137931034477,2385.0
193,38.0,2482.0,-157.76724137931018,2385.0
194,38.0,2505.0,-161.7327586206895,2385.0
195,39.0,2547.0,-168.97413793103425,2385.0
196,39.0,2491.0,-159.3189655172414,2385.0
197,39.0,2640.0,-185.00862068965515,2385.0
198,39.0,2562.0,-171.5603448275861,2385.0
199,39.0,2497.0,-160.353448275862,2385.0
200,40.0,2583.0,-175.18103448275852,2385.0
201,40.0,2517.0,-163.80172413793093,2385.0
202,40.0,2560.0,-171.2155172413793,2385.0
203,40.0,2571.0,-173.11206896551707,2385.0
204,40.0,2563.0,-171.73275862068954,2385.0
