,episode,make_span,reward,min make span
0,0.0,2367.0,-169.18181818181847,2367.0
1,0.0,2408.0,-177.4646464646468,2367.0
2,0.0,2484.0,-192.818181818182,2367.0
3,1.0,2455.0,-186.95959595959621,2367.0
4,1.0,2530.0,-202.11111111111137,2367.0
5,1.0,2462.0,-188.37373737373764,2367.0
6,2.0,2337.0,-163.1212121212124,2337.0
7,2.0,2413.0,-178.47474747474774,2337.0
8,2.0,2407.0,-177.2626262626265,2337.0
9,3.0,2364.0,-168.57575757575776,2337.0
10,3.0,2422.0,-180.29292929292959,2337.0
11,3.0,2372.0,-170.19191919191948,2337.0
12,4.0,2378.0,-171.40404040404064,2337.0
13,4.0,2445.0,-184.93939393939417,2337.0
14,4.0,2407.0,-177.26262626262658,2337.0
15,5.0,2507.0,-197.46464646464676,2337.0
16,5.0,2379.0,-171.60606060606096,2337.0
17,5.0,2374.0,-170.59595959595993,2337.0
18,6.0,2394.0,-174.63636363636405,2337.0
19,6.0,2399.0,-175.64646464646495,2337.0
20,6.0,2428.0,-181.5050505050508,2337.0
21,7.0,2446.0,-185.1414141414144,2337.0
22,7.0,2365.0,-168.77777777777814,2337.0
23,7.0,2303.0,-156.25252525252546,2303.0
24,8.0,2410.0,-177.86868686868718,2303.0
25,8.0,2394.0,-174.63636363636397,2303.0
26,8.0,2315.0,-158.67676767676795,2303.0
27,9.0,2308.0,-157.26262626262658,2303.0
28,9.0,2442.0,-184.33333333333366,2303.0
29,9.0,2437.0,-183.32323232323267,2303.0
30,10.0,2443.0,-184.5353535353538,2303.0
31,10.0,2369.0,-169.58585858585883,2303.0
32,10.0,2384.0,-172.61616161616195,2303.0
33,11.0,2493.0,-194.63636363636385,2303.0
34,11.0,2517.0,-199.48484848484873,2303.0
35,11.0,2345.0,-164.7373737373741,2303.0
36,12.0,2382.0,-172.21212121212147,2303.0
37,12.0,2589.0,-214.03030303030334,2303.0
38,12.0,2396.0,-175.04040404040427,2303.0
39,13.0,2502.0,-196.45454545454567,2303.0
40,13.0,2393.0,-174.4343434343438,2303.0
41,13.0,2328.0,-161.30303030303057,2303.0
42,14.0,2523.0,-200.69696969697,2303.0
43,14.0,2424.0,-180.69696969696992,2303.0
44,14.0,2289.0,-153.42424242424266,2289.0
45,15.0,2411.0,-178.07070707070733,2289.0
46,15.0,2388.0,-173.42424242424272,2289.0
47,15.0,2366.0,-168.97979797979832,2289.0
48,16.0,2398.0,-175.44444444444477,2289.0
49,16.0,2411.0,-178.07070707070733,2289.0
50,16.0,2395.0,-174.83838383838417,2289.0
51,17.0,2420.0,-179.88888888888926,2289.0
52,17.0,2329.0,-161.50505050505097,2289.0
53,17.0,2482.0,-192.41414141414174,2289.0
54,18.0,2388.0,-173.42424242424278,2289.0
55,18.0,2333.0,-162.3131313131316,2289.0
56,18.0,2412.0,-178.27272727272754,2289.0
57,19.0,2491.0,-194.23232323232364,2289.0
58,19.0,2436.0,-183.12121212121235,2289.0
59,19.0,2368.0,-169.38383838383874,2289.0
60,20.0,2446.0,-185.14141414141432,2289.0
61,20.0,2403.0,-176.45454545454578,2289.0
62,20.0,2358.0,-167.36363636363666,2289.0
63,21.0,2404.0,-176.65656565656593,2289.0
64,21.0,2357.0,-167.1616161616164,2289.0
65,21.0,2455.0,-186.95959595959624,2289.0
66,22.0,2389.0,-173.62626262626299,2289.0
67,22.0,2475.0,-191.00000000000028,2289.0
68,22.0,2364.0,-168.5757575757577,2289.0
69,23.0,2438.0,-183.52525252525282,2289.0
70,23.0,2368.0,-169.3838383838386,2289.0
71,23.0,2293.0,-154.2323232323236,2289.0
72,24.0,2457.0,-187.36363636363677,2289.0
73,24.0,2336.0,-162.91919191919231,2289.0
74,24.0,2369.0,-169.58585858585883,2289.0
75,25.0,2389.0,-173.62626262626299,2289.0
76,25.0,2459.0,-187.76767676767705,2289.0
77,25.0,2310.0,-157.66666666666686,2289.0
78,26.0,2407.0,-177.26262626262672,2289.0
79,26.0,2400.0,-175.84848484848513,2289.0
80,26.0,2479.0,-191.80808080808112,2289.0
81,27.0,2513.0,-198.67676767676787,2289.0
82,27.0,2389.0,-173.62626262626276,2289.0
83,27.0,2464.0,-188.77777777777817,2289.0
84,28.0,2372.0,-170.1919191919195,2289.0
85,28.0,2435.0,-182.91919191919234,2289.0
86,28.0,2486.0,-193.22222222222257,2289.0
87,29.0,2339.0,-163.52525252525277,2289.0
88,29.0,2461.0,-188.1717171717175,2289.0
89,29.0,2434.0,-182.71717171717194,2289.0
90,30.0,2373.0,-170.39393939393952,2289.0
91,30.0,2451.0,-186.1515151515154,2289.0
92,30.0,2407.0,-177.2626262626265,2289.0
93,31.0,2381.0,-172.01010101010124,2289.0
94,31.0,2458.0,-187.56565656565675,2289.0
95,31.0,2347.0,-165.14141414141446,2289.0
96,32.0,2456.0,-187.1616161616164,2289.0
97,32.0,2373.0,-170.39393939393977,2289.0
98,32.0,2442.0,-184.3333333333336,2289.0
99,33.0,2401.0,-176.05050505050525,2289.0
100,33.0,2320.0,-159.68686868686902,2289.0
101,33.0,2507.0,-197.46464646464676,2289.0
102,34.0,2368.0,-169.38383838383862,2289.0
103,34.0,2439.0,-183.72727272727303,2289.0
104,34.0,2349.0,-165.54545454545493,2289.0
105,35.0,2441.0,-184.1313131313134,2289.0
106,35.0,2452.0,-186.35353535353556,2289.0
107,35.0,2503.0,-196.65656565656613,2289.0
108,36.0,2506.0,-197.26262626262658,2289.0
109,36.0,2470.0,-189.98989898989925,2289.0
110,36.0,2442.0,-184.3333333333336,2289.0
111,37.0,2406.0,-177.0606060606063,2289.0
112,37.0,2421.0,-180.09090909090935,2289.0
113,37.0,2461.0,-188.17171717171752,2289.0
114,38.0,2440.0,-183.9292929292933,2289.0
115,38.0,2332.0,-162.1111111111114,2289.0
116,38.0,2407.0,-177.26262626262667,2289.0
117,39.0,2438.0,-183.52525252525282,2289.0
118,39.0,2494.0,-194.83838383838412,2289.0
119,39.0,2493.0,-194.63636363636397,2289.0
120,40.0,2486.0,-193.22222222222246,2289.0
121,40.0,2501.0,-196.25252525252557,2289.0
122,40.0,2370.0,-169.787878787879,2289.0
123,41.0,2409.0,-177.6666666666669,2289.0
124,41.0,2394.0,-174.63636363636402,2289.0
125,41.0,2474.0,-190.79797979798008,2289.0
126,42.0,2540.0,-204.1313131313134,2289.0
127,42.0,2417.0,-179.28282828282863,2289.0
128,42.0,2448.0,-185.54545454545485,2289.0
129,43.0,2418.0,-179.48484848484878,2289.0
130,43.0,2550.0,-206.15151515151558,2289.0
131,43.0,2406.0,-177.06060606060635,2289.0
132,44.0,2356.0,-166.9595959595963,2289.0
133,44.0,2407.0,-177.26262626262644,2289.0
134,44.0,2331.0,-161.9090909090912,2289.0
135,45.0,2463.0,-188.57575757575782,2289.0
136,45.0,2420.0,-179.88888888888926,2289.0
137,45.0,2476.0,-191.20202020202038,2289.0
138,46.0,2420.0,-179.8888888888892,2289.0
139,46.0,2471.0,-190.19191919191934,2289.0
140,46.0,2378.0,-171.40404040404064,2289.0
141,47.0,2356.0,-166.95959595959624,2289.0
142,47.0,2327.0,-161.1010101010104,2289.0
143,47.0,2359.0,-167.5656565656567,2289.0
144,48.0,2340.0,-163.72727272727303,2289.0
145,48.0,2342.0,-164.13131313131345,2289.0
146,48.0,2421.0,-180.09090909090926,2289.0
147,49.0,2395.0,-174.83838383838423,2289.0
148,49.0,2406.0,-177.0606060606063,2289.0
149,49.0,2363.0,-168.37373737373767,2289.0
150,50.0,2406.0,-177.06060606060632,2289.0
151,50.0,2415.0,-178.87878787878822,2289.0
152,50.0,2413.0,-178.47474747474783,2289.0
153,51.0,2350.0,-165.74747474747488,2289.0
154,51.0,2379.0,-171.60606060606085,2289.0
155,51.0,2347.0,-165.14141414141437,2289.0
156,52.0,2522.0,-200.49494949494994,2289.0
157,52.0,2342.0,-164.13131313131345,2289.0
158,52.0,2429.0,-181.70707070707098,2289.0
159,53.0,2365.0,-168.7777777777781,2289.0
160,53.0,2317.0,-159.0808080808084,2289.0
161,53.0,2550.0,-206.1515151515154,2289.0
162,54.0,2441.0,-184.13131313131345,2289.0
163,54.0,2439.0,-183.7272727272731,2289.0
164,54.0,2385.0,-172.81818181818213,2289.0
165,55.0,2396.0,-175.04040404040433,2289.0
166,55.0,2471.0,-190.1919191919194,2289.0
167,55.0,2361.0,-167.96969696969717,2289.0
168,56.0,2413.0,-178.4747474747478,2289.0
169,56.0,2459.0,-187.76767676767713,2289.0
170,56.0,2478.0,-191.60606060606096,2289.0
171,57.0,2335.0,-162.717171717172,2289.0
172,57.0,2433.0,-182.51515151515184,2289.0
173,57.0,2354.0,-166.55555555555583,2289.0
174,58.0,2361.0,-167.96969696969725,2289.0
175,58.0,2446.0,-185.14141414141443,2289.0
176,58.0,2390.0,-173.82828282828308,2289.0
177,59.0,2328.0,-161.30303030303054,2289.0
178,59.0,2434.0,-182.717171717172,2289.0
179,59.0,2352.0,-166.15151515151538,2289.0
180,60.0,2445.0,-184.93939393939422,2289.0
181,60.0,2310.0,-157.66666666666708,2289.0
182,60.0,2566.0,-209.3838383838388,2289.0
183,61.0,2438.0,-183.52525252525288,2289.0
184,61.0,2368.0,-169.38383838383876,2289.0
185,61.0,2552.0,-206.55555555555577,2289.0
186,62.0,2418.0,-179.48484848484873,2289.0
187,62.0,2430.0,-181.90909090909128,2289.0
188,62.0,2491.0,-194.23232323232355,2289.0
189,63.0,2350.0,-165.747474747475,2289.0
190,63.0,2374.0,-170.59595959595998,2289.0
191,63.0,2417.0,-179.28282828282858,2289.0
192,64.0,2387.0,-173.22222222222246,2289.0
193,64.0,2411.0,-178.07070707070733,2289.0
194,64.0,2449.0,-185.74747474747514,2289.0
195,65.0,2362.0,-168.17171717171746,2289.0
196,65.0,2402.0,-176.25252525252557,2289.0
197,65.0,2475.0,-191.00000000000028,2289.0
198,66.0,2337.0,-163.1212121212124,2289.0
199,66.0,2464.0,-188.77777777777794,2289.0
200,66.0,2341.0,-163.92929292929327,2289.0
201,67.0,2481.0,-192.2121212121217,2289.0
202,67.0,2477.0,-191.40404040404076,2289.0
203,67.0,2516.0,-199.2828282828284,2289.0
204,68.0,2370.0,-169.7878787878791,2289.0
205,68.0,2435.0,-182.91919191919226,2289.0
206,68.0,2468.0,-189.5858585858589,2289.0
207,69.0,2446.0,-185.14141414141454,2289.0
208,69.0,2342.0,-164.13131313131348,2289.0
209,69.0,2470.0,-189.98989898989927,2289.0
210,70.0,2329.0,-161.50505050505086,2289.0
211,70.0,2440.0,-183.92929292929318,2289.0
212,70.0,2326.0,-160.89898989899012,2289.0
213,71.0,2516.0,-199.28282828282846,2289.0
214,71.0,2469.0,-189.7878787878791,2289.0
215,71.0,2374.0,-170.5959595959598,2289.0
216,72.0,2384.0,-172.61616161616183,2289.0
217,72.0,2403.0,-176.45454545454567,2289.0
218,72.0,2428.0,-181.50505050505072,2289.0
219,73.0,2322.0,-160.0909090909095,2289.0
220,73.0,2376.0,-171.00000000000037,2289.0
221,73.0,2401.0,-176.0505050505052,2289.0
222,74.0,2327.0,-161.1010101010104,2289.0
223,74.0,2441.0,-184.13131313131356,2289.0
224,74.0,2388.0,-173.42424242424283,2289.0
225,75.0,2367.0,-169.18181818181853,2289.0
226,75.0,2406.0,-177.06060606060635,2289.0
227,75.0,2464.0,-188.7777777777781,2289.0
228,76.0,2395.0,-174.83838383838415,2289.0
229,76.0,2390.0,-173.82828282828308,2289.0
