,make span-simple-per,converged_iterations,total_time,min
la01,666.0,545.0,25.162696599960327,666.0
la06,926.0,434.0,26.27973747253418,926.0
la11,1222.0,662.0,70.2181990146637,1222.0
la16,1038.0,1370.0,135.6440224647522,1012.0
la21,1157.0,2030.0,292.1169900894165,1140.0
la22,988.0,2135.0,308.99769496917725,986.0
la23,1048.0,1955.0,275.73847556114197,1036.0
la24,1027.0,1745.0,242.68430590629578,1019.0
la25,1032.0,1946.0,276.6098647117615,1032.0
la26,1311.0,1919.0,339.9832715988159,1276.0
la27,1343.0,1976.0,347.09925866127014,1334.0
la28,1263.0,2615.0,479.4194059371948,1261.0
la29,1268.0,2135.0,384.2847535610199,1267.0
la30,1402.0,2102.0,380.76750206947327,1371.0
la31,1784.0,2273.0,579.4507591724396,1784.0
la32,1850.0,1970.0,492.8635070323944,1850.0
la33,1719.0,2780.0,731.4420006275177,1719.0
la34,1783.0,1820.0,446.5826759338379,1782.0
la35,1888.0,2216.0,566.1738965511322,1888.0
la36,1353.0,1748.0,320.7880127429962,1343.0
la37,1503.0,1664.0,302.0394766330719,1503.0
la38,1345.0,1517.0,268.50007367134094,1343.0
la39,1372.0,1202.0,212.7508237361908,1351.0
la40,1329.0,1613.0,288.084983587265,1308.0
ta21,1874.0,2099.0,641.6244566440582,1857.0
ta22,1793.0,2441.0,775.5453417301178,1781.0
ta31,2008.0,2186.0,782.0457589626312,1970.0
ta32,2036.0,2042.0,721.9874112606049,2033.0
ta41,2448.0,2585.0,1238.948781490326,2427.0
ta42,2211.0,2075.0,949.565892457962,2196.0
ta51,3320.0,2756.0,2324.094048500061,3226.0
ta52,3117.0,2897.0,2397.286467075348,3097.0
ta61,3278.0,3203.0,3601.8091509342194,3175.0
ta62,3329.0,3215.0,3601.1962852478027,3218.0
ta71,5895.0,1271.0,3603.0798795223236,5795.0
ta72,5428.0,1262.0,3605.5217134952545,5410.0
