,episode,make_span,reward,min make span
0,0.0,5904.0,-59.63636363636363,5904.0
1,0.0,5840.0,-58.98989898989899,5840.0
2,0.0,5795.0,-58.535353535353536,5795.0
3,1.0,5920.0,-59.7979797979798,5795.0
4,1.0,5918.0,-59.77777777777778,5795.0
5,1.0,5947.0,-60.07070707070707,5795.0
6,2.0,5899.0,-59.58585858585859,5795.0
7,2.0,5985.0,-60.45454545454545,5795.0
8,2.0,5882.0,-59.41414141414141,5795.0
9,3.0,5927.0,-59.86868686868687,5795.0
10,3.0,5940.0,-60.0,5795.0
11,3.0,5890.0,-59.494949494949495,5795.0
12,4.0,5969.0,-60.292929292929294,5795.0
13,4.0,5879.0,-59.38383838383838,5795.0
14,4.0,5870.0,-59.292929292929294,5795.0
15,5.0,5872.0,-59.313131313131315,5795.0
16,5.0,5892.0,-59.515151515151516,5795.0
17,5.0,5883.0,-59.42424242424242,5795.0
18,6.0,5968.0,-60.282828282828284,5795.0
19,6.0,5907.0,-59.666666666666664,5795.0
20,6.0,5977.0,-60.37373737373738,5795.0
21,7.0,5884.0,-59.43434343434343,5795.0
22,7.0,5902.0,-59.61616161616162,5795.0
23,7.0,5884.0,-59.43434343434343,5795.0
24,8.0,6034.0,-60.94949494949495,5795.0
25,8.0,5956.0,-60.16161616161616,5795.0
26,8.0,5972.0,-60.323232323232325,5795.0
27,9.0,5989.0,-60.494949494949495,5795.0
28,9.0,5931.0,-59.90909090909091,5795.0
29,9.0,5947.0,-60.07070707070707,5795.0
30,10.0,5908.0,-59.676767676767675,5795.0
31,10.0,6004.0,-60.64646464646464,5795.0
32,10.0,5976.0,-60.36363636363637,5795.0
33,11.0,5881.0,-59.4040404040404,5795.0
34,11.0,6016.0,-60.76767676767677,5795.0
35,11.0,6006.0,-60.666666666666664,5795.0
36,12.0,5882.0,-59.41414141414141,5795.0
37,12.0,5936.0,-59.95959595959596,5795.0
38,12.0,5904.0,-59.63636363636363,5795.0
39,13.0,5984.0,-60.44444444444444,5795.0
40,13.0,5956.0,-60.16161616161616,5795.0
41,13.0,5922.0,-59.81818181818182,5795.0
42,14.0,5932.0,-59.91919191919192,5795.0
43,14.0,5954.0,-60.14141414141414,5795.0
44,14.0,5928.0,-59.878787878787875,5795.0
45,15.0,5903.0,-59.62626262626262,5795.0
46,15.0,5936.0,-59.95959595959596,5795.0
47,15.0,5943.0,-60.03030303030303,5795.0
48,16.0,5921.0,-59.80808080808081,5795.0
49,16.0,6047.0,-61.08080808080808,5795.0
50,16.0,5910.0,-59.696969696969695,5795.0
51,17.0,5892.0,-59.515151515151516,5795.0
52,17.0,5953.0,-60.13131313131313,5795.0
53,17.0,5978.0,-60.38383838383838,5795.0
54,18.0,5944.0,-60.04040404040404,5795.0
55,18.0,5960.0,-60.2020202020202,5795.0
56,18.0,5917.0,-59.76767676767677,5795.0
57,19.0,5909.0,-59.686868686868685,5795.0
58,19.0,5931.0,-59.90909090909091,5795.0
59,19.0,5937.0,-59.96969696969697,5795.0
60,20.0,5936.0,-59.95959595959596,5795.0
61,20.0,5982.0,-60.42424242424242,5795.0
62,20.0,5922.0,-59.81818181818182,5795.0
63,21.0,5973.0,-60.333333333333336,5795.0
64,21.0,5937.0,-59.96969696969697,5795.0
65,21.0,5942.0,-60.02020202020202,5795.0
66,22.0,6023.0,-60.83838383838384,5795.0
67,22.0,5927.0,-59.86868686868687,5795.0
68,22.0,6009.0,-60.696969696969695,5795.0
69,23.0,5935.0,-59.94949494949495,5795.0
70,23.0,6006.0,-60.666666666666664,5795.0
71,23.0,5946.0,-60.06060606060606,5795.0
72,24.0,5870.0,-59.292929292929294,5795.0
73,24.0,5918.0,-59.77777777777778,5795.0
74,24.0,5933.0,-59.92929292929293,5795.0
75,25.0,6034.0,-60.94949494949495,5795.0
76,25.0,5846.0,-59.05050505050505,5795.0
77,25.0,5996.0,-60.56565656565657,5795.0
78,26.0,5997.0,-60.57575757575758,5795.0
79,26.0,5907.0,-59.666666666666664,5795.0
80,26.0,5944.0,-60.04040404040404,5795.0
81,27.0,5903.0,-59.62626262626262,5795.0
82,27.0,5971.0,-60.313131313131315,5795.0
83,27.0,6003.0,-60.63636363636363,5795.0
84,28.0,5976.0,-60.36363636363637,5795.0
85,28.0,5909.0,-59.686868686868685,5795.0
86,28.0,5909.0,-59.686868686868685,5795.0
87,29.0,5952.0,-60.121212121212125,5795.0
88,29.0,5932.0,-59.91919191919192,5795.0
89,29.0,6011.0,-60.717171717171716,5795.0
90,30.0,6036.0,-60.96969696969697,5795.0
91,30.0,6030.0,-60.90909090909091,5795.0
92,30.0,5899.0,-59.58585858585859,5795.0
93,31.0,5899.0,-59.58585858585859,5795.0
94,31.0,5946.0,-60.06060606060606,5795.0
95,31.0,5959.0,-60.19191919191919,5795.0
96,32.0,5947.0,-60.07070707070707,5795.0
97,32.0,5979.0,-60.39393939393939,5795.0
98,32.0,5974.0,-60.343434343434346,5795.0
99,33.0,5941.0,-60.01010101010101,5795.0
100,33.0,6013.0,-60.73737373737374,5795.0
101,33.0,5901.0,-59.60606060606061,5795.0
102,34.0,5980.0,-60.4040404040404,5795.0
103,34.0,5908.0,-59.676767676767675,5795.0
104,34.0,5935.0,-59.94949494949495,5795.0
105,35.0,5941.0,-60.01010101010101,5795.0
106,35.0,5863.0,-59.22222222222222,5795.0
107,35.0,5963.0,-60.23232323232323,5795.0
108,36.0,5898.0,-59.57575757575758,5795.0
109,36.0,5901.0,-59.60606060606061,5795.0
110,36.0,6008.0,-60.686868686868685,5795.0
111,37.0,6017.0,-60.77777777777778,5795.0
112,37.0,5889.0,-59.484848484848484,5795.0
113,37.0,5955.0,-60.15151515151515,5795.0
114,38.0,5927.0,-59.86868686868687,5795.0
115,38.0,5921.0,-59.80808080808081,5795.0
116,38.0,5929.0,-59.888888888888886,5795.0
117,39.0,5957.0,-60.17171717171717,5795.0
118,39.0,5966.0,-60.26262626262626,5795.0
119,39.0,5879.0,-59.38383838383838,5795.0
120,40.0,5941.0,-60.01010101010101,5795.0
121,40.0,5992.0,-60.525252525252526,5795.0
122,40.0,5892.0,-59.515151515151516,5795.0
123,41.0,5899.0,-59.58585858585859,5795.0
124,41.0,5985.0,-60.45454545454545,5795.0
125,41.0,5892.0,-59.515151515151516,5795.0
126,42.0,5921.0,-59.80808080808081,5795.0
127,42.0,5935.0,-59.94949494949495,5795.0
128,42.0,5908.0,-59.676767676767675,5795.0
129,43.0,6012.0,-60.72727272727273,5795.0
130,43.0,5926.0,-59.85858585858586,5795.0
