,episode,make_span,reward,min make span
0,0.0,1761.0,-71.66666666666669,1761.0
1,0.0,1454.0,-40.65656565656567,1454.0
2,0.0,1515.0,-46.81818181818184,1454.0
3,1.0,1502.0,-45.50505050505051,1454.0
4,1.0,1467.0,-41.969696969696976,1454.0
5,1.0,1539.0,-49.242424242424235,1454.0
6,2.0,1753.0,-70.85858585858587,1454.0
7,2.0,1506.0,-45.90909090909093,1454.0
8,2.0,1456.0,-40.85858585858586,1454.0
9,3.0,1731.0,-68.63636363636364,1454.0
10,3.0,1539.0,-49.24242424242426,1454.0
11,3.0,1499.0,-45.2020202020202,1454.0
12,4.0,1651.0,-60.555555555555564,1454.0
13,4.0,1566.0,-51.96969696969697,1454.0
14,4.0,1514.0,-46.71717171717171,1454.0
15,5.0,1611.0,-56.51515151515153,1454.0
16,5.0,1532.0,-48.53535353535354,1454.0
17,5.0,1794.0,-74.99999999999999,1454.0
18,6.0,1947.0,-90.45454545454547,1454.0
19,6.0,1863.0,-81.96969696969697,1454.0
20,6.0,1499.0,-45.202020202020215,1454.0
21,7.0,1826.0,-78.23232323232324,1454.0
22,7.0,1911.0,-86.81818181818184,1454.0
23,7.0,1500.0,-45.303030303030305,1454.0
24,8.0,1455.0,-40.75757575757576,1454.0
25,8.0,1573.0,-52.67676767676767,1454.0
26,8.0,1522.0,-47.525252525252526,1454.0
27,9.0,1567.0,-52.07070707070708,1454.0
28,9.0,1843.0,-79.94949494949495,1454.0
29,9.0,1524.0,-47.727272727272755,1454.0
30,10.0,1649.0,-60.35353535353535,1454.0
31,10.0,1701.0,-65.60606060606064,1454.0
32,10.0,1668.0,-62.272727272727266,1454.0
33,11.0,1748.0,-70.35353535353536,1454.0
34,11.0,1831.0,-78.73737373737376,1454.0
35,11.0,1638.0,-59.24242424242425,1454.0
36,12.0,1852.0,-80.85858585858583,1454.0
37,12.0,1804.0,-76.01010101010101,1454.0
38,12.0,1806.0,-76.21212121212122,1454.0
39,13.0,1893.0,-85.0,1454.0
40,13.0,1573.0,-52.67676767676768,1454.0
41,13.0,1562.0,-51.56565656565657,1454.0
42,14.0,1826.0,-78.23232323232324,1454.0
43,14.0,1621.0,-57.525252525252554,1454.0
44,14.0,1600.0,-55.404040404040394,1454.0
45,15.0,1765.0,-72.07070707070707,1454.0
46,15.0,1772.0,-72.77777777777777,1454.0
47,15.0,1671.0,-62.575757575757564,1454.0
48,16.0,1666.0,-62.07070707070708,1454.0
49,16.0,1555.0,-50.85858585858586,1454.0
50,16.0,1791.0,-74.69696969696972,1454.0
51,17.0,1783.0,-73.88888888888889,1454.0
52,17.0,1529.0,-48.23232323232323,1454.0
53,17.0,1866.0,-82.27272727272728,1454.0
54,18.0,1542.0,-49.54545454545457,1454.0
55,18.0,1651.0,-60.555555555555564,1454.0
56,18.0,1834.0,-79.04040404040404,1454.0
57,19.0,1553.0,-50.65656565656563,1454.0
58,19.0,1717.0,-67.22222222222221,1454.0
59,19.0,1639.0,-59.34343434343438,1454.0
60,20.0,1756.0,-71.16161616161617,1454.0
61,20.0,1533.0,-48.636363636363654,1454.0
62,20.0,1853.0,-80.95959595959596,1454.0
63,21.0,1485.0,-43.7878787878788,1454.0
64,21.0,1620.0,-57.42424242424242,1454.0
65,21.0,1544.0,-49.74747474747476,1454.0
66,22.0,1546.0,-49.94949494949497,1454.0
67,22.0,1671.0,-62.5757575757576,1454.0
68,22.0,1578.0,-53.1818181818182,1454.0
69,23.0,1676.0,-63.08080808080809,1454.0
70,23.0,1856.0,-81.26262626262627,1454.0
71,23.0,1660.0,-61.464646464646485,1454.0
72,24.0,1644.0,-59.848484848484844,1454.0
73,24.0,1512.0,-46.51515151515151,1454.0
74,24.0,1486.0,-43.8888888888889,1454.0
75,25.0,1452.0,-40.454545454545475,1452.0
76,25.0,1816.0,-77.22222222222223,1452.0
77,25.0,1450.0,-40.25252525252525,1450.0
78,26.0,1819.0,-77.52525252525251,1450.0
79,26.0,1572.0,-52.57575757575758,1450.0
80,26.0,1837.0,-79.34343434343435,1450.0
81,27.0,1518.0,-47.12121212121214,1450.0
82,27.0,1683.0,-63.7878787878788,1450.0
83,27.0,1833.0,-78.93939393939394,1450.0
84,28.0,1705.0,-66.01010101010104,1450.0
85,28.0,1473.0,-42.57575757575758,1450.0
86,28.0,1567.0,-52.070707070707066,1450.0
87,29.0,1526.0,-47.929292929292934,1450.0
88,29.0,1567.0,-52.07070707070709,1450.0
89,29.0,1524.0,-47.72727272727275,1450.0
90,30.0,1641.0,-59.545454545454554,1450.0
91,30.0,1475.0,-42.77777777777778,1450.0
92,30.0,1547.0,-50.050505050505066,1450.0
93,31.0,1655.0,-60.95959595959596,1450.0
94,31.0,1498.0,-45.101010101010104,1450.0
95,31.0,1567.0,-52.07070707070708,1450.0
96,32.0,1499.0,-45.20202020202019,1450.0
97,32.0,1498.0,-45.10101010101012,1450.0
98,32.0,1566.0,-51.969696969697,1450.0
99,33.0,1519.0,-47.22222222222223,1450.0
100,33.0,1541.0,-49.444444444444436,1450.0
101,33.0,1536.0,-48.939393939393945,1450.0
102,34.0,1474.0,-42.676767676767696,1450.0
103,34.0,1647.0,-60.15151515151517,1450.0
104,34.0,1525.0,-47.82828282828283,1450.0
105,35.0,1749.0,-70.45454545454547,1450.0
106,35.0,1639.0,-59.343434343434346,1450.0
107,35.0,1489.0,-44.19191919191919,1450.0
108,36.0,1601.0,-55.5050505050505,1450.0
109,36.0,1626.0,-58.030303030303024,1450.0
110,36.0,1539.0,-49.24242424242425,1450.0
111,37.0,1748.0,-70.35353535353535,1450.0
112,37.0,1652.0,-60.65656565656566,1450.0
113,37.0,1558.0,-51.161616161616166,1450.0
114,38.0,1435.0,-38.73737373737375,1435.0
115,38.0,1566.0,-51.969696969697,1435.0
116,38.0,1549.0,-50.252525252525245,1435.0
117,39.0,1568.0,-52.17171717171718,1435.0
118,39.0,1507.0,-46.01010101010102,1435.0
119,39.0,1437.0,-38.93939393939395,1435.0
120,40.0,1459.0,-41.16161616161617,1435.0
121,40.0,1858.0,-81.46464646464645,1435.0
122,40.0,1460.0,-41.26262626262628,1435.0
123,41.0,1575.0,-52.87878787878789,1435.0
124,41.0,1521.0,-47.42424242424243,1435.0
125,41.0,1601.0,-55.50505050505052,1435.0
126,42.0,1566.0,-51.96969696969698,1435.0
127,42.0,1740.0,-69.54545454545453,1435.0
128,42.0,1615.0,-56.91919191919192,1435.0
129,43.0,1451.0,-40.35353535353537,1435.0
130,43.0,1659.0,-61.363636363636374,1435.0
131,43.0,1606.0,-56.010101010101025,1435.0
132,44.0,1604.0,-55.80808080808081,1435.0
133,44.0,1632.0,-58.63636363636365,1435.0
134,44.0,1541.0,-49.44444444444445,1435.0
135,45.0,1523.0,-47.62626262626264,1435.0
136,45.0,1542.0,-49.545454545454554,1435.0
137,45.0,1667.0,-62.171717171717184,1435.0
138,46.0,1735.0,-69.04040404040407,1435.0
139,46.0,1657.0,-61.16161616161618,1435.0
140,46.0,1521.0,-47.42424242424243,1435.0
141,47.0,1754.0,-70.95959595959596,1435.0
142,47.0,1530.0,-48.333333333333336,1435.0
143,47.0,1611.0,-56.51515151515153,1435.0
144,48.0,1489.0,-44.191919191919204,1435.0
145,48.0,1520.0,-47.32323232323233,1435.0
146,48.0,1590.0,-54.39393939393942,1435.0
147,49.0,1514.0,-46.71717171717173,1435.0
148,49.0,1513.0,-46.61616161616161,1435.0
149,49.0,1520.0,-47.32323232323233,1435.0
150,50.0,1736.0,-69.14141414141415,1435.0
151,50.0,1726.0,-68.13131313131314,1435.0
152,50.0,1459.0,-41.161616161616166,1435.0
153,51.0,1476.0,-42.87878787878789,1435.0
154,51.0,1487.0,-43.989898989899,1435.0
155,51.0,1489.0,-44.19191919191922,1435.0
156,52.0,1507.0,-46.01010101010103,1435.0
157,52.0,1598.0,-55.20202020202022,1435.0
158,52.0,1525.0,-47.82828282828284,1435.0
159,53.0,1538.0,-49.14141414141416,1435.0
160,53.0,1785.0,-74.0909090909091,1435.0
161,53.0,1576.0,-52.97979797979799,1435.0
162,54.0,1653.0,-60.75757575757578,1435.0
163,54.0,1518.0,-47.12121212121212,1435.0
164,54.0,1539.0,-49.24242424242425,1435.0
165,55.0,1624.0,-57.828282828282845,1435.0
166,55.0,1548.0,-50.151515151515156,1435.0
167,55.0,1495.0,-44.797979797979785,1435.0
168,56.0,1510.0,-46.313131313131315,1435.0
169,56.0,1868.0,-82.47474747474749,1435.0
170,56.0,1647.0,-60.15151515151518,1435.0
171,57.0,1586.0,-53.989898989899,1435.0
172,57.0,1809.0,-76.51515151515153,1435.0
173,57.0,1535.0,-48.838383838383855,1435.0
174,58.0,1595.0,-54.89898989898991,1435.0
175,58.0,1730.0,-68.53535353535352,1435.0
176,58.0,1679.0,-63.38383838383838,1435.0
177,59.0,1522.0,-47.52525252525253,1435.0
178,59.0,1569.0,-52.27272727272729,1435.0
179,59.0,1547.0,-50.05050505050505,1435.0
180,60.0,1539.0,-49.24242424242425,1435.0
181,60.0,1433.0,-38.53535353535354,1433.0
182,60.0,1506.0,-45.90909090909092,1433.0
183,61.0,1581.0,-53.4848484848485,1433.0
184,61.0,1530.0,-48.33333333333333,1433.0
185,61.0,1557.0,-51.06060606060608,1433.0
186,62.0,1604.0,-55.808080808080824,1433.0
187,62.0,1503.0,-45.606060606060616,1433.0
188,62.0,1525.0,-47.82828282828283,1433.0
189,63.0,1558.0,-51.16161616161617,1433.0
190,63.0,1571.0,-52.474747474747474,1433.0
191,63.0,1626.0,-58.03030303030302,1433.0
192,64.0,1870.0,-82.6767676767677,1433.0
193,64.0,1508.0,-46.1111111111111,1433.0
194,64.0,1498.0,-45.10101010101011,1433.0
195,65.0,1551.0,-50.45454545454545,1433.0
196,65.0,1562.0,-51.56565656565657,1433.0
197,65.0,1581.0,-53.48484848484849,1433.0
198,66.0,1655.0,-60.959595959595994,1433.0
199,66.0,1595.0,-54.89898989898991,1433.0
200,66.0,1476.0,-42.878787878787875,1433.0
201,67.0,1512.0,-46.51515151515153,1433.0
202,67.0,1517.0,-47.02020202020202,1433.0
203,67.0,1592.0,-54.59595959595962,1433.0
204,68.0,1484.0,-43.686868686868685,1433.0
205,68.0,1458.0,-41.06060606060607,1433.0
206,68.0,1791.0,-74.69696969696969,1433.0
207,69.0,1529.0,-48.23232323232326,1433.0
208,69.0,1726.0,-68.13131313131315,1433.0
209,69.0,1718.0,-67.32323232323233,1433.0
210,70.0,1760.0,-71.56565656565658,1433.0
211,70.0,1494.0,-44.69696969696972,1433.0
212,70.0,1539.0,-49.24242424242424,1433.0
213,71.0,1604.0,-55.8080808080808,1433.0
214,71.0,1491.0,-44.3939393939394,1433.0
215,71.0,1593.0,-54.69696969696972,1433.0
216,72.0,1626.0,-58.03030303030305,1433.0
217,72.0,1439.0,-39.14141414141415,1433.0
218,72.0,1406.0,-35.80808080808082,1406.0
219,73.0,1514.0,-46.717171717171716,1406.0
220,73.0,1525.0,-47.828282828282845,1406.0
221,73.0,1486.0,-43.8888888888889,1406.0
222,74.0,1514.0,-46.717171717171716,1406.0
223,74.0,1503.0,-45.60606060606062,1406.0
224,74.0,1571.0,-52.47474747474748,1406.0
225,75.0,1561.0,-51.46464646464646,1406.0
226,75.0,1517.0,-47.02020202020202,1406.0
227,75.0,1797.0,-75.30303030303034,1406.0
228,76.0,1480.0,-43.282828282828284,1406.0
229,76.0,1729.0,-68.43434343434343,1406.0
230,76.0,1521.0,-47.42424242424243,1406.0
231,77.0,1502.0,-45.50505050505051,1406.0
232,77.0,1597.0,-55.10101010101011,1406.0
233,77.0,1543.0,-49.64646464646465,1406.0
234,78.0,1487.0,-43.98989898989899,1406.0
235,78.0,1403.0,-35.50505050505052,1403.0
236,78.0,1792.0,-74.79797979797982,1403.0
237,79.0,1738.0,-69.34343434343434,1403.0
238,79.0,1428.0,-38.030303030303024,1403.0
239,79.0,1399.0,-35.101010101010104,1399.0
240,80.0,1380.0,-33.18181818181819,1380.0
241,80.0,1499.0,-45.2020202020202,1380.0
242,80.0,1516.0,-46.919191919191924,1380.0
243,81.0,1596.0,-55.00000000000002,1380.0
