,episode,make_span,reward,min make span
0,0.0,3271.0,-120.41414141414155,3271.0
1,0.0,3428.0,-144.2020202020205,3271.0
2,0.0,3511.0,-156.77777777777797,3271.0
3,1.0,3857.0,-209.2020202020205,3271.0
4,1.0,3684.0,-182.98989898989913,3271.0
5,1.0,3553.0,-163.14141414141432,3271.0
6,2.0,3635.0,-175.56565656565675,3271.0
7,2.0,3616.0,-172.68686868686905,3271.0
8,2.0,3628.0,-174.50505050505078,3271.0
9,3.0,3704.0,-186.02020202020216,3271.0
10,3.0,3470.0,-150.5656565656568,3271.0
11,3.0,3453.0,-147.98989898989927,3271.0
12,4.0,3697.0,-184.9595959595961,3271.0
13,4.0,3727.0,-189.50505050505072,3271.0
14,4.0,3764.0,-195.11111111111123,3271.0
15,5.0,3824.0,-204.2020202020205,3271.0
16,5.0,3799.0,-200.4141414141417,3271.0
17,5.0,3814.0,-202.68686868686893,3271.0
18,6.0,3691.0,-184.05050505050534,3271.0
19,6.0,3643.0,-176.77777777777794,3271.0
20,6.0,3683.0,-182.83838383838392,3271.0
21,7.0,3726.0,-189.3535353535357,3271.0
22,7.0,3454.0,-148.14141414141443,3271.0
23,7.0,3875.0,-211.92929292929338,3271.0
24,8.0,3683.0,-182.83838383838417,3271.0
25,8.0,3765.0,-195.26262626262647,3271.0
26,8.0,3610.0,-171.77777777777797,3271.0
27,9.0,3720.0,-188.44444444444468,3271.0
28,9.0,3628.0,-174.5050505050507,3271.0
29,9.0,3817.0,-203.14141414141446,3271.0
30,10.0,3780.0,-197.53535353535386,3271.0
31,10.0,3676.0,-181.777777777778,3271.0
32,10.0,3530.0,-159.65656565656587,3271.0
33,11.0,3528.0,-159.35353535353568,3271.0
34,11.0,3719.0,-188.29292929292956,3271.0
35,11.0,3568.0,-165.41414141414157,3271.0
36,12.0,3556.0,-163.5959595959599,3271.0
37,12.0,3506.0,-156.02020202020225,3271.0
38,12.0,3492.0,-153.89898989899015,3271.0
39,13.0,3580.0,-167.2323232323235,3271.0
40,13.0,3589.0,-168.59595959595984,3271.0
41,13.0,3632.0,-175.11111111111137,3271.0
42,14.0,3633.0,-175.26262626262647,3271.0
43,14.0,3547.0,-162.23232323232344,3271.0
44,14.0,3588.0,-168.44444444444466,3271.0
45,15.0,3642.0,-176.62626262626287,3271.0
46,15.0,3636.0,-175.717171717172,3271.0
47,15.0,3671.0,-181.02020202020225,3271.0
48,16.0,3544.0,-161.77777777777803,3271.0
49,16.0,3627.0,-174.35353535353562,3271.0
50,16.0,3683.0,-182.83838383838398,3271.0
51,17.0,3764.0,-195.11111111111137,3271.0
52,17.0,3720.0,-188.4444444444447,3271.0
53,17.0,3852.0,-208.44444444444468,3271.0
54,18.0,3622.0,-173.59595959595987,3271.0
55,18.0,3625.0,-174.05050505050525,3271.0
56,18.0,3579.0,-167.08080808080837,3271.0
57,19.0,3763.0,-194.95959595959616,3271.0
58,19.0,3535.0,-160.41414141414165,3271.0
59,19.0,3666.0,-180.26262626262655,3271.0
60,20.0,3461.0,-149.20202020202046,3271.0
61,20.0,3578.0,-166.92929292929324,3271.0
62,20.0,3505.0,-155.86868686868712,3271.0
63,21.0,3632.0,-175.11111111111128,3271.0
64,21.0,3605.0,-171.02020202020233,3271.0
65,21.0,3672.0,-181.17171717171738,3271.0
66,22.0,3839.0,-206.47474747474777,3271.0
67,22.0,3569.0,-165.56565656565678,3271.0
68,22.0,3607.0,-171.32323232323265,3271.0
69,23.0,3714.0,-187.53535353535372,3271.0
70,23.0,3664.0,-179.9595959595962,3271.0
71,23.0,3656.0,-178.74747474747502,3271.0
72,24.0,3700.0,-185.41414141414165,3271.0
73,24.0,3727.0,-189.50505050505083,3271.0
74,24.0,3708.0,-186.62626262626287,3271.0
75,25.0,3580.0,-167.23232323232352,3271.0
76,25.0,3839.0,-206.4747474747477,3271.0
77,25.0,3728.0,-189.65656565656582,3271.0
78,26.0,3566.0,-165.1111111111114,3271.0
79,26.0,3687.0,-183.4444444444447,3271.0
80,26.0,3636.0,-175.717171717172,3271.0
81,27.0,3492.0,-153.89898989899007,3271.0
82,27.0,3827.0,-204.656565656566,3271.0
83,27.0,3598.0,-169.9595959595962,3271.0
84,28.0,3632.0,-175.1111111111113,3271.0
85,28.0,3663.0,-179.80808080808106,3271.0
86,28.0,3654.0,-178.44444444444468,3271.0
87,29.0,3671.0,-181.02020202020228,3271.0
88,29.0,3630.0,-174.80808080808126,3271.0
89,29.0,3640.0,-176.3232323232326,3271.0
90,30.0,3868.0,-210.868686868687,3271.0
91,30.0,3656.0,-178.747474747475,3271.0
92,30.0,3557.0,-163.74747474747485,3271.0
93,31.0,3704.0,-186.0202020202023,3271.0
94,31.0,3571.0,-165.86868686868715,3271.0
95,31.0,3606.0,-171.17171717171738,3271.0
96,32.0,3556.0,-163.5959595959598,3271.0
97,32.0,3620.0,-173.29292929292953,3271.0
98,32.0,3636.0,-175.71717171717188,3271.0
99,33.0,3587.0,-168.29292929292959,3271.0
100,33.0,3634.0,-175.4141414141417,3271.0
101,33.0,3642.0,-176.62626262626281,3271.0
102,34.0,3603.0,-170.7171717171718,3271.0
103,34.0,3625.0,-174.05050505050528,3271.0
104,34.0,3696.0,-184.80808080808112,3271.0
105,35.0,3675.0,-181.62626262626293,3271.0
106,35.0,3675.0,-181.62626262626267,3271.0
107,35.0,3685.0,-183.1414141414144,3271.0
