,episode,make_span,reward,min_make_span
0,0.0,2009.0,-46.515151515151516,2009.0
1,0.0,2068.0,-52.4747474747475,2009.0
2,0.0,1928.0,-38.333333333333364,1928.0
3,1.0,2023.0,-47.92929292929294,1928.0
4,1.0,1978.0,-43.3838383838384,1928.0
5,1.0,2112.0,-56.919191919191924,1928.0
6,2.0,1909.0,-36.414141414141426,1909.0
7,2.0,1934.0,-38.93939393939397,1909.0
8,2.0,2071.0,-52.777777777777786,1909.0
9,3.0,2128.0,-58.53535353535356,1909.0
10,3.0,2070.0,-52.67676767676768,1909.0
11,3.0,2113.0,-57.02020202020202,1909.0
12,4.0,2032.0,-48.83838383838386,1909.0
13,4.0,2148.0,-60.55555555555558,1909.0
14,4.0,2031.0,-48.73737373737375,1909.0
15,5.0,1940.0,-39.545454545454554,1909.0
16,5.0,2003.0,-45.90909090909092,1909.0
17,5.0,1983.0,-43.888888888888914,1909.0
18,6.0,2016.0,-47.22222222222223,1909.0
19,6.0,2022.0,-47.82828282828284,1909.0
20,6.0,2044.0,-50.05050505050507,1909.0
21,7.0,1936.0,-39.14141414141415,1909.0
22,7.0,2065.0,-52.1717171717172,1909.0
23,7.0,2002.0,-45.80808080808082,1909.0
24,8.0,2022.0,-47.82828282828285,1909.0
25,8.0,2071.0,-52.777777777777786,1909.0
26,8.0,2033.0,-48.93939393939394,1909.0
27,9.0,1962.0,-41.76767676767677,1909.0
28,9.0,1971.0,-42.67676767676768,1909.0
29,9.0,2050.0,-50.65656565656569,1909.0
30,10.0,2045.0,-50.15151515151517,1909.0
31,10.0,1934.0,-38.93939393939396,1909.0
32,10.0,2047.0,-50.35353535353538,1909.0
33,11.0,2044.0,-50.050505050505066,1909.0
34,11.0,2061.0,-51.767676767676804,1909.0
35,11.0,2151.0,-60.85858585858588,1909.0
36,12.0,1946.0,-40.15151515151517,1909.0
37,12.0,2000.0,-45.60606060606063,1909.0
38,12.0,2017.0,-47.323232323232354,1909.0
39,13.0,2022.0,-47.82828282828284,1909.0
40,13.0,2082.0,-53.8888888888889,1909.0
41,13.0,2084.0,-54.09090909090912,1909.0
42,14.0,1962.0,-41.76767676767678,1909.0
43,14.0,2047.0,-50.35353535353535,1909.0
44,14.0,2045.0,-50.15151515151516,1909.0
45,15.0,1999.0,-45.50505050505052,1909.0
46,15.0,1934.0,-38.93939393939395,1909.0
47,15.0,2071.0,-52.777777777777786,1909.0
48,16.0,1995.0,-45.10101010101013,1909.0
49,16.0,1918.0,-37.32323232323233,1909.0
50,16.0,2004.0,-46.01010101010101,1909.0
51,17.0,1999.0,-45.50505050505053,1909.0
52,17.0,2067.0,-52.373737373737406,1909.0
53,17.0,2107.0,-56.414141414141426,1909.0
54,18.0,1989.0,-44.49494949494951,1909.0
55,18.0,1960.0,-41.56565656565659,1909.0
56,18.0,1980.0,-43.5858585858586,1909.0
57,19.0,1973.0,-42.87878787878788,1909.0
58,19.0,1959.0,-41.46464646464646,1909.0
59,19.0,2072.0,-52.8787878787879,1909.0
60,20.0,2017.0,-47.32323232323236,1909.0
61,20.0,2012.0,-46.818181818181834,1909.0
62,20.0,2021.0,-47.72727272727275,1909.0
63,21.0,1979.0,-43.4848484848485,1909.0
64,21.0,1948.0,-40.35353535353537,1909.0
65,21.0,1999.0,-45.50505050505052,1909.0
66,22.0,1993.0,-44.89898989898993,1909.0
67,22.0,1930.0,-38.53535353535356,1909.0
68,22.0,2115.0,-57.222222222222236,1909.0
69,23.0,1955.0,-41.060606060606084,1909.0
70,23.0,1994.0,-45.00000000000003,1909.0
71,23.0,2103.0,-56.010101010101025,1909.0
72,24.0,1985.0,-44.09090909090911,1909.0
73,24.0,2040.0,-49.64646464646466,1909.0
74,24.0,2112.0,-56.91919191919195,1909.0
75,25.0,1958.0,-41.363636363636374,1909.0
76,25.0,2032.0,-48.83838383838386,1909.0
77,25.0,2015.0,-47.121212121212125,1909.0
78,26.0,1936.0,-39.14141414141416,1909.0
79,26.0,1948.0,-40.35353535353539,1909.0
80,26.0,2035.0,-49.14141414141416,1909.0
81,27.0,2102.0,-55.90909090909093,1909.0
82,27.0,1989.0,-44.49494949494951,1909.0
83,27.0,2068.0,-52.4747474747475,1909.0
84,28.0,2030.0,-48.63636363636366,1909.0
85,28.0,1960.0,-41.56565656565659,1909.0
86,28.0,2089.0,-54.59595959595963,1909.0
87,29.0,1925.0,-38.03030303030305,1909.0
88,29.0,2037.0,-49.34343434343436,1909.0
89,29.0,1910.0,-36.515151515151544,1909.0
90,30.0,2066.0,-52.2727272727273,1909.0
91,30.0,2067.0,-52.37373737373741,1909.0
