,episode,make_span,reward,min_make_span
0,0.0,3415.0,-134.4141414141416,3415.0
1,0.0,3390.0,-130.62626262626284,3390.0
2,0.0,3322.0,-120.32323232323256,3322.0
3,1.0,3461.0,-141.38383838383865,3322.0
4,1.0,3432.0,-136.9898989898992,3322.0
5,1.0,3426.0,-136.08080808080828,3322.0
6,2.0,3472.0,-143.05050505050536,3322.0
7,2.0,3415.0,-134.4141414141416,3322.0
8,2.0,3474.0,-143.3535353535355,3322.0
9,3.0,3466.0,-142.14141414141443,3322.0
10,3.0,3426.0,-136.08080808080828,3322.0
11,3.0,3442.0,-138.5050505050508,3322.0
12,4.0,3415.0,-134.4141414141416,3322.0
13,4.0,3421.0,-135.3232323232326,3322.0
14,4.0,3342.0,-123.35353535353556,3322.0
15,5.0,3501.0,-147.44444444444468,3322.0
16,5.0,3359.0,-125.92929292929311,3322.0
17,5.0,3358.0,-125.77777777777804,3322.0
18,6.0,3429.0,-136.5353535353538,3322.0
19,6.0,3368.0,-127.29292929292951,3322.0
20,6.0,3386.0,-130.02020202020228,3322.0
21,7.0,3415.0,-134.41414141414162,3322.0
22,7.0,3382.0,-129.41414141414165,3322.0
23,7.0,3393.0,-131.08080808080828,3322.0
24,8.0,3359.0,-125.92929292929323,3322.0
25,8.0,3429.0,-136.53535353535383,3322.0
26,8.0,3418.0,-134.86868686868704,3322.0
27,9.0,3404.0,-132.74747474747497,3322.0
28,9.0,3425.0,-135.9292929292932,3322.0
29,9.0,3413.0,-134.1111111111113,3322.0
30,10.0,3452.0,-140.02020202020222,3322.0
31,10.0,3408.0,-133.35353535353556,3322.0
32,10.0,3377.0,-128.65656565656582,3322.0
33,11.0,3386.0,-130.02020202020222,3322.0
34,11.0,3335.0,-122.29292929292949,3322.0
35,11.0,3401.0,-132.29292929292947,3322.0
36,12.0,3416.0,-134.5656565656568,3322.0
37,12.0,3386.0,-130.02020202020222,3322.0
38,12.0,3369.0,-127.44444444444458,3322.0
39,13.0,3311.0,-118.65656565656586,3311.0
40,13.0,3410.0,-133.65656565656582,3311.0
41,13.0,3401.0,-132.29292929292953,3311.0
42,14.0,3385.0,-129.8686868686871,3311.0
43,14.0,3453.0,-140.17171717171746,3311.0
44,14.0,3471.0,-142.89898989899007,3311.0
45,15.0,3491.0,-145.9292929292932,3311.0
46,15.0,3422.0,-135.47474747474772,3311.0
47,15.0,3454.0,-140.3232323232325,3311.0
48,16.0,3421.0,-135.32323232323256,3311.0
49,16.0,3395.0,-131.38383838383862,3311.0
50,16.0,3442.0,-138.50505050505075,3311.0
51,17.0,3377.0,-128.65656565656582,3311.0
52,17.0,3378.0,-128.80808080808103,3311.0
53,17.0,3426.0,-136.08080808080834,3311.0
54,18.0,3443.0,-138.6565656565659,3311.0
55,18.0,3407.0,-133.20202020202035,3311.0
56,18.0,3432.0,-136.9898989898992,3311.0
57,19.0,3406.0,-133.05050505050522,3311.0
58,19.0,3367.0,-127.14141414141432,3311.0
59,19.0,3453.0,-140.17171717171738,3311.0
60,20.0,3496.0,-146.6868686868689,3311.0
61,20.0,3305.0,-117.74747474747494,3305.0
62,20.0,3359.0,-125.92929292929317,3305.0
63,21.0,3373.0,-128.05050505050525,3305.0
64,21.0,3351.0,-124.7171717171719,3305.0
65,21.0,3392.0,-130.92929292929315,3305.0
66,22.0,3403.0,-132.59595959595984,3305.0
67,22.0,3412.0,-133.95959595959621,3305.0
68,22.0,3419.0,-135.0202020202022,3305.0
69,23.0,3371.0,-127.74747474747497,3305.0
70,23.0,3486.0,-145.17171717171743,3305.0
71,23.0,3358.0,-125.77777777777798,3305.0
72,24.0,3432.0,-136.98989898989916,3305.0
73,24.0,3407.0,-133.2020202020204,3305.0
74,24.0,3418.0,-134.86868686868706,3305.0
75,25.0,3455.0,-140.47474747474774,3305.0
76,25.0,3432.0,-136.9898989898992,3305.0
77,25.0,3324.0,-120.62626262626283,3305.0
78,26.0,3324.0,-120.62626262626286,3305.0
79,26.0,3395.0,-131.38383838383857,3305.0
80,26.0,3463.0,-141.68686868686888,3305.0
81,27.0,3571.0,-158.05050505050528,3305.0
82,27.0,3490.0,-145.777777777778,3305.0
83,27.0,3374.0,-128.2020202020204,3305.0
84,28.0,3431.0,-136.83838383838403,3305.0
85,28.0,3376.0,-128.50505050505075,3305.0
86,28.0,3370.0,-127.59595959595977,3305.0
87,29.0,3396.0,-131.53535353535378,3305.0
88,29.0,3324.0,-120.62626262626287,3305.0
89,29.0,3526.0,-151.23232323232355,3305.0
90,30.0,3408.0,-133.3535353535355,3305.0
91,30.0,3355.0,-125.32323232323255,3305.0
92,30.0,3411.0,-133.80808080808097,3305.0
93,31.0,3397.0,-131.68686868686888,3305.0
94,31.0,3371.0,-127.74747474747491,3305.0
95,31.0,3312.0,-118.80808080808099,3305.0
96,32.0,3427.0,-136.2323232323235,3305.0
97,32.0,3371.0,-127.7474747474749,3305.0
98,32.0,3365.0,-126.838383838384,3305.0
99,33.0,3420.0,-135.1717171717174,3305.0
100,33.0,3368.0,-127.29292929292946,3305.0
101,33.0,3440.0,-138.20202020202044,3305.0
102,34.0,3376.0,-128.50505050505072,3305.0
103,34.0,3391.0,-130.77777777777794,3305.0
104,34.0,3325.0,-120.777777777778,3305.0
105,35.0,3353.0,-125.02020202020219,3305.0
106,35.0,3364.0,-126.6868686868689,3305.0
107,35.0,3389.0,-130.47474747474766,3305.0
108,36.0,3381.0,-129.26262626262644,3305.0
109,36.0,3423.0,-135.6262626262628,3305.0
110,36.0,3367.0,-127.14141414141436,3305.0
111,37.0,3400.0,-132.14141414141434,3305.0
112,37.0,3371.0,-127.747474747475,3305.0
113,37.0,3463.0,-141.6868686868689,3305.0
114,38.0,3403.0,-132.59595959595987,3305.0
115,38.0,3343.0,-123.50505050505072,3305.0
116,38.0,3421.0,-135.32323232323253,3305.0
117,39.0,3446.0,-139.1111111111113,3305.0
118,39.0,3534.0,-152.4444444444446,3305.0
119,39.0,3419.0,-135.02020202020225,3305.0
120,40.0,3424.0,-135.77777777777797,3305.0
121,40.0,3391.0,-130.77777777777803,3305.0
122,40.0,3353.0,-125.0202020202022,3305.0
123,41.0,3338.0,-122.74747474747493,3305.0
124,41.0,3500.0,-147.29292929292956,3305.0
125,41.0,3340.0,-123.05050505050518,3305.0
126,42.0,3431.0,-136.83838383838406,3305.0
127,42.0,3365.0,-126.83838383838399,3305.0
128,42.0,3406.0,-133.05050505050525,3305.0
129,43.0,3393.0,-131.08080808080825,3305.0
130,43.0,3406.0,-133.05050505050528,3305.0
131,43.0,3344.0,-123.65656565656595,3305.0
