,2-idle-simple-per-,converged_iterations,total_time,min
la01,666.0,617.0,30.214086771011353,666.0
la06,926.0,158.0,10.045390605926514,926.0
la11,1222.0,377.0,39.255892515182495,1222.0
la16,1049.0,1385.0,95.73531603813171,1039.0
la21,1156.0,2261.0,334.3970332145691,1139.0
la22,994.0,1697.0,231.60240006446838,986.0
la23,1040.0,1193.0,158.0952389240265,1040.0
la24,1035.0,1313.0,173.8023076057434,1009.0
la25,1056.0,1997.0,294.0866663455963,1056.0
la26,1270.0,1892.0,328.0787105560303,1268.0
la27,1360.0,2015.0,352.09314465522766,1353.0
la28,1290.0,2036.0,359.51001358032227,1284.0
la29,1269.0,2120.0,386.3474898338318,1263.0
la30,1411.0,2003.0,352.1837213039398,1392.0
la31,1784.0,2342.0,618.7070064544678,1784.0
la32,1850.0,1817.0,471.255362033844,1850.0
la33,1719.0,1838.0,455.8050289154053,1719.0
la34,1722.0,2204.0,577.181497335434,1721.0
la35,1897.0,1226.0,293.0523421764374,1888.0
la36,1389.0,1730.0,308.16056871414185,1378.0
la37,1507.0,2429.0,475.1403350830078,1482.0
la38,1358.0,1595.0,291.39096999168396,1336.0
la39,1393.0,1676.0,302.6872842311859,1359.0
la40,1360.0,1664.0,300.4250159263611,1337.0
ta21,1837.0,3245.0,1033.7461926937103,1837.0
ta22,1790.0,2480.0,762.696944475174,1790.0
ta31,1948.0,2786.0,1008.8913824558258,1947.0
ta32,2028.0,2504.0,894.2834498882294,2010.0
ta41,2349.0,3512.0,1713.4897181987762,2346.0
ta42,2225.0,2378.0,1114.3578562736511,2189.0
ta51,2983.0,4706.0,3359.98459148407,2983.0
ta52,59.0,230.0,9.34341812133789,59.0
ta61,59.0,503.0,20.203079223632812,59.0
ta62,59.0,653.0,25.264930725097656,59.0
ta71,59.0,473.0,18.45234489440918,59.0
ta72,59.0,422.0,16.4963481426239,59.0
