,episode,make_span,reward,min make span
0,0.0,770.0,-104.60000000000001,770.0
1,0.0,792.0,-112.85000000000001,770.0
2,0.0,815.0,-121.47500000000005,770.0
3,1.0,771.0,-104.97500000000002,770.0
4,1.0,758.0,-100.10000000000002,758.0
5,1.0,792.0,-112.85000000000002,758.0
6,2.0,776.0,-106.85000000000005,758.0
7,2.0,806.0,-118.10000000000002,758.0
8,2.0,778.0,-107.59999999999995,758.0
9,3.0,763.0,-101.975,758.0
10,3.0,788.0,-111.34999999999998,758.0
11,3.0,783.0,-109.47500000000005,758.0
12,4.0,764.0,-102.35000000000001,758.0
13,4.0,807.0,-118.47500000000002,758.0
14,4.0,777.0,-107.22500000000002,758.0
15,5.0,783.0,-109.47499999999995,758.0
16,5.0,772.0,-105.35000000000001,758.0
17,5.0,780.0,-108.35000000000001,758.0
18,6.0,758.0,-100.10000000000001,758.0
19,6.0,772.0,-105.35000000000002,758.0
20,6.0,775.0,-106.47499999999998,758.0
21,7.0,769.0,-104.225,758.0
22,7.0,781.0,-108.72499999999997,758.0
23,7.0,751.0,-97.475,751.0
24,8.0,809.0,-119.22500000000005,751.0
25,8.0,754.0,-98.60000000000004,751.0
26,8.0,747.0,-95.97500000000007,747.0
27,9.0,790.0,-112.09999999999998,747.0
28,9.0,777.0,-107.225,747.0
29,9.0,801.0,-116.22499999999997,747.0
30,10.0,780.0,-108.35,747.0
31,10.0,768.0,-103.85,747.0
32,10.0,785.0,-110.22500000000002,747.0
33,11.0,756.0,-99.34999999999998,747.0
34,11.0,777.0,-107.22499999999998,747.0
35,11.0,779.0,-107.97500000000001,747.0
36,12.0,793.0,-113.22500000000004,747.0
37,12.0,784.0,-109.84999999999997,747.0
38,12.0,828.0,-126.35000000000004,747.0
39,13.0,776.0,-106.85000000000004,747.0
40,13.0,772.0,-105.35000000000001,747.0
41,13.0,791.0,-112.47500000000002,747.0
42,14.0,783.0,-109.47500000000002,747.0
43,14.0,767.0,-103.475,747.0
44,14.0,789.0,-111.72500000000001,747.0
45,15.0,749.0,-96.72500000000002,747.0
46,15.0,783.0,-109.47500000000005,747.0
47,15.0,790.0,-112.09999999999997,747.0
48,16.0,760.0,-100.85,747.0
49,16.0,748.0,-96.34999999999998,747.0
50,16.0,786.0,-110.59999999999997,747.0
51,17.0,777.0,-107.22499999999998,747.0
52,17.0,831.0,-127.4750000000001,747.0
53,17.0,768.0,-103.84999999999995,747.0
54,18.0,756.0,-99.35000000000014,747.0
55,18.0,767.0,-103.47500000000002,747.0
56,18.0,784.0,-109.85000000000001,747.0
57,19.0,773.0,-105.725,747.0
58,19.0,794.0,-113.59999999999997,747.0
59,19.0,777.0,-107.22500000000004,747.0
60,20.0,780.0,-108.35000000000002,747.0
61,20.0,750.0,-97.10000000000001,747.0
62,20.0,771.0,-104.97500000000008,747.0
63,21.0,821.0,-123.72500000000004,747.0
64,21.0,769.0,-104.22499999999992,747.0
65,21.0,791.0,-112.475,747.0
66,22.0,797.0,-114.72500000000001,747.0
67,22.0,776.0,-106.84999999999998,747.0
68,22.0,780.0,-108.35000000000002,747.0
69,23.0,775.0,-106.47500000000008,747.0
70,23.0,793.0,-113.22499999999997,747.0
71,23.0,739.0,-92.97500000000005,739.0
72,24.0,777.0,-107.22500000000004,739.0
73,24.0,789.0,-111.725,739.0
74,24.0,755.0,-98.97500000000005,739.0
75,25.0,748.0,-96.34999999999998,739.0
76,25.0,785.0,-110.22499999999995,739.0
77,25.0,779.0,-107.97500000000007,739.0
78,26.0,769.0,-104.225,739.0
79,26.0,759.0,-100.47500000000002,739.0
80,26.0,787.0,-110.97500000000002,739.0
81,27.0,772.0,-105.34999999999998,739.0
82,27.0,774.0,-106.10000000000001,739.0
83,27.0,765.0,-102.72499999999998,739.0
84,28.0,747.0,-95.97499999999998,739.0
85,28.0,773.0,-105.72500000000007,739.0
86,28.0,783.0,-109.47500000000004,739.0
87,29.0,813.0,-120.7250000000001,739.0
88,29.0,766.0,-103.09999999999994,739.0
89,29.0,764.0,-102.35000000000002,739.0
90,30.0,751.0,-97.47499999999998,739.0
91,30.0,791.0,-112.47499999999998,739.0
92,30.0,779.0,-107.97500000000002,739.0
93,31.0,828.0,-126.35,739.0
94,31.0,770.0,-104.60000000000001,739.0
95,31.0,745.0,-95.225,739.0
96,32.0,793.0,-113.225,739.0
97,32.0,800.0,-115.85,739.0
98,32.0,762.0,-101.60000000000002,739.0
99,33.0,759.0,-100.47500000000007,739.0
100,33.0,770.0,-104.60000000000001,739.0
101,33.0,783.0,-109.47500000000004,739.0
102,34.0,751.0,-97.47500000000008,739.0
103,34.0,746.0,-95.60000000000001,739.0
104,34.0,751.0,-97.47499999999998,739.0
105,35.0,736.0,-91.85000000000001,736.0
106,35.0,771.0,-104.97499999999997,736.0
107,35.0,758.0,-100.10000000000005,736.0
108,36.0,766.0,-103.09999999999998,736.0
109,36.0,774.0,-106.09999999999998,736.0
110,36.0,773.0,-105.72500000000007,736.0
111,37.0,795.0,-113.97499999999998,736.0
112,37.0,739.0,-92.97499999999994,736.0
113,37.0,779.0,-107.97500000000001,736.0
114,38.0,745.0,-95.22500000000001,736.0
115,38.0,753.0,-98.22500000000004,736.0
116,38.0,757.0,-99.72500000000001,736.0
117,39.0,753.0,-98.22500000000001,736.0
118,39.0,773.0,-105.725,736.0
119,39.0,781.0,-108.72499999999995,736.0
120,40.0,775.0,-106.47499999999998,736.0
121,40.0,766.0,-103.1,736.0
122,40.0,744.0,-94.85,736.0
123,41.0,777.0,-107.22499999999997,736.0
124,41.0,763.0,-101.97500000000001,736.0
125,41.0,758.0,-100.10000000000002,736.0
126,42.0,761.0,-101.22500000000002,736.0
127,42.0,752.0,-97.85000000000002,736.0
128,42.0,764.0,-102.34999999999998,736.0
129,43.0,746.0,-95.60000000000001,736.0
130,43.0,764.0,-102.35,736.0
131,43.0,778.0,-107.60000000000004,736.0
132,44.0,763.0,-101.975,736.0
133,44.0,743.0,-94.47499999999998,736.0
134,44.0,769.0,-104.22500000000004,736.0
135,45.0,773.0,-105.72500000000004,736.0
136,45.0,744.0,-94.85000000000007,736.0
137,45.0,785.0,-110.22499999999998,736.0
138,46.0,755.0,-98.97500000000002,736.0
139,46.0,762.0,-101.59999999999997,736.0
140,46.0,765.0,-102.72500000000002,736.0
141,47.0,797.0,-114.72500000000001,736.0
142,47.0,732.0,-90.35000000000001,732.0
143,47.0,747.0,-95.97500000000002,732.0
144,48.0,762.0,-101.59999999999998,732.0
145,48.0,730.0,-89.60000000000005,730.0
146,48.0,741.0,-93.72499999999997,730.0
147,49.0,776.0,-106.85,730.0
148,49.0,742.0,-94.09999999999998,730.0
149,49.0,745.0,-95.22499999999998,730.0
150,50.0,739.0,-92.975,730.0
151,50.0,740.0,-93.35000000000001,730.0
152,50.0,761.0,-101.22500000000002,730.0
153,51.0,785.0,-110.22499999999992,730.0
154,51.0,740.0,-93.35000000000001,730.0
155,51.0,780.0,-108.35,730.0
156,52.0,739.0,-92.97500000000004,730.0
157,52.0,738.0,-92.60000000000001,730.0
158,52.0,755.0,-98.975,730.0
159,53.0,753.0,-98.225,730.0
160,53.0,742.0,-94.09999999999995,730.0
161,53.0,752.0,-97.85000000000007,730.0
162,54.0,760.0,-100.85000000000001,730.0
163,54.0,743.0,-94.47499999999998,730.0
164,54.0,757.0,-99.72500000000002,730.0
165,55.0,746.0,-95.6,730.0
166,55.0,755.0,-98.97500000000001,730.0
167,55.0,737.0,-92.225,730.0
168,56.0,747.0,-95.97500000000004,730.0
169,56.0,734.0,-91.10000000000005,730.0
170,56.0,762.0,-101.6000000000001,730.0
171,57.0,743.0,-94.47499999999998,730.0
172,57.0,752.0,-97.84999999999998,730.0
173,57.0,749.0,-96.72499999999995,730.0
174,58.0,774.0,-106.10000000000002,730.0
175,58.0,767.0,-103.47499999999997,730.0
176,58.0,755.0,-98.97499999999998,730.0
177,59.0,762.0,-101.59999999999998,730.0
178,59.0,766.0,-103.10000000000001,730.0
179,59.0,734.0,-91.10000000000005,730.0
180,60.0,749.0,-96.72500000000002,730.0
181,60.0,762.0,-101.60000000000005,730.0
182,60.0,750.0,-97.1,730.0
183,61.0,729.0,-89.22500000000004,729.0
184,61.0,756.0,-99.35000000000007,729.0
185,61.0,732.0,-90.35,729.0
186,62.0,738.0,-92.59999999999997,729.0
187,62.0,731.0,-89.97500000000002,729.0
188,62.0,730.0,-89.60000000000002,729.0
189,63.0,770.0,-104.60000000000004,729.0
190,63.0,767.0,-103.475,729.0
191,63.0,763.0,-101.97500000000001,729.0
192,64.0,762.0,-101.60000000000002,729.0
193,64.0,730.0,-89.60000000000004,729.0
194,64.0,757.0,-99.72500000000004,729.0
195,65.0,756.0,-99.35000000000001,729.0
196,65.0,728.0,-88.85000000000004,728.0
197,65.0,741.0,-93.72500000000005,728.0
198,66.0,753.0,-98.22500000000001,728.0
199,66.0,746.0,-95.60000000000001,728.0
200,66.0,749.0,-96.72500000000002,728.0
201,67.0,738.0,-92.60000000000002,728.0
202,67.0,768.0,-103.85000000000001,728.0
203,67.0,753.0,-98.225,728.0
204,68.0,752.0,-97.84999999999998,728.0
205,68.0,746.0,-95.59999999999998,728.0
206,68.0,741.0,-93.72499999999997,728.0
207,69.0,752.0,-97.85000000000005,728.0
208,69.0,758.0,-100.10000000000001,728.0
209,69.0,737.0,-92.22500000000004,728.0
210,70.0,756.0,-99.35000000000005,728.0
211,70.0,784.0,-109.85000000000004,728.0
212,70.0,766.0,-103.10000000000001,728.0
213,71.0,756.0,-99.35000000000001,728.0
214,71.0,755.0,-98.975,728.0
215,71.0,738.0,-92.60000000000002,728.0
216,72.0,760.0,-100.84999999999998,728.0
217,72.0,758.0,-100.1,728.0
218,72.0,744.0,-94.85000000000004,728.0
219,73.0,753.0,-98.22500000000001,728.0
220,73.0,725.0,-87.725,725.0
221,73.0,768.0,-103.85000000000001,725.0
222,74.0,774.0,-106.10000000000005,725.0
223,74.0,774.0,-106.1,725.0
224,74.0,747.0,-95.97500000000004,725.0
225,75.0,750.0,-97.10000000000002,725.0
226,75.0,747.0,-95.97500000000002,725.0
227,75.0,740.0,-93.35000000000005,725.0
228,76.0,765.0,-102.72499999999998,725.0
229,76.0,791.0,-112.47500000000001,725.0
230,76.0,748.0,-96.35000000000002,725.0
231,77.0,744.0,-94.84999999999997,725.0
