,episode,make_span,reward,min make span
0,0.0,5502.0,-128.03030303030386,5502.0
1,0.0,5591.0,-146.01010101010195,5502.0
2,0.0,5562.0,-140.15151515151604,5502.0
3,1.0,5567.0,-141.16161616161705,5502.0
4,1.0,5536.0,-134.89898989899064,5502.0
5,1.0,5500.0,-127.62626262626333,5500.0
6,2.0,5619.0,-151.6666666666677,5500.0
7,2.0,5575.0,-142.77777777777874,5500.0
8,2.0,5641.0,-156.11111111111208,5500.0
9,3.0,5497.0,-127.02020202020273,5497.0
10,3.0,5457.0,-118.93939393939478,5457.0
11,3.0,5509.0,-129.44444444444525,5457.0
12,4.0,5569.0,-141.56565656565743,5457.0
13,4.0,5479.0,-123.3838383838392,5457.0
14,4.0,5476.0,-122.77777777777855,5457.0
15,5.0,5452.0,-117.92929292929378,5452.0
16,5.0,5558.0,-139.34343434343532,5452.0
17,5.0,5541.0,-135.90909090909162,5452.0
18,6.0,5456.0,-118.73737373737467,5452.0
19,6.0,5487.0,-125.00000000000095,5452.0
20,6.0,5532.0,-134.09090909091015,5452.0
21,7.0,5526.0,-132.87878787878884,5452.0
22,7.0,5505.0,-128.63636363636462,5452.0
23,7.0,5518.0,-131.26262626262718,5452.0
24,8.0,5424.0,-112.27272727272802,5424.0
25,8.0,5452.0,-117.92929292929367,5424.0
26,8.0,5446.0,-116.71717171717258,5424.0
27,9.0,5514.0,-130.45454545454632,5424.0
28,9.0,5557.0,-139.14141414141503,5424.0
29,9.0,5470.0,-121.56565656565748,5424.0
30,10.0,5551.0,-137.9292929292938,5424.0
31,10.0,5497.0,-127.02020202020276,5424.0
32,10.0,5467.0,-120.95959595959675,5424.0
33,11.0,5491.0,-125.80808080808178,5424.0
34,11.0,5506.0,-128.83838383838454,5424.0
35,11.0,5634.0,-154.69696969697074,5424.0
36,12.0,5586.0,-145.0000000000008,5424.0
37,12.0,5370.0,-101.36363636363703,5370.0
38,12.0,5538.0,-135.30303030303142,5370.0
39,13.0,5580.0,-143.7878787878795,5370.0
40,13.0,5463.0,-120.15151515151598,5370.0
41,13.0,5521.0,-131.86868686868786,5370.0
42,14.0,5495.0,-126.61616161616253,5370.0
43,14.0,5505.0,-128.63636363636462,5370.0
44,14.0,5485.0,-124.59595959596038,5370.0
45,15.0,5468.0,-121.1616161616169,5370.0
46,15.0,5496.0,-126.81818181818262,5370.0
47,15.0,5550.0,-137.72727272727346,5370.0
48,16.0,5576.0,-142.97979797979897,5370.0
49,16.0,5512.0,-130.0505050505059,5370.0
50,16.0,5405.0,-108.43434343434417,5370.0
51,17.0,5486.0,-124.79797979798072,5370.0
52,17.0,5475.0,-122.57575757575833,5370.0
53,17.0,5475.0,-122.57575757575846,5370.0
54,18.0,5608.0,-149.44444444444537,5370.0
55,18.0,5520.0,-131.6666666666676,5370.0
56,18.0,5511.0,-129.84848484848567,5370.0
57,19.0,5509.0,-129.4444444444452,5370.0
58,19.0,5432.0,-113.88888888888957,5370.0
59,19.0,5463.0,-120.15151515151582,5370.0
60,20.0,5452.0,-117.92929292929368,5370.0
61,20.0,5459.0,-119.34343434343516,5370.0
62,20.0,5440.0,-115.50505050505137,5370.0
63,21.0,5552.0,-138.1313131313141,5370.0
64,21.0,5483.0,-124.19191919192008,5370.0
65,21.0,5586.0,-145.00000000000094,5370.0
66,22.0,5496.0,-126.81818181818268,5370.0
67,22.0,5440.0,-115.50505050505143,5370.0
68,22.0,5420.0,-111.46464646464712,5370.0
69,23.0,5495.0,-126.61616161616247,5370.0
70,23.0,5443.0,-116.11111111111202,5370.0
71,23.0,5550.0,-137.72727272727352,5370.0
72,24.0,5525.0,-132.67676767676852,5370.0
73,24.0,5479.0,-123.3838383838392,5370.0
74,24.0,5437.0,-114.89898989899073,5370.0
75,25.0,5480.0,-123.58585858585944,5370.0
76,25.0,5480.0,-123.58585858585917,5370.0
77,25.0,5466.0,-120.75757575757653,5370.0
78,26.0,5649.0,-157.72727272727377,5370.0
79,26.0,5476.0,-122.77777777777852,5370.0
80,26.0,5406.0,-108.63636363636428,5370.0
81,27.0,5394.0,-106.21212121212189,5370.0
82,27.0,5528.0,-133.2828282828291,5370.0
83,27.0,5571.0,-141.96969696969788,5370.0
84,28.0,5436.0,-114.69696969697044,5370.0
85,28.0,5484.0,-124.39393939394023,5370.0
86,28.0,5568.0,-141.36363636363728,5370.0
87,29.0,5541.0,-135.90909090909165,5370.0
88,29.0,5524.0,-132.4747474747483,5370.0
89,29.0,5464.0,-120.35353535353627,5370.0
90,30.0,5536.0,-134.89898989899086,5370.0
91,30.0,5408.0,-109.04040404040467,5370.0
92,30.0,5562.0,-140.15151515151607,5370.0
93,31.0,5475.0,-122.57575757575847,5370.0
94,31.0,5506.0,-128.83838383838466,5370.0
95,31.0,5447.0,-116.91919191919283,5370.0
96,32.0,5539.0,-135.5050505050514,5370.0
97,32.0,5419.0,-111.26262626262698,5370.0
98,32.0,5585.0,-144.79797979798093,5370.0
99,33.0,5456.0,-118.73737373737447,5370.0
100,33.0,5487.0,-125.00000000000078,5370.0
101,33.0,5496.0,-126.81818181818261,5370.0
102,34.0,5489.0,-125.40404040404117,5370.0
103,34.0,5469.0,-121.36363636363701,5370.0
104,34.0,5616.0,-151.06060606060691,5370.0
105,35.0,5441.0,-115.70707070707164,5370.0
106,35.0,5634.0,-154.6969696969706,5370.0
107,35.0,5460.0,-119.54545454545537,5370.0
108,36.0,5559.0,-139.5454545454555,5370.0
109,36.0,5597.0,-147.22222222222302,5370.0
110,36.0,5497.0,-127.0202020202028,5370.0
111,37.0,5594.0,-146.61616161616263,5370.0
112,37.0,5457.0,-118.93939393939489,5370.0
113,37.0,5541.0,-135.90909090909187,5370.0
114,38.0,5494.0,-126.41414141414225,5370.0
115,38.0,5453.0,-118.13131313131383,5370.0
116,38.0,5483.0,-124.1919191919199,5370.0
117,39.0,5439.0,-115.30303030303119,5370.0
118,39.0,5513.0,-130.25252525252606,5370.0
119,39.0,5577.0,-143.18181818181895,5370.0
120,40.0,5501.0,-127.82828282828355,5370.0
121,40.0,5525.0,-132.67676767676843,5370.0
122,40.0,5486.0,-124.79797979798063,5370.0
123,41.0,5535.0,-134.69696969697043,5370.0
124,41.0,5516.0,-130.8585858585867,5370.0
125,41.0,5441.0,-115.70707070707147,5370.0
126,42.0,5481.0,-123.78787878787966,5370.0
127,42.0,5487.0,-125.00000000000085,5370.0
128,42.0,5519.0,-131.46464646464733,5370.0
129,43.0,5448.0,-117.1212121212128,5370.0
130,43.0,5478.0,-123.18181818181884,5370.0
131,43.0,5483.0,-124.19191919192005,5370.0
132,44.0,5518.0,-131.26262626262687,5370.0
133,44.0,5519.0,-131.46464646464733,5370.0
134,44.0,5477.0,-122.9797979797987,5370.0
135,45.0,5534.0,-134.4949494949502,5370.0
136,45.0,5563.0,-140.35353535353613,5370.0
137,45.0,5449.0,-117.3232323232332,5370.0
138,46.0,5449.0,-117.32323232323297,5370.0
139,46.0,5562.0,-140.151515151516,5370.0
140,46.0,5371.0,-101.56565656565726,5370.0
141,47.0,5603.0,-148.43434343434427,5370.0
142,47.0,5576.0,-142.9797979797989,5370.0
143,47.0,5496.0,-126.8181818181826,5370.0
144,48.0,5607.0,-149.24242424242493,5370.0
145,48.0,5470.0,-121.56565656565738,5370.0
146,48.0,5571.0,-141.96969696969776,5370.0
147,49.0,5548.0,-137.3232323232331,5370.0
148,49.0,5509.0,-129.4444444444453,5370.0
149,49.0,5436.0,-114.69696969697054,5370.0
150,50.0,5489.0,-125.4040404040412,5370.0
151,50.0,5377.0,-102.77777777777843,5370.0
152,50.0,5514.0,-130.45454545454638,5370.0
153,51.0,5480.0,-123.58585858585934,5370.0
154,51.0,5434.0,-114.29292929292995,5370.0
155,51.0,5517.0,-131.0606060606069,5370.0
156,52.0,5459.0,-119.34343434343515,5370.0
157,52.0,5493.0,-126.21212121212193,5370.0
158,52.0,5485.0,-124.59595959596044,5370.0
159,53.0,5480.0,-123.58585858585933,5370.0
160,53.0,5545.0,-136.71717171717245,5370.0
161,53.0,5513.0,-130.25252525252606,5370.0
162,54.0,5479.0,-123.3838383838391,5370.0
163,54.0,5491.0,-125.80808080808144,5370.0
164,54.0,5545.0,-136.71717171717245,5370.0
165,55.0,5467.0,-120.95959595959692,5370.0
166,55.0,5440.0,-115.50505050505137,5370.0
167,55.0,5473.0,-122.1717171717179,5370.0
168,56.0,5431.0,-113.6868686868696,5370.0
169,56.0,5423.0,-112.07070707070785,5370.0
170,56.0,5448.0,-117.12121212121282,5370.0
171,57.0,5474.0,-122.37373737373815,5370.0
172,57.0,5444.0,-116.31313131313222,5370.0
173,57.0,5575.0,-142.77777777777868,5370.0
174,58.0,5398.0,-107.02020202020282,5370.0
175,58.0,5476.0,-122.77777777777857,5370.0
176,58.0,5466.0,-120.75757575757672,5370.0
177,59.0,5463.0,-120.15151515151595,5370.0
178,59.0,5475.0,-122.57575757575832,5370.0
179,59.0,5452.0,-117.92929292929367,5370.0
180,60.0,5537.0,-135.101010101011,5370.0
181,60.0,5614.0,-150.65656565656664,5370.0
182,60.0,5510.0,-129.64646464646552,5370.0
183,61.0,5526.0,-132.87878787878876,5370.0
184,61.0,5556.0,-138.9393939393949,5370.0
185,61.0,5449.0,-117.32323232323297,5370.0
186,62.0,5452.0,-117.92929292929374,5370.0
187,62.0,5509.0,-129.44444444444514,5370.0
188,62.0,5442.0,-115.90909090909162,5370.0
189,63.0,5544.0,-136.5151515151524,5370.0
190,63.0,5597.0,-147.22222222222314,5370.0
191,63.0,5454.0,-118.33333333333405,5370.0
192,64.0,5493.0,-126.21212121212193,5370.0
193,64.0,5486.0,-124.79797979798049,5370.0
194,64.0,5377.0,-102.77777777777844,5370.0
195,65.0,5556.0,-138.93939393939468,5370.0
196,65.0,5470.0,-121.56565656565724,5370.0
197,65.0,5435.0,-114.49494949495015,5370.0
198,66.0,5428.0,-113.08080808080874,5370.0
199,66.0,5595.0,-146.81818181818272,5370.0
200,66.0,5509.0,-129.44444444444517,5370.0
201,67.0,5457.0,-118.9393939393947,5370.0
202,67.0,5500.0,-127.62626262626338,5370.0
203,67.0,5666.0,-161.16161616161708,5370.0
204,68.0,5526.0,-132.8787878787887,5370.0
205,68.0,5604.0,-148.63636363636434,5370.0
206,68.0,5526.0,-132.87878787878878,5370.0
207,69.0,5485.0,-124.59595959596042,5370.0
208,69.0,5538.0,-135.3030303030312,5370.0
209,69.0,5551.0,-137.92929292929372,5370.0
210,70.0,5528.0,-133.28282828282929,5370.0
211,70.0,5531.0,-133.88888888888965,5370.0
212,70.0,5568.0,-141.36363636363728,5370.0
213,71.0,5545.0,-136.71717171717253,5370.0
214,71.0,5484.0,-124.39393939394023,5370.0
215,71.0,5442.0,-115.90909090909162,5370.0
216,72.0,5471.0,-121.76767676767756,5370.0
217,72.0,5528.0,-133.2828282828292,5370.0
218,72.0,5459.0,-119.34343434343512,5370.0
219,73.0,5517.0,-131.06060606060691,5370.0
220,73.0,5431.0,-113.6868686868694,5370.0
221,73.0,5448.0,-117.12121212121289,5370.0
222,74.0,5484.0,-124.39393939394013,5370.0
223,74.0,5611.0,-150.05050505050602,5370.0
224,74.0,5489.0,-125.40404040404114,5370.0
225,75.0,5520.0,-131.66666666666748,5370.0
226,75.0,5471.0,-121.76767676767761,5370.0
227,75.0,5466.0,-120.75757575757653,5370.0
228,76.0,5568.0,-141.36363636363717,5370.0
229,76.0,5579.0,-143.58585858585934,5370.0
230,76.0,5517.0,-131.06060606060686,5370.0
231,77.0,5423.0,-112.07070707070785,5370.0
232,77.0,5443.0,-116.11111111111188,5370.0
233,77.0,5512.0,-130.05050505050596,5370.0
234,78.0,5572.0,-142.17171717171794,5370.0
235,78.0,5514.0,-130.45454545454635,5370.0
236,78.0,5546.0,-136.91919191919277,5370.0
237,79.0,5613.0,-150.45454545454632,5370.0
238,79.0,5466.0,-120.75757575757663,5370.0
239,79.0,5480.0,-123.58585858585943,5370.0
240,80.0,5456.0,-118.73737373737451,5370.0
241,80.0,5593.0,-146.41414141414214,5370.0
242,80.0,5477.0,-122.97979797979875,5370.0
243,81.0,5553.0,-138.33333333333417,5370.0
244,81.0,5514.0,-130.45454545454623,5370.0
245,81.0,5459.0,-119.343434343435,5370.0
246,82.0,5564.0,-140.55555555555648,5370.0
247,82.0,5507.0,-129.04040404040492,5370.0
248,82.0,5557.0,-139.141414141415,5370.0
249,83.0,5432.0,-113.88888888888975,5370.0
250,83.0,5448.0,-117.12121212121276,5370.0
251,83.0,5485.0,-124.59595959596034,5370.0
252,84.0,5425.0,-112.4747474747482,5370.0
253,84.0,5488.0,-125.20202020202102,5370.0
254,84.0,5462.0,-119.94949494949574,5370.0
255,85.0,5572.0,-142.17171717171814,5370.0
256,85.0,5430.0,-113.4848484848493,5370.0
257,85.0,5453.0,-118.13131313131397,5370.0
258,86.0,5470.0,-121.56565656565732,5370.0
259,86.0,5568.0,-141.3636363636371,5370.0
260,86.0,5503.0,-128.23232323232395,5370.0
261,87.0,5466.0,-120.7575757575765,5370.0
262,87.0,5433.0,-114.09090909090986,5370.0
263,87.0,5482.0,-123.98989898989979,5370.0
264,88.0,5452.0,-117.92929292929368,5370.0
265,88.0,5519.0,-131.46464646464722,5370.0
266,88.0,5460.0,-119.54545454545531,5370.0
267,89.0,5512.0,-130.0505050505058,5370.0
268,89.0,5449.0,-117.3232323232331,5370.0
269,89.0,5509.0,-129.4444444444452,5370.0
270,90.0,5504.0,-128.43434343434419,5370.0
271,90.0,5367.0,-100.75757575757655,5367.0
272,90.0,5490.0,-125.60606060606135,5367.0
273,91.0,5410.0,-109.44444444444522,5367.0
274,91.0,5403.0,-108.03030303030371,5367.0
275,91.0,5393.0,-106.0101010101017,5367.0
276,92.0,5406.0,-108.63636363636445,5367.0
277,92.0,5421.0,-111.66666666666731,5367.0
278,92.0,5477.0,-122.97979797979865,5367.0
279,93.0,5394.0,-106.21212121212191,5367.0
280,93.0,5542.0,-136.11111111111185,5367.0
281,93.0,5478.0,-123.18181818181893,5367.0
282,94.0,5434.0,-114.2929292929301,5367.0
283,94.0,5448.0,-117.12121212121295,5367.0
284,94.0,5453.0,-118.13131313131393,5367.0
285,95.0,5428.0,-113.08080808080894,5367.0
286,95.0,5375.0,-102.37373737373802,5367.0
287,95.0,5394.0,-106.21212121212193,5367.0
288,96.0,5381.0,-103.58585858585916,5367.0
289,96.0,5426.0,-112.6767676767684,5367.0
290,96.0,5420.0,-111.46464646464717,5367.0
291,97.0,5415.0,-110.45454545454626,5367.0
292,97.0,5488.0,-125.20202020202102,5367.0
293,97.0,5531.0,-133.88888888888977,5367.0
294,98.0,5441.0,-115.7070707070714,5367.0
295,98.0,5416.0,-110.65656565656656,5367.0
296,98.0,5432.0,-113.88888888888957,5367.0
297,99.0,5440.0,-115.5050505050514,5367.0
298,99.0,5451.0,-117.72727272727363,5367.0
299,99.0,5442.0,-115.9090909090917,5367.0
300,100.0,5402.0,-107.82828282828362,5367.0
301,100.0,5444.0,-116.31313131313209,5367.0
302,100.0,5483.0,-124.19191919192009,5367.0
303,101.0,5447.0,-116.91919191919263,5367.0
304,101.0,5446.0,-116.71717171717235,5367.0
305,101.0,5439.0,-115.3030303030311,5367.0
306,102.0,5418.0,-111.06060606060682,5367.0
307,102.0,5508.0,-129.24242424242513,5367.0
308,102.0,5474.0,-122.37373737373814,5367.0
309,103.0,5449.0,-117.32323232323307,5367.0
310,103.0,5474.0,-122.3737373737382,5367.0
311,103.0,5428.0,-113.0808080808087,5367.0
312,104.0,5468.0,-121.16161616161692,5367.0
313,104.0,5473.0,-122.17171717171802,5367.0
314,104.0,5534.0,-134.49494949495025,5367.0
315,105.0,5352.0,-97.72727272727325,5352.0
316,105.0,5474.0,-122.37373737373805,5352.0
317,105.0,5459.0,-119.34343434343509,5352.0
318,106.0,5450.0,-117.5252525252532,5352.0
319,106.0,5441.0,-115.70707070707155,5352.0
320,106.0,5473.0,-122.1717171717178,5352.0
321,107.0,5479.0,-123.38383838383913,5352.0
322,107.0,5458.0,-119.1414141414148,5352.0
323,107.0,5517.0,-131.06060606060683,5352.0
324,108.0,5492.0,-126.01010101010175,5352.0
325,108.0,5444.0,-116.313131313132,5352.0
326,108.0,5437.0,-114.89898989899065,5352.0
327,109.0,5497.0,-127.02020202020282,5352.0
328,109.0,5436.0,-114.69696969697048,5352.0
329,109.0,5388.0,-105.00000000000051,5352.0
330,110.0,5428.0,-113.08080808080871,5352.0
331,110.0,5419.0,-111.26262626262685,5352.0
332,110.0,5501.0,-127.82828282828372,5352.0
333,111.0,5477.0,-122.97979797979873,5352.0
334,111.0,5347.0,-96.71717171717246,5347.0
335,111.0,5552.0,-138.13131313131387,5347.0
336,112.0,5488.0,-125.20202020202096,5347.0
337,112.0,5529.0,-133.4848484848492,5347.0
338,112.0,5435.0,-114.4949494949503,5347.0
339,113.0,5491.0,-125.80808080808151,5347.0
340,113.0,5377.0,-102.77777777777843,5347.0
341,113.0,5467.0,-120.95959595959667,5347.0
342,114.0,5414.0,-110.25252525252586,5347.0
343,114.0,5395.0,-106.41414141414215,5347.0
344,114.0,5415.0,-110.45454545454622,5347.0
345,115.0,5523.0,-132.27272727272802,5347.0
346,115.0,5416.0,-110.65656565656622,5347.0
347,115.0,5465.0,-120.55555555555608,5347.0
348,116.0,5431.0,-113.68686868686947,5347.0
349,116.0,5448.0,-117.12121212121286,5347.0
350,116.0,5473.0,-122.17171717171796,5347.0
351,117.0,5388.0,-105.00000000000068,5347.0
352,117.0,5423.0,-112.07070707070787,5347.0
353,117.0,5501.0,-127.82828282828359,5347.0
354,118.0,5465.0,-120.55555555555624,5347.0
355,118.0,5364.0,-100.15151515151584,5347.0
356,118.0,5444.0,-116.31313131313202,5347.0
357,119.0,5389.0,-105.20202020202092,5347.0
358,119.0,5508.0,-129.2424242424249,5347.0
359,119.0,5416.0,-110.65656565656624,5347.0
360,120.0,5480.0,-123.58585858585933,5347.0
361,120.0,5385.0,-104.39393939393995,5347.0
362,120.0,5353.0,-97.92929292929361,5347.0
363,121.0,5461.0,-119.74747474747547,5347.0
364,121.0,5465.0,-120.55555555555625,5347.0
365,121.0,5439.0,-115.30303030303097,5347.0
366,122.0,5459.0,-119.34343434343502,5347.0
367,122.0,5527.0,-133.08080808080885,5347.0
368,122.0,5503.0,-128.23232323232392,5347.0
369,123.0,5368.0,-100.95959595959658,5347.0
370,123.0,5464.0,-120.35353535353612,5347.0
371,123.0,5391.0,-105.60606060606128,5347.0
372,124.0,5491.0,-125.8080808080815,5347.0
373,124.0,5389.0,-105.20202020202079,5347.0
374,124.0,5462.0,-119.94949494949563,5347.0
375,125.0,5405.0,-108.43434343434406,5347.0
376,125.0,5492.0,-126.01010101010175,5347.0
377,125.0,5432.0,-113.88888888888951,5347.0
378,126.0,5386.0,-104.59595959596008,5347.0
379,126.0,5471.0,-121.7676767676775,5347.0
380,126.0,5351.0,-97.52525252525305,5347.0
381,127.0,5388.0,-105.00000000000068,5347.0
382,127.0,5413.0,-110.05050505050572,5347.0
383,127.0,5347.0,-96.71717171717242,5347.0
384,128.0,5373.0,-101.96969696969758,5347.0
385,128.0,5389.0,-105.2020202020209,5347.0
386,128.0,5371.0,-101.56565656565714,5347.0
387,129.0,5396.0,-106.61616161616213,5347.0
388,129.0,5359.0,-99.14141414141467,5347.0
389,129.0,5466.0,-120.75757575757636,5347.0
390,130.0,5368.0,-100.95959595959658,5347.0
391,130.0,5454.0,-118.33333333333401,5347.0
392,130.0,5513.0,-130.25252525252588,5347.0
393,131.0,5373.0,-101.9696969696975,5347.0
394,131.0,5373.0,-101.96969696969762,5347.0
395,131.0,5374.0,-102.17171717171769,5347.0
396,132.0,5409.0,-109.24242424242489,5347.0
397,132.0,5432.0,-113.88888888888953,5347.0
398,132.0,5352.0,-97.72727272727329,5347.0
399,133.0,5508.0,-129.2424242424249,5347.0
400,133.0,5378.0,-102.97979797979863,5347.0
401,133.0,5368.0,-100.95959595959654,5347.0
402,134.0,5448.0,-117.12121212121286,5347.0
403,134.0,5396.0,-106.61616161616213,5347.0
404,134.0,5459.0,-119.34343434343505,5347.0
405,135.0,5392.0,-105.80808080808151,5347.0
406,135.0,5304.0,-88.03030303030363,5304.0
407,135.0,5393.0,-106.01010101010155,5304.0
408,136.0,5430.0,-113.4848484848491,5304.0
409,136.0,5368.0,-100.95959595959658,5304.0
410,136.0,5545.0,-136.71717171717245,5304.0
411,137.0,5382.0,-103.78787878787935,5304.0
412,137.0,5462.0,-119.94949494949563,5304.0
413,137.0,5333.0,-93.88888888888941,5304.0
414,138.0,5401.0,-107.62626262626331,5304.0
415,138.0,5435.0,-114.49494949495003,5304.0
416,138.0,5437.0,-114.89898989899065,5304.0
417,139.0,5483.0,-124.19191919191981,5304.0
418,139.0,5418.0,-111.06060606060662,5304.0
419,139.0,5372.0,-101.7676767676773,5304.0
420,140.0,5392.0,-105.80808080808141,5304.0
421,140.0,5433.0,-114.09090909090963,5304.0
422,140.0,5335.0,-94.29292929292994,5304.0
423,141.0,5410.0,-109.44444444444505,5304.0
424,141.0,5382.0,-103.78787878787935,5304.0
425,141.0,5431.0,-113.68686868686925,5304.0
426,142.0,5362.0,-99.74747474747534,5304.0
