,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
mt10c1,1023,1129,1193,1153,1086,1234
mt10cc,1144,1088,1163,1087,1026,1194
mt10x,1060,1114,1164,1163,1090,1258
mt10xx,1060,1114,1169,1163,1090,1216
mt10xxx,1060,1114,1157,1163,1090,1216
mt10xy,1055,1099,1157,1155,1060,1223
mt10xyz,1012,970,1049,1121,952,1053
setb4c9,1149,1128,1270,1054,1074,1194
setb4cc,1130,1094,1290,1106,1074,1207
setb4x,1222,1118,1105,1149,1066,1132
setb4xx,1222,1112,1117,1149,1060,1132
setb4xxx,1222,1112,1151,1149,1060,1132
setb4xy,1024,1118,1147,1149,1066,1111
setb4xyz,1093,1044,1035,1047,1066,1071
seti5c12,1505,1352,1694,1358,1345,1348
seti5cc,1477,1270,1402,1294,1277,1479
seti5x,1484,1433,1643,1366,1385,1562
seti5xx,1659,1433,1462,1366,1385,1562
seti5xxx,1654,1433,1462,1366,1385,1562
seti5xy,1477,1270,1402,1294,1277,1479
seti5xyz,1379,1246,1330,1280,1305,1506
