,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
abz5,1318,1310,1362,1338,1299,1307
abz6,1154,987,1254,1097,989,1045
abz7,876,738,893,704,745,785
abz8,877,732,855,784,798,833
abz9,921,801,843,835,828,817
car1,7251,7897,8240,8033,7816,7506
car2,7329,8547,7819,7819,8156,7819
car3,8026,8898,9500,9756,8322,9710
car4,8845,9446,9390,9604,8770,9660
car5,8175,7952,9691,9206,7605,8627
car6,8837,10047,10228,10228,10941,10228
car7,7420,7352,7690,7690,6944,7690
car8,9666,9010,9769,9156,8752,9884
la01,712,688,957,778,642,782
la02,837,767,838,775,789,775
la03,684,657,729,632,657,697
la04,668,719,784,673,686,680
la05,581,568,606,530,587,524
la06,1226,968,1060,968,926,938
la07,844,968,959,927,870,977
la08,1021,906,966,961,893,935
la09,1028,1035,1068,1005,933,1062
la10,978,937,998,929,937,927
la11,1373,1212,1424,1252,1229,1271
la12,1111,1010,1235,1013,1001,1036
la13,1314,1236,1210,1127,1154,1188
la14,1394,1167,1348,1163,1163,1193
la15,1213,1285,1391,1366,1366,1359
la16,1085,1053,1220,1143,1038,1170
la17,966,781,875,794,813,883
la18,987,916,971,949,902,1049
la19,972,950,1003,1065,963,964
la20,975,947,1191,1172,982,1102
la21,1432,1209,1356,1274,1222,1286
la22,1243,1016,1268,1098,1017,1160
la23,1235,1144,1390,1129,1171,1117
la24,1102,1129,1402,1089,1092,1118
la25,1259,1127,1287,1097,1119,1224
la26,1498,1385,1590,1276,1283,1474
la27,1676,1416,1908,1455,1331,1565
la28,1441,1441,1524,1411,1365,1414
la29,1538,1389,1648,1305,1294,1418
la30,1626,1481,1698,1475,1398,1490
la31,1990,1838,2030,1823,1738,1859
la32,2313,1920,2238,1886,1995,2037
la33,2082,1788,2127,1723,1728,1841
la34,1918,1882,2116,1883,1811,1879
la35,2135,1995,2309,2044,1901,2080
la36,1671,1362,1514,1464,1362,1458
la37,1809,1566,1639,1704,1606,1646
la38,1508,1324,1446,1426,1341,1442
la39,1559,1399,1602,1459,1377,1492
la40,1260,1336,1510,1420,1361,1390
mt06,83,61,64,55,60,55
mt10,1135,985,1198,1049,1034,1081
mt20,1360,1454,1536,1537,1447,1545
orb1,1170,1230,1175,1270,1168,1298
orb10,1122,1183,1253,1321,1093,1273
orb2,1005,1070,1246,1092,1039,1007
orb3,1152,1183,1227,1400,1216,1239
orb4,1301,1181,1247,1319,1150,1339
orb5,1071,1041,1093,1030,955,1211
orb6,1231,1247,1382,1202,1226,1232
orb7,504,480,467,482,474,447
orb8,1077,1107,1157,1239,1030,1277
orb9,1152,1176,1102,1128,1115,1263
