,episode,make_span,reward,min make span
0,0.0,100.0,-88.11111111111111,100.0
1,0.0,98.0,-84.88888888888887,98.0
2,0.0,101.0,-86.44444444444444,98.0
3,1.0,105.0,-93.88888888888889,98.0
4,1.0,104.0,-94.55555555555551,98.0
5,1.0,120.0,-119.22222222222221,98.0
6,2.0,109.0,-103.66666666666664,98.0
7,2.0,95.0,-87.11111111111111,95.0
8,2.0,105.0,-96.55555555555554,95.0
9,3.0,114.0,-106.88888888888891,95.0
10,3.0,126.0,-122.33333333333333,95.0
11,3.0,103.0,-92.11111111111113,95.0
12,4.0,95.0,-84.44444444444444,95.0
13,4.0,106.0,-94.11111111111111,95.0
14,4.0,101.0,-93.00000000000001,95.0
15,5.0,105.0,-98.00000000000001,95.0
16,5.0,100.0,-88.77777777777776,95.0
17,5.0,93.0,-77.44444444444443,93.0
18,6.0,109.0,-105.8888888888889,93.0
19,6.0,102.0,-92.66666666666666,93.0
20,6.0,102.0,-93.66666666666664,93.0
21,7.0,112.0,-109.33333333333333,93.0
22,7.0,107.0,-99.1111111111111,93.0
23,7.0,95.0,-83.33333333333336,93.0
24,8.0,108.0,-98.88888888888887,93.0
25,8.0,114.0,-110.66666666666669,93.0
26,8.0,100.0,-86.55555555555557,93.0
27,9.0,113.0,-107.88888888888887,93.0
28,9.0,103.0,-92.88888888888889,93.0
29,9.0,112.0,-104.22222222222221,93.0
30,10.0,106.0,-96.0,93.0
31,10.0,102.0,-92.77777777777776,93.0
32,10.0,94.0,-80.88888888888894,93.0
33,11.0,98.0,-90.33333333333333,93.0
34,11.0,91.0,-78.55555555555557,91.0
35,11.0,107.0,-99.8888888888889,91.0
36,12.0,97.0,-85.55555555555554,91.0
37,12.0,103.0,-91.55555555555551,91.0
38,12.0,103.0,-92.55555555555557,91.0
39,13.0,112.0,-104.55555555555554,91.0
40,13.0,105.0,-97.77777777777777,91.0
41,13.0,99.0,-88.66666666666666,91.0
42,14.0,106.0,-101.8888888888889,91.0
43,14.0,98.0,-89.44444444444447,91.0
44,14.0,106.0,-99.33333333333331,91.0
45,15.0,112.0,-104.77777777777777,91.0
46,15.0,98.0,-85.99999999999999,91.0
47,15.0,102.0,-91.11111111111111,91.0
48,16.0,103.0,-92.55555555555554,91.0
49,16.0,100.0,-91.88888888888883,91.0
50,16.0,111.0,-106.22222222222223,91.0
51,17.0,100.0,-89.88888888888887,91.0
52,17.0,109.0,-107.33333333333334,91.0
53,17.0,99.0,-87.22222222222226,91.0
54,18.0,111.0,-103.77777777777779,91.0
55,18.0,91.0,-75.55555555555556,91.0
56,18.0,92.0,-82.33333333333334,91.0
57,19.0,100.0,-89.77777777777777,91.0
58,19.0,102.0,-93.66666666666669,91.0
59,19.0,115.0,-112.33333333333331,91.0
60,20.0,108.0,-100.99999999999999,91.0
61,20.0,106.0,-93.88888888888886,91.0
62,20.0,94.0,-81.77777777777774,91.0
63,21.0,106.0,-97.33333333333336,91.0
64,21.0,99.0,-87.66666666666663,91.0
65,21.0,101.0,-88.77777777777777,91.0
66,22.0,107.0,-94.22222222222223,91.0
67,22.0,109.0,-108.44444444444449,91.0
68,22.0,100.0,-89.77777777777777,91.0
69,23.0,107.0,-104.44444444444444,91.0
70,23.0,92.0,-80.55555555555557,91.0
71,23.0,97.0,-89.88888888888891,91.0
72,24.0,108.0,-104.77777777777779,91.0
73,24.0,103.0,-93.88888888888889,91.0
74,24.0,95.0,-88.22222222222219,91.0
75,25.0,103.0,-93.22222222222223,91.0
76,25.0,91.0,-80.55555555555557,91.0
77,25.0,96.0,-86.44444444444444,91.0
78,26.0,102.0,-92.22222222222219,91.0
79,26.0,107.0,-96.44444444444446,91.0
80,26.0,94.0,-81.77777777777777,91.0
81,27.0,106.0,-98.2222222222222,91.0
82,27.0,99.0,-88.11111111111111,91.0
83,27.0,106.0,-98.11111111111113,91.0
84,28.0,104.0,-94.99999999999999,91.0
85,28.0,111.0,-104.99999999999997,91.0
86,28.0,102.0,-92.55555555555554,91.0
87,29.0,100.0,-86.88888888888889,91.0
88,29.0,100.0,-85.66666666666666,91.0
89,29.0,109.0,-102.88888888888886,91.0
90,30.0,101.0,-87.55555555555556,91.0
91,30.0,105.0,-96.77777777777773,91.0
92,30.0,107.0,-98.77777777777777,91.0
93,31.0,104.0,-93.44444444444447,91.0
94,31.0,103.0,-90.6666666666667,91.0
95,31.0,110.0,-101.77777777777774,91.0
