,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,689.0,1139.0,56.0052604675293,666.0
la06,926.0,488.0,31.97650408744812,926.0
la11,1222.0,986.0,81.18194222450256,1222.0
la16,1019.0,1037.0,78.998779296875,1019.0
la21,1153.0,2204.0,252.01418375968933,1143.0
la22,982.0,1574.0,172.12179493904114,975.0
la23,1043.0,1721.0,191.33941197395325,1038.0
la24,1028.0,1793.0,199.84666657447815,1008.0
la25,1077.0,2273.0,263.18032908439636,1077.0
la26,1259.0,2687.0,410.1573326587677,1252.0
la27,1382.0,2573.0,390.3453245162964,1357.0
la28,1297.0,2093.0,307.1557514667511,1290.0
la29,1283.0,2816.0,433.6036641597748,1275.0
la30,1410.0,2495.0,378.5428831577301,1405.0
la31,1784.0,2672.0,607.6582691669464,1784.0
la32,1850.0,2780.0,638.9276623725891,1850.0
la33,1719.0,3710.0,870.9922113418579,1719.0
la34,1731.0,3959.0,929.9375729560852,1721.0
la35,1888.0,3374.0,784.1075150966644,1888.0
la36,1392.0,1862.0,289.14490723609924,1389.0
la37,1509.0,2246.0,358.21920108795166,1506.0
la38,1355.0,2096.0,329.83411407470703,1328.0
la39,1325.0,1652.0,251.82072353363037,1304.0
la40,1355.0,1532.0,228.690500497818,1310.0
ta21,1838.0,2732.0,760.6744928359985,1820.0
ta22,1758.0,2390.0,655.6582872867584,1754.0
ta31,1947.0,4214.0,1436.1937215328217,1931.0
ta32,2042.0,5036.0,1739.9734156131744,2016.0
ta41,2379.0,7076.0,3249.5182230472565,2343.0
ta42,2237.0,4793.0,2171.972151994705,2232.0
ta51,2960.0,5315.0,3600.226288795471,2917.0
ta52,2943.0,5363.0,3600.2745893001556,2910.0
ta61,3286.0,4055.0,3601.520654439926,3128.0
ta62,3139.0,4010.0,3601.124495267868,3137.0
ta71,5804.0,1646.0,3601.134537935257,5731.0
ta72,5568.0,1673.0,3606.9570026397705,5407.0
