,spp3-Tanh,converge_cnt,total_time,no_op
la21,1137.0,3564.0,953.5732216835022,0.0
la22,1004.0,4619.0,1235.867687702179,0.0
la23,1035.0,5239.0,1397.8397557735443,0.0
la24,1017.0,3869.0,1045.3209941387177,0.0
la25,1058.0,4134.0,1118.4076626300812,0.0
la26,1285.0,8279.0,3461.755439758301,0.0
la27,1316.0,8649.0,3600.4167578220367,0.0
la28,1311.0,6589.0,2737.401356935501,0.0
la29,1283.0,6349.0,2652.559350967407,0.0
la30,1368.0,8614.0,3600.480545282364,0.0
la31,1784.0,4379.0,3602.2181446552277,0.0
la32,1850.0,4379.0,3601.288955450058,0.0
la33,1754.0,4384.0,3604.025908946991,0.0
la34,1769.0,4339.0,3603.5781037807465,0.0
la35,1898.0,4374.0,3600.644714832306,0.0
la36,1376.0,7059.0,3462.1023876667023,0.0
la37,1519.0,7329.0,3600.4832022190094,0.0
la38,1336.0,5494.0,2705.90340924263,0.0
la39,1303.0,7364.0,3601.9141318798065,0.0
la40,1327.0,5879.0,2856.1913294792175,0.0
ta21,1866.0,2764.0,3600.8579597473145,0.0
ta22,1821.0,2769.0,3601.4104545116425,0.0
ta31,2075.0,2254.0,3603.9700565338135,0.0
ta32,2122.0,2254.0,3606.086400270462,0.0
ta41,2429.0,1344.0,3600.2350404262543,0.0
ta42,2371.0,1354.0,3601.1306471824646,0.0
ta51,3026.0,894.0,3605.3613379001617,0.0
ta52,3090.0,894.0,3611.8060908317566,0.0
